Index,0 [STRING] [0x0],1 [UBYTE] [0x4],2 [BOOL] [0x5],3 [BOOL] [0x6]
0,"",0,true,false
1,"整体",1,true,false
2,"迷宫探险",1,true,false
3,"讨伐歼灭战",1,true,false
4,"大型任务",1,true,false
5,"竞技场",1,true,false
6,"寻宝",1,true,false
7,"整体",2,true,false
8,"剑术师",2,true,false
9,"格斗家",2,true,false
10,"斧术师",2,true,false
11,"枪术师",2,true,false
12,"弓箭手",2,true,false
13,"幻术师",2,true,false
14,"咒术师",2,true,false
15,"秘术师",2,true,false
16,"刻木匠",2,true,false
17,"锻铁匠",2,true,false
18,"铸甲匠",2,true,false
19,"雕金匠",2,true,false
20,"制革匠",2,true,false
21,"裁衣匠",2,true,false
22,"炼金术士",2,true,false
23,"烹调师",2,true,false
24,"采矿工",2,true,false
25,"园艺工",2,true,false
26,"捕鱼人",2,true,false
27,"对战",2,true,false
28,"评价",2,true,false
29,"整体",4,true,false
30,"货币",4,true,false
31,"魔晶石",4,true,false
32,"刻木匠",5,true,false
33,"锻铁匠",5,true,false
34,"铸甲匠",5,true,false
35,"雕金匠",5,true,false
36,"制革匠",5,true,false
37,"裁衣匠",5,true,false
38,"炼金术士",5,true,false
39,"烹调师",5,true,false
40,"采矿工",6,true,false
41,"园艺工",6,true,false
42,"捕鱼人",6,true,false
43,"整体",8,true,false
44,"理符任务",8,true,false
45,"蛮族任务",8,true,false
46,"季节活动",8,true,true
47,"拉诺西亚",11,true,false
48,"黑衣森林",11,true,false
49,"萨纳兰",11,true,false
50,"库尔札斯",11,true,false
51,"摩杜纳",11,true,false
52,"整体",12,true,false
53,"黑涡团",12,true,false
54,"双蛇党",12,true,false
55,"恒辉队",12,true,false
56,"战斗",13,true,false
57,"货币",13,true,false
58,"采集",13,true,false
59,"任务",13,true,false
60,"季节活动",13,true,false
61,"迷宫",13,true,false
62,"探索",13,true,false
63,"大国防联军",13,true,false
