Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [STRING] [0x8]
0,"热键栏1","Hotbar1","hot1"
1,"热键栏2","Hotbar2","hot2"
2,"热键栏3","Hotbar3","hot3"
3,"热键栏4","Hotbar4","hot4"
4,"热键栏5","Hotbar5","hot5"
5,"热键栏6","Hotbar6","hot6"
6,"热键栏7","Hotbar7","hot7"
7,"热键栏8","Hotbar8","hot8"
8,"热键栏9","Hotbar9","hot9"
9,"热键栏10","Hotbar10","hot10"
10,"特殊热键栏","HotbarEx","hotex"
11,"十字热键栏","CrossHotbar","cross"
12,"咏唱栏","CastBar","cast"
13,"目标情报","TargetInfo","target"
14,"焦点目标情报","FocusTarget","focus"
15,"小队列表","PartyList","party"
16,"敌对列表","EnemyList","enemy"
17,"角色参数","MyParam","param"
18,"通知","Notification","Notices"
19,"导向地图","NaviMap","navi"
20,"快捷指令","MainCommand","main"
21,"基本情报","GeneralInfo","dtr"
22,"所持金币","CurrencyStatus","gil"
23,"所持品缩略图","ItemSign","bag"
24,"任务情报","ToDoList","todo"
25,"道具帮助","ItemHelp","item"
26,"技能帮助","ActionHelp","action"
27,"极限槽","LimitBreak","limit"
28,"经验值栏","ExpBar","exp"
29,"状态效果","BuffDebuffStatus","buff"
30,"团队列表1","AllianceList1","alist1"
31,"团队列表2","AllianceList2","alist2"
34,"连击栏","",""
35,"次要目标列表","",""
36,"<nil>","",""
37,"新手指南","",""
