Index,0 Name [0x0],1 Short Name [0x4],2 [SHORT] [0x12],3 [SHORT] [0x14],4 Required Level [0x16],5 Ceruleam Tanks Required [0xC],6 Duration (Minutes) [0xE],7 [USHORT] [0x10],8 [UBYTE] [0x17],9 [UBYTE] [0x19],10 [UBYTE] [0x18],11 [UBYTE] [0x1A],12 Exp Rewarded [0x8]
0,"云海01","云海01",371,831,1,1,180,13,0,0,0,0,7416
1,"云海02","云海02",615,800,1,1,180,13,0,0,0,0,7416
2,"云海03","云海03",156,800,4,1,180,13,0,0,0,0,19467
3,"云海04","云海04",787,834,7,1,180,13,0,0,0,0,32630
4,"云海05","云海05",492,720,10,2,360,13,0,0,0,0,53089
5,"云海06","云海06",334,653,14,2,360,13,0,0,0,0,71749
6,"云海07","云海07",587,645,17,2,360,13,0,0,0,0,82762
7,"云海08","云海08",516,544,20,3,540,13,0,0,0,0,102243
8,"云海09","云海09",380,493,24,3,540,13,0,0,0,0,122364
9,"云海10","云海10",721,629,27,3,540,13,0,0,0,0,140162
10,"云海11","云海11",185,567,30,4,720,13,0,0,0,0,162062
11,"云海12","云海12",906,642,34,4,720,13,0,0,0,0,184287
12,"云海13","云海13",202,434,37,4,720,13,0,0,0,0,204310
13,"云海14","云海14",77,689,40,5,900,13,0,0,0,0,236593
14,"云海15","云海15",103,348,44,5,900,13,0,0,0,0,261553
15,"云海16","云海16",886,445,47,5,900,13,0,0,0,0,284329
16,"云海17","云海17",721,335,50,6,1440,13,0,90,0,0,0
17,"云海18","云海18",540,371,50,6,1440,13,0,90,0,0,0
18,"云海19","云海19",248,234,50,6,1440,13,0,90,0,0,0
19,"云海20","云海20",421,141,50,6,1440,13,0,90,0,0,0
20,"云海21","云海21",556,208,50,6,1440,13,0,90,0,0,0
21,"云海22","云海22",663,105,50,6,1440,13,0,90,0,0,0
22,"","",0,0,0,0,0,0,0,0,0,0,0
23,"","",0,0,0,0,0,0,0,0,0,0,0
24,"","",0,0,0,0,0,0,0,0,0,0,0
25,"","",0,0,0,0,0,0,0,0,0,0,0
26,"","",0,0,0,0,0,0,0,0,0,0,0
27,"","",0,0,0,0,0,0,0,0,0,0,0
28,"","",0,0,0,0,0,0,0,0,0,0,0
29,"","",0,0,0,0,0,0,0,0,0,0,0
30,"","",0,0,0,0,0,0,0,0,0,0,0
31,"","",0,0,0,0,0,0,0,0,0,0,0
32,"","",0,0,0,0,0,0,0,0,0,0,0
33,"","",0,0,0,0,0,0,0,0,0,0,0
34,"","",0,0,0,0,0,0,0,0,0,0,0
35,"","",0,0,0,0,0,0,0,0,0,0,0
36,"","",0,0,0,0,0,0,0,0,0,0,0
37,"","",0,0,0,0,0,0,0,0,0,0,0
38,"","",0,0,0,0,0,0,0,0,0,0,0
39,"","",0,0,0,0,0,0,0,0,0,0,0
40,"","",0,0,0,0,0,0,0,0,0,0,0
41,"","",0,0,0,0,0,0,0,0,0,0,0
42,"","",0,0,0,0,0,0,0,0,0,0,0
43,"","",0,0,0,0,0,0,0,0,0,0,0
44,"","",0,0,0,0,0,0,0,0,0,0,0
45,"","",0,0,0,0,0,0,0,0,0,0,0
46,"","",0,0,0,0,0,0,0,0,0,0,0
47,"","",0,0,0,0,0,0,0,0,0,0,0
48,"","",0,0,0,0,0,0,0,0,0,0,0
49,"","",0,0,0,0,0,0,0,0,0,0,0
50,"","",0,0,0,0,0,0,0,0,0,0,0
51,"","",0,0,0,0,0,0,0,0,0,0,0
52,"","",0,0,0,0,0,0,0,0,0,0,0
53,"","",0,0,0,0,0,0,0,0,0,0,0
54,"","",0,0,0,0,0,0,0,0,0,0,0
55,"","",0,0,0,0,0,0,0,0,0,0,0
56,"","",0,0,0,0,0,0,0,0,0,0,0
57,"","",0,0,0,0,0,0,0,0,0,0,0
58,"","",0,0,0,0,0,0,0,0,0,0,0
59,"","",0,0,0,0,0,0,0,0,0,0,0
60,"","",0,0,0,0,0,0,0,0,0,0,0
61,"","",0,0,0,0,0,0,0,0,0,0,0
62,"","",0,0,0,0,0,0,0,0,0,0,0
63,"","",0,0,0,0,0,0,0,0,0,0,0
64,"","",0,0,0,0,0,0,0,0,0,0,0
65,"","",0,0,0,0,0,0,0,0,0,0,0
66,"","",0,0,0,0,0,0,0,0,0,0,0
67,"","",0,0,0,0,0,0,0,0,0,0,0
68,"","",0,0,0,0,0,0,0,0,0,0,0
69,"","",0,0,0,0,0,0,0,0,0,0,0
70,"","",0,0,0,0,0,0,0,0,0,0,0
71,"","",0,0,0,0,0,0,0,0,0,0,0
72,"","",0,0,0,0,0,0,0,0,0,0,0
73,"","",0,0,0,0,0,0,0,0,0,0,0
74,"","",0,0,0,0,0,0,0,0,0,0,0
75,"","",0,0,0,0,0,0,0,0,0,0,0
76,"","",0,0,0,0,0,0,0,0,0,0,0
77,"","",0,0,0,0,0,0,0,0,0,0,0
78,"","",0,0,0,0,0,0,0,0,0,0,0
79,"","",0,0,0,0,0,0,0,0,0,0,0
80,"","",0,0,0,0,0,0,0,0,0,0,0
81,"","",0,0,0,0,0,0,0,0,0,0,0
82,"","",0,0,0,0,0,0,0,0,0,0,0
83,"","",0,0,0,0,0,0,0,0,0,0,0
