Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [STRING] [0x8],3 [STRING] [0xC],4 [STRING] [0x10],5 [STRING] [0x14],6 [STRING] [0x18],7 [STRING] [0x1C],8 [STRING] [0x20],9 [STRING] [0x24],10 [STRING] [0x28],11 [STRING] [0x2C],12 [STRING] [0x30],13 [STRING] [0x34],14 [STRING] [0x38],15 [STRING] [0x3C],16 [STRING] [0x40],17 [STRING] [0x44],18 [STRING] [0x48],19 [STRING] [0x4C],20 [STRING] [0x50],21 [STRING] [0x54],22 [STRING] [0x58],23 [STRING] [0x5C],24 [STRING] [0x60],25 [STRING] [0x64],26 [STRING] [0x68],27 [STRING] [0x6C],28 [STRING] [0x70],29 [STRING] [0x74],30 [STRING] [0x78],31 [STRING] [0x7C],32 [STRING] [0x80],33 [STRING] [0x84],34 [STRING] [0x88],35 [STRING] [0x8C],36 [STRING] [0x90],37 [STRING] [0x94],38 [STRING] [0x98],39 [STRING] [0x9C],40 [STRING] [0xA0]
1,"その","それらの","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"","あれらの","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","个"
3,"","これらの","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
