Index,0 [USHORT] [0x0],1 [BYTE] [0xF],2 [BYTE] [0x10],3 [USHORT] [0x2],4 [UBYTE] [0xC],5 [UBYTE] [0xD],6 [UBYTE] [0xE],7 [USHORT] [0x4],8 [USHORT] [0x6],9 [USHORT] [0x8],10 [USHORT] [0xA]
0,0,0,0,0,0,0,0,0,0,0,0
1,1029,0,40,90,1,0,0,1134,0,0,1773
2,1885,0,40,90,1,0,0,1437,0,0,1773
3,1950,0,40,360,2,0,0,1437,0,0,1773
4,2996,10,30,150,1,1,0,2237,2238,0,1773
5,3110,3,30,90,1,0,0,2630,0,0,1773
6,3637,10,60,150,1,5,6,3377,3378,3379,1773
7,6828,0,40,360,1,0,0,7962,0,0,3201
8,9225,0,40,120,1,0,0,12257,0,0,1773
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
