Index,0 [BBOOL] [0x4],1 [STRING] [0x0]
0,false,""
1,false,""
2,false,"欢迎！欢迎！"
3,true,"我家的东西很便宜哦！"
4,true,"呼……"
5,false,"帝国有什么动静吗？"
6,false,"我们派出去的人<br>应该马上就回来报告了。"
7,false,"多么风光明媚的田园城邦啊！"
8,false,"真是座人情冷漠的城市啊。"
9,false,"好吧，怎么了？"
10,false,"这样也不坏。"
11,false,"吁……"
12,false,"咕哎！咕哎！"
13,false,"我明白了，<br>我会报告给上面的。"
14,false,"拜托你了。"
15,false,"好像是鸟人族干的。"
16,false,"我来给您当向导吧。"
17,false,"我需要在天黑前<br>赶回利姆萨！"
18,false,"那家伙真够慢的……"
19,false,"……"
20,false,"……"
21,false,"……呼……"
22,false,"哼，外来者能干得了什么！"
23,false,"很好，没看到鸟人族的影子！"
24,false,"这毛色真不错……"
25,false,"沿着这条街一直走<br>就是商店街了。"
26,false,"……"
27,false,"喵……喵？"
28,false,"借用元灵的力量<br>会发生什么呢？"
29,false,"森林就由我们来保护！"
30,false,"水车转转转～<br>骨碌碌地转～"
31,false,"休息时自然要放松精神……"
32,false,"咕哎……"
33,false,"嗯？怎么了？"
34,false,"一、二、三……"
35,false,"您的话深刻地感染了我……"
36,false,"呼……"
37,false,"满手都是基萨尔野菜的味道。"
38,false,"以前整个森林里<br>到处都是那种坚果。"
39,false,"抱歉，女士。<br>胡桃已经卖完了。"
40,false,"嘿咻！"
41,false,"采蘑菇的小姑娘～<br>背着一个大箩筐～"
42,false,"啊！木屑进到鼻子里了……"
43,false,"左敲敲，右敲敲……"
44,false,"又是大人……"
45,false,"啦啦啦～"
46,false,"告诉你我能行！<br>好好看着！"
47,false,"啊……"
48,false,"要相信元灵的引导。"
49,false,"但是我都感受不到他们……<br>要怎么相信啊……"
50,false,"啦啦啦"
51,false,"嗯……"
52,false,"愿大地女神保佑这些蜜蜂。"
53,false,"再多一点……"
54,false,"森林现在非常危险！"
55,false,"但是……"
56,false,"瞧一瞧看一看啊！<br>我这都是好东西！"
