Index,0 [BYTE] [0x25],1 [STRING] [0x0],2 [STRING] [0x4],3 [UBYTE] [0x8],4 [UBYTE] [0x9],5 [UBYTE] [0xA],6 [UBYTE] [0xB],7 [UBYTE] [0xC],8 [UBYTE] [0xD],9 [UBYTE] [0xE],10 [UBYTE] [0xF],11 [UBYTE] [0x10],12 [UBYTE] [0x11],13 [UBYTE] [0x12],14 [UBYTE] [0x13],15 [UBYTE] [0x14],16 [UBYTE] [0x15],17 [UBYTE] [0x16],18 [UBYTE] [0x17],19 [UBYTE] [0x18],20 [UBYTE] [0x19],21 [UBYTE] [0x1A],22 [UBYTE] [0x1B],23 [UBYTE] [0x1C],24 [UBYTE] [0x1D],25 [UBYTE] [0x1E],26 [UBYTE] [0x1F],27 [UBYTE] [0x20],28 [UBYTE] [0x21],29 [UBYTE] [0x22],30 [UBYTE] [0x23],31 [UBYTE] [0x24]
0,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
1,0,"力量","影响近战的物理攻击力以及攻击被招架和格挡减少的程度。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,100,100,100,70,70,70,100,70,100,100
2,1,"灵巧","影响远程的物理攻击力以及攻击被招架和格挡发动的几率。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,100,70,70,100,70,100,70
3,2,"耐力","影响最大体力。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,100,100,100,100,90,90,100,90,100,100
4,3,"智力","影响攻击魔法威力。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,70,100,70,70,100,100,70
5,4,"精神","影响治疗魔法威力。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,70,70,100,70,100,100,70
6,5,"信仰","影响最大魔力。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,90,70,70,70,70,70,100,70,70,100,70
7,6,"体力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
8,7,"魔力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
9,8,"技力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
10,9,"采集力","",2,2,2,2,2,2,2,2,25,25,25,13,2,2,4,8,0,4,100,100,100,100,100,100,100,100,100,100,100
11,10,"制作力","",2,2,2,2,2,2,2,2,25,25,25,13,2,2,4,8,0,4,100,100,100,100,100,100,100,100,100,100,100
12,-1,"物理基本性能","",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,100,100,100,100,90,50,50,100,50,50,100
13,-1,"魔法基本性能","",100,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,50,50,50,50,50,100,100,50,100,30,50
14,11,"攻击间隔","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
15,-1,"附加效果","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
16,-1,"攻击次数","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
17,-1,"格挡发动力","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100
18,-1,"格挡性能","",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,50,50,100,50,100,100
19,12,"招架发动力","影响用武器招架敌人攻击的几率。<br>招架发动力的数值越大，招架敌人攻击越频繁。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
20,13,"物理攻击力","影响发动物理攻击的伤害量。<br>物理攻击力的数值越大，对敌人造成的物理伤害越大。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
21,14,"物理防御力","减少受到物理攻击时的伤害量。<br>物理防御力的数值越大，敌人造成的物理伤害越小。",0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,66,100,70,55,55,40,40,50,33,33,50
22,15,"命中力","影响物理与魔法命中敌人的几率。<br>命中力越高，攻击越容易击中敌人。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
23,16,"回避力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
24,17,"魔法防御力","减少受到魔法攻击时的伤害量。<br>魔法防御力的数值越大，敌人造成的魔法伤害越小。",0,0,15,21,15,13,21,15,0,0,0,0,0,0,36,72,0,36,33,100,40,55,55,70,70,50,66,66,50
25,-1,"暴击攻击力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
26,-1,"暴击防御力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
