Index,0 [UBYTE] [0x24],1 [UBYTE] [0x25],2 [UBYTE] [0x26],3 [UINT] [0x14],4 [UINT] [0x18],5 [UBYTE] [0x27],6 [UINT] [0x1C],7 [UBYTE] [0x28],8 [UINT] [0x20],9 [UBYTE] [0x29],10 [STRING] [0x0],11 [BYTE] [0xC],12 [STRING] [0x4],13 [BYTE] [0xD],14 [BYTE] [0xE],15 [BYTE] [0xF],16 [BYTE] [0x10],17 [BYTE] [0x11],18 [STRING] [0x8]
0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0,""
1,0,0,0,61901,65016,4,0,0,21076,1,"蜥蜴人族：灰党",0,"",0,0,0,0,0,"蜥蜴人族友好度"
2,0,0,0,61902,65017,4,0,0,21075,2,"妖精族：暂留地妖精",0,"",0,0,0,0,0,"妖精族友好度"
3,0,0,0,61904,65019,4,0,0,21078,3,"地灵族：第789洞穴团",0,"",0,0,0,0,0,"地灵族友好度"
4,0,0,0,61905,65020,4,0,0,21077,4,"鱼人族：诺布一伙",0,"",0,0,0,0,0,"鱼人族友好度"
5,50,0,0,61903,65018,7,0,0,21073,5,"鸟人族：长风空力团",0,"",0,0,0,0,0,"鸟人族友好度"
6,0,59,1,61906,65036,8,67921,1,21074,1,"瓦努族：美艳的衮杜",0,"",0,0,0,0,0,"瓦努族友好度"
7,0,59,1,61907,65037,8,67921,1,21079,2,"骨颌族：离群一族",0,"",0,0,0,0,0,"骨颌族友好度"
8,60,0,2,61908,65039,8,67921,1,21080,3,"莫古力族：莫古力修复团",0,"",0,0,0,0,0,"莫古力族友好度"
9,0,69,3,61910,65048,8,0,2,21081,2,"甲人族：碧玉寻宝众",0,"",0,0,0,0,0,"甲人族友好度"
10,0,69,3,61909,65047,8,0,2,21935,1,"阿难陀族：阿露帕国境警备队",0,"",0,0,0,0,0,"阿难陀族友好度"
