Index,0 [BBOOL] [0x4],1 [BBOOL] [0x4],2 [BBOOL] [0x4],3 [BBOOL] [0x4],4 [BBOOL] [0x4],5 [FLOAT] [0x0]
0,true,false,false,false,true,0.0
1,true,true,true,false,true,0.0
2,false,true,true,false,true,0.0
3,true,false,false,false,true,0.0
4,true,false,false,true,true,0.0
5,true,false,true,false,true,0.0
6,true,true,false,false,true,0.0
7,true,false,true,true,true,0.0
8,true,true,false,true,true,0.0
9,true,false,false,false,false,0.0
10,true,false,false,true,false,0.0
11,true,false,true,false,false,0.0
12,true,true,false,false,false,0.0
13,true,false,true,true,false,0.0
14,true,true,false,true,false,0.0
15,true,false,false,false,true,2.0
16,true,false,false,true,true,2.0
17,true,false,true,false,true,2.0
18,true,true,false,false,true,2.0
19,true,false,true,true,true,2.0
20,true,true,false,true,true,2.0
21,true,false,false,false,false,2.0
22,true,false,false,true,false,2.0
23,true,false,true,false,false,2.0
24,true,true,false,false,false,2.0
25,true,false,true,true,false,2.0
26,true,true,false,true,false,2.0
27,true,false,false,false,true,1.5
28,true,false,false,true,true,1.5
29,true,false,true,false,true,1.5
30,true,true,false,false,true,1.5
31,true,false,true,true,true,1.5
32,true,true,false,true,true,1.5
33,true,false,false,false,false,1.5
34,true,false,false,true,false,1.5
35,true,false,true,false,false,1.5
36,true,true,false,false,false,1.5
37,true,false,true,true,false,1.5
38,true,true,false,true,false,1.5
39,true,false,false,false,true,1.2
40,true,false,false,true,true,1.2
41,true,false,true,false,true,1.2
42,true,true,false,false,true,1.2
43,true,false,true,true,true,1.2
44,true,true,false,true,true,1.2
45,true,false,false,false,false,1.2
46,true,false,false,true,false,1.2
47,true,false,true,false,false,1.2
48,true,true,false,false,false,1.2
49,true,false,true,true,false,1.2
50,true,true,false,true,false,1.2
51,true,false,false,false,true,1.01
52,true,false,false,true,true,1.01
53,true,false,true,false,true,1.01
54,true,true,false,false,true,1.01
55,true,false,true,true,true,1.01
56,true,true,false,true,true,1.01
57,true,false,false,false,false,1.01
58,true,false,false,true,false,1.01
59,true,false,true,false,false,1.01
60,true,true,false,false,false,1.01
61,true,false,true,true,false,1.01
62,true,true,false,true,false,1.01
63,false,false,false,false,true,0.0
64,false,false,false,true,true,0.0
65,false,false,true,false,true,0.0
66,false,true,false,false,true,0.0
67,false,false,true,true,true,0.0
68,false,true,false,true,true,0.0
69,false,false,false,false,false,0.0
70,false,false,false,true,false,0.0
71,false,false,true,false,false,0.0
72,false,true,false,false,false,0.0
73,false,false,true,true,false,0.0
74,false,true,false,true,false,0.0
75,true,true,true,false,true,1.01
76,true,true,true,false,true,1.2
77,true,true,true,false,true,1.5
78,false,false,false,false,true,7.0
79,false,false,false,true,true,7.0
80,false,false,true,false,true,7.0
81,false,true,false,false,true,7.0
82,false,false,true,true,true,7.0
83,false,true,false,true,true,7.0
84,false,false,false,false,false,7.0
85,false,false,false,true,false,7.0
86,false,false,true,false,false,7.0
87,false,true,false,false,false,7.0
88,false,false,true,true,false,7.0
89,false,true,false,true,false,7.0
90,false,false,false,false,true,8.0
91,false,false,false,true,true,8.0
92,false,false,true,false,true,8.0
93,false,true,false,false,true,8.0
94,false,false,true,true,true,8.0
95,false,true,false,true,true,8.0
96,false,false,false,false,false,8.0
97,false,false,false,true,false,8.0
98,false,false,true,false,false,8.0
99,false,true,false,false,false,8.0
100,false,false,true,true,false,8.0
101,false,true,false,true,false,8.0
102,true,false,false,false,true,0.6
103,true,false,false,true,true,0.6
104,true,false,true,false,true,0.6
105,true,true,false,false,true,0.6
106,true,false,true,true,true,0.6
107,true,true,false,true,true,0.6
108,true,false,false,false,false,0.6
109,true,false,false,true,false,0.6
110,true,false,true,false,false,0.6
111,true,true,false,false,false,0.6
112,true,false,true,true,false,0.6
113,true,true,false,true,false,0.6
114,true,false,false,true,false,0.9
