Index,0 [UINT] [0x18],1 [UINT] [0x1C],2 [UBYTE] [0x48],3 [BYTE] [0x56],4 [QUAD] [0x0],5 [UBYTE] [0x49],6 [QUAD] [0x8],7 [UBYTE] [0x4A],8 [QUAD] [0x10],9 [UBYTE] [0x4B],10 [UINT] [0x20],11 [UBYTE] [0x4C],12 [UINT] [0x24],13 [UBYTE] [0x4D],14 [UINT] [0x28],15 [UBYTE] [0x4E],16 [UINT] [0x2C],17 [UBYTE] [0x4F],18 [UINT] [0x30],19 [UBYTE] [0x50],20 [UINT] [0x34],21 [UBYTE] [0x51],22 [UINT] [0x38],23 [UBYTE] [0x52],24 [UINT] [0x3C],25 [UBYTE] [0x53],26 [UINT] [0x40],27 [UBYTE] [0x54],28 [UINT] [0x44],29 [UBYTE] [0x55]
0,0,0,0,-1,"0, 0, 0, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,"301, 9, 1, 0",0,"351, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,131156,0,131156,0,131156,0,131156,0,0,0,0,0,0,0,0,0,0,0
2,2,6,1,0,"2201, 3, 1, 0",0,"2251, 3, 1, 0",0,"0, 0, 0, 0",0,0,0,131156,0,131156,0,131156,0,131156,0,0,0,0,0,0,0,0,0,0,0
3,2,1,1,1,"301, 9, 1, 0",0,"351, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,131157,0,131157,0,131157,0,131157,0,0,0,0,0,0,0,0,0,0,0
4,2,6,1,1,"2201, 3, 1, 0",0,"2251, 3, 1, 0",0,"0, 0, 0, 0",0,0,0,131157,0,131157,0,131157,0,131157,0,0,0,0,0,0,0,0,0,0,0
5,2,1,2,0,"301, 9, 1, 0",0,"351, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,131158,0,131158,0,131158,0,131158,0,0,0,0,0,0,0,0,0,0,0
6,2,6,2,0,"2201, 3, 1, 0",0,"2251, 3, 1, 0",0,"0, 0, 0, 0",0,0,0,131158,0,131158,0,131158,0,131158,0,0,0,0,0,0,0,0,0,0,0
7,2,1,2,1,"301, 9, 1, 0",0,"351, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,131159,0,131159,0,131159,0,131159,0,0,0,0,0,0,0,0,0,0,0
8,2,6,2,1,"2201, 3, 1, 0",0,"2251, 3, 1, 0",0,"0, 0, 0, 0",0,0,0,131159,0,131159,0,131159,0,131159,0,0,0,0,0,0,0,0,0,0,0
9,2,1,3,0,"301, 9, 1, 0",0,"351, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,131164,0,131164,0,131164,0,131164,0,0,0,0,0,0,0,0,0,0,0
10,2,6,3,0,"2201, 3, 1, 0",0,"2251, 3, 1, 0",0,"0, 0, 0, 0",0,0,0,131164,0,131164,0,131164,0,131164,0,0,0,0,0,0,0,0,0,0,0
11,2,1,3,1,"301, 9, 1, 0",0,"351, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,131165,0,131165,0,131165,0,131165,0,0,0,0,0,0,0,0,0,0,0
