Index,0 [STRING] [0x0],1 [BYTE] [0x8],2 [STRING] [0x4],3 [BYTE] [0x9],4 [BYTE] [0xA],5 [BYTE] [0xB],6 [BYTE] [0xC],7 [BYTE] [0xD]
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"遗迹走龙",0,"",0,0,1,0,0
3,"雌羚羊",0,"",0,0,1,0,0
4,"雄羚羊",0,"",0,0,1,0,0
5,"奥猴",0,"",0,0,1,0,0
6,"狐猴",0,"",0,0,1,0,0
7,"巨蝇",0,"",0,0,1,0,0
8,"巨虻",0,"",0,0,1,0,0
9,"灵蛛蝎",0,"",0,0,1,0,0
10,"凶蛛蝎",0,"",0,0,1,0,0
11,"祸蛛蝎",0,"",0,0,1,0,0
12,"兀鹫",0,"",0,0,1,0,0
13,"秃鹫",0,"",0,0,1,0,0
14,"狂野仔猪",0,"",0,0,1,0,0
15,"狂野野猪",0,"",0,0,1,0,0
16,"狂野疣猪",0,"",0,0,1,0,0
17,"气球怪",0,"",0,0,1,0,0
18,"僵尸",0,"",0,0,1,0,0
19,"僵尸法师",0,"",0,0,1,0,0
20,"尸鬼",0,"",0,0,1,0,0
21,"捣蛋小鬼",0,"",0,0,1,0,0
22,"小红花",0,"",0,0,1,0,0
23,"飞虻陷阱草",0,"",0,0,1,0,0
24,"树精",0,"",0,0,1,0,0
25,"树妖",0,"",0,0,1,0,0
26,"巨蟾蜍",0,"",0,0,1,0,0
27,"夜蟾蜍",0,"",0,0,1,0,0
28,"长须豹幼崽",0,"",0,0,1,0,0
29,"无头骑士",0,"",0,0,1,0,0
30,"泥土巨像",0,"",0,0,1,0,0
31,"夺心魔",0,"",0,0,1,0,0
32,"小口花",0,"",0,0,1,0,0
33,"大口花",0,"",0,0,1,0,0
34,"精金龟",0,"",0,0,1,0,0
35,"冬贝利",0,"",0,0,1,0,0
36,"圆甲虫",0,"",0,0,1,0,0
37,"松鼠",0,"",0,0,1,0,0
38,"漆黑蝙蝠",0,"",0,0,1,0,0
39,"树生蛞蝓",0,"",0,0,1,0,0
40,"森林兔蝓",0,"",0,0,1,0,0
41,"飞蝇群",0,"",0,0,1,0,0
42,"盲头蟹",0,"",0,0,1,0,0
43,"沙蚤",0,"",0,0,1,0,0
44,"血蚤",0,"",0,0,1,0,0
45,"妖火",0,"",0,0,1,0,0
46,"离子电",0,"",0,0,1,0,0
47,"丛林魔菇",0,"",0,0,1,0,0
48,"毒蟾魔饵",0,"",0,0,1,0,0
49,"花甲虫",0,"",0,0,1,0,0
50,"哥布林暴徒",0,"",0,0,1,0,0
51,"首领变色龙",0,"",0,0,1,0,0
52,"红腹警戒蜂兵",0,"",0,0,1,0,0
