Index,0 [INT] [0x0],1 [USHORT] [0x4],2 [UBYTE] [0x6]
0,2897,1001,1
1,3220,1002,1
2,3458,1003,1
3,3682,1004,1
4,3889,1005,1
5,2898,1006,1
6,3221,1007,1
7,3459,1008,1
8,3683,1009,1
9,3890,1010,1
10,2899,1011,1
11,3222,1012,1
12,3460,1013,1
13,3684,1014,1
14,3891,1015,1
15,2900,1016,1
16,3223,1017,1
17,3461,1018,1
18,3685,1019,1
19,3892,1020,1
20,2901,1021,1
21,3224,1022,1
22,3462,1023,1
23,3686,1024,1
24,3893,1025,1
25,2902,1031,1
26,3225,1032,1
27,3463,1033,1
28,3687,1034,1
29,3894,1035,1
30,2903,1036,1
31,3226,1037,1
32,3464,1038,1
33,3690,1039,1
34,3895,1040,1
35,2645,2001,2
36,2646,2002,2
37,2647,2003,2
38,2648,2004,2
39,4301,2017,2
40,4302,2018,2
41,4303,2022,2
42,4200,2025,2
43,2659,2027,2
44,2707,2028,2
45,2751,2029,2
46,2809,2030,2
47,2671,2031,2
48,4404,2032,2
49,4407,2033,2
50,4406,2034,2
51,4405,2035,2
52,4408,2036,2
53,2973,2041,2
54,2974,2042,2
55,2975,2043,2
56,2976,2044,2
57,2977,2045,2
58,2978,2050,2
59,2979,2051,2
60,2980,2052,2
61,2981,2053,2
62,2982,2054,2
63,3286,2059,2
64,3287,2060,2
65,3288,2061,2
66,3289,2062,2
67,3290,2063,2
68,3291,2067,2
69,3292,2068,2
70,3293,2069,2
71,3294,2070,2
72,3295,2071,2
73,2638,2095,2
74,2639,2096,2
75,2640,2097,2
76,2641,2098,2
77,2643,2111,2
78,2966,2112,2
79,4199,2110,2
80,4319,4018,4
81,2967,2075,2
82,2968,2076,2
83,2969,2077,2
84,2970,2078,2
85,2971,2079,2
86,2972,2080,2
87,3280,2081,2
88,3281,2082,2
89,3282,2083,2
90,3283,2084,2
91,3284,2085,2
92,3285,2086,2
93,3748,2093,2
94,3749,2094,2
95,2773,4019,4
96,3323,4020,4
97,2752,4021,4
98,2649,4022,4
99,4287,4023,4
100,2907,3001,3
101,2908,3002,3
102,2909,3003,3
103,2910,3005,3
104,2326,3009,3
105,2353,3010,3
106,2378,3011,3
107,2403,3012,3
108,2428,3013,3
109,2454,3014,3
110,2479,3015,3
111,2505,3016,3
112,2531,3017,3
113,2557,3018,3
114,2583,3019,3
115,2222,3041,3
116,2223,3043,3
117,2221,3042,3
118,4274,3044,3
119,4275,3046,3
120,4276,3045,3
121,4517,3047,3
122,4518,3049,3
123,4519,3048,3
124,2784,3054,3
125,2914,3053,3
126,2904,1041,1
