Index,0 [STRING] [0x0],1 [UBYTE] [0x8],2 [FLOAT] [0x4]
0,"",0,1.0
1,"chn_dark001f",0,1.0
2,"chn_light01f",0,1.0
3,"chn_water01f",0,1.0
4,"chn_wind001f",0,1.0
5,"chn_fire001f",0,1.0
6,"chn_thunder1f",0,1.0
7,"chn_earth001f",0,1.0
8,"chn_ice001f",0,1.0
9,"chn_hfchain1f",0,1.0
10,"chn_holm001f",20,1.0
11,"chn_galred01f",0,1.0
12,"chn_nomal01f",0,1.0
13,"chn_tankmog1f",0,1.0
14,"chn_subbly_mgc01f",0,1.0
15,"chn_guilty1f",0,1.0
16,"chn_astral1f",0,1.0
17,"chn_tergetfix1f",0,1.0
18,"chn_ibara01f",0,1.5
19,"chn_kosoku1f",0,1.0
20,"chn_kabau1f",10,1.0
21,"chn_raikou1s",0,1.0
22,"gard_pow00bf",0,1.0
23,"gard_pow00af",0,1.0
24,"gard_pow01bf",0,1.0
25,"",0,1.0
