Index,0 [UBYTE] [0x4],1 Chara Maker Icon [0x0],2 [UBYTE] [0x5],3 [BBOOL] [0x6]
0,0,0,0,false
1,1,131001,0,false
2,2,131002,0,false
3,3,131003,0,false
4,4,131004,0,false
5,5,131005,0,false
6,6,131006,0,false
7,7,131007,0,false
8,8,131008,0,false
9,9,131009,0,false
10,10,131010,0,false
11,11,131011,0,false
12,12,131012,0,false
13,13,131013,0,false
14,14,131014,0,false
15,51,131015,0,false
16,52,131016,0,false
17,53,131017,0,false
18,54,131018,0,false
19,101,131020,26,true
20,104,131022,0,false
21,102,131021,0,false
22,105,131023,0,false
23,61,131019,228,true
24,106,131024,0,false
25,107,131025,0,false
26,108,131026,0,false
27,111,131027,0,false
28,112,131028,243,true
29,0,0,0,false
30,0,0,0,false
31,1,131101,0,false
32,2,131102,0,false
33,3,131103,0,false
34,4,131104,0,false
35,5,131105,0,false
36,6,131106,0,false
37,7,131107,0,false
38,8,131108,0,false
39,9,131109,0,false
40,10,131110,0,false
41,11,131111,0,false
42,12,131112,0,false
43,13,131113,0,false
44,14,131114,0,false
45,15,131115,0,false
46,51,131116,0,false
47,52,131117,0,false
48,53,131118,0,false
49,54,131119,0,false
50,101,131121,26,true
51,104,131123,0,false
52,102,131122,0,false
53,105,131124,0,false
54,61,131120,228,true
55,106,131125,0,false
56,107,131126,0,false
57,108,131127,0,false
58,111,131128,0,false
59,112,131129,243,true
60,0,0,0,false
61,1,131201,0,false
62,2,131202,0,false
63,3,131203,0,false
64,4,131204,0,false
65,5,131205,0,false
66,6,131206,0,false
67,7,131207,0,false
68,8,131208,0,false
69,9,131209,0,false
70,10,131210,0,false
71,11,131211,0,false
72,12,131212,0,false
73,13,131213,0,false
74,51,131214,0,false
75,52,131215,0,false
76,53,131216,0,false
77,101,131218,26,true
78,103,131220,0,false
79,104,131221,0,false
80,102,131219,0,false
81,105,131222,0,false
82,106,131223,0,false
83,61,131217,228,true
84,107,131224,0,false
85,108,131225,0,false
86,111,131226,0,false
87,112,131227,243,true
88,0,0,0,false
89,0,0,0,false
