Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [UINT] [0x8],3 [BYTE] [0xD],4 [UBYTE] [0xC]
0,"","",0,0,0
1,"陆行鸟冲刺","冲刺。<br>持续时间：1秒",70001,1,1
2,"陆行鸟冲刺II","冲刺。<br>持续时间：2秒",70002,1,2
3,"陆行鸟冲刺III","冲刺。<br>持续时间：3秒",70003,1,3
4,"陆行鸟治疗","恢复6%的体力。",70004,2,6
5,"陆行鸟治疗II","恢复9%的体力。",70005,2,9
6,"陆行鸟治疗III","恢复12%的体力。",70006,2,12
7,"陆行鸟康复","75%的几率解除弱化效果。",70007,3,75
8,"陆行鸟康复II","90%的几率解除弱化效果。",70008,3,90
9,"陆行鸟康复III","100%的几率解除弱化效果。",70009,3,100
10,"陆行鸟活力","解除加重状态，并恢复80的体力。",70010,4,80
11,"陆行鸟活力II","解除加重状态，并恢复130的体力。",70011,4,130
12,"陆行鸟活力III","解除加重状态，并恢复180的体力。",70012,4,180
13,"陆行鸟镇静","解除失控状态，并恢复50的体力。",70013,5,100
14,"陆行鸟镇静II","解除失控状态，并恢复100的体力。",70014,5,150
15,"陆行鸟镇静III","解除失控状态，并恢复150的体力。",70015,5,200
16,"陆行鸟反射","将仅以自身为目标的弱化效果反射给使用者。<br>持续时间：10秒",70016,6,10
17,"陆行鸟反射II","将仅以自身为目标的弱化效果反射给使用者。<br>持续时间：15秒",70017,6,15
18,"陆行鸟反射III","将仅以自身为目标的弱化效果反射给使用者。<br>持续时间：20秒",70018,6,20
19,"陆行鸟偷取","50%的几率窃取前方陆行鸟的道具。",70019,7,50
20,"陆行鸟偷取II","70%的几率窃取前方陆行鸟的道具。",70020,7,70
21,"陆行鸟偷取III","90%的几率窃取前方陆行鸟的道具。",70021,7,90
22,"陆行鸟沉默","在自身周围生成无法使用能力的结界。<br>持续时间：35秒",70022,8,35
23,"陆行鸟沉默II","在自身周围生成无法使用能力的结界。<br>持续时间：40秒",70023,8,40
24,"陆行鸟沉默III","在自身周围生成无法使用能力的结界。<br>持续时间：45秒",70024,8,45
25,"陆行鸟震荡","在自身周围生成无法使用道具的结界。<br>持续时间：25秒",70025,9,25
26,"陆行鸟震荡II","在自身周围生成无法使用道具的结界。<br>持续时间：30秒",70026,9,30
27,"陆行鸟震荡III","在自身周围生成无法使用道具的结界。<br>持续时间：35秒",70027,9,35
28,"体力消耗降低","加速时消耗的体力降低9%。",70028,10,9
29,"体力消耗降低II","加速时消耗的体力降低12%。",70029,10,12
30,"体力消耗降低III","加速时消耗的体力降低15%。",70030,10,15
31,"加重耐性","60%的几率使加重状态无效化。",70031,11,60
32,"加重耐性II","70%的几率使加重状态无效化。",70032,11,70
33,"加重耐性III","80%的几率使加重状态无效化。",70033,11,80
34,"加重耐性IV","90%的几率使加重状态无效化。",70034,11,90
35,"加重耐性V","100%的几率使加重状态无效化。",70035,11,100
36,"失控耐性","10%的几率使失控状态无效化。",70036,12,60
37,"失控耐性II","20%的几率使失控状态无效化。",70037,12,70
38,"失控耐性III","30%的几率使失控状态无效化。",70038,12,80
39,"失控耐性IV","40%的几率使失控状态无效化。",70039,12,90
40,"失控耐性V","50%的几率使失控状态无效化。",70040,12,100
41,"体力恢复量提高","恢复体力时的恢复量增加50%。",70041,13,50
42,"体力恢复量提高II","恢复体力时的恢复量增加65%。",70042,13,65
43,"体力恢复量提高III","恢复体力时的恢复量增加80%。",70043,13,80
44,"经验值提高","获得的经验值增加10%。",70044,14,10
45,"经验值提高II","获得的经验值增加20%。",70045,14,20
46,"经验值提高III","获得的经验值增加30%。",70046,14,30
47,"起跑冲刺","比赛开始时，以最高速度起跑。",70047,15,1
48,"","",0,0,0
49,"","",0,0,0
50,"","",0,0,0
