Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [STRING] [0x8],3 [UBYTE] [0x50],4 [BYTE] [0x59],5 [BYTE] [0x5A],6 [UBYTE] [0x51],7 [UBYTE] [0x52],8 [BYTE] [0x5B],9 [USHORT] [0x28],10 [USHORT] [0x2A],11 [USHORT] [0x2C],12 [USHORT] [0x2E],13 [USHORT] [0x30],14 [USHORT] [0x32],15 [USHORT] [0x34],16 [USHORT] [0x36],17 [USHORT] [0x38],18 [USHORT] [0x3A],19 [USHORT] [0x3C],20 [USHORT] [0x3E],21 [USHORT] [0x40],22 [USHORT] [0x42],23 [UBYTE] [0x53],24 [STRING] [0xC],25 [INT] [0x20],26 [INT] [0x24],27 [UBYTE] [0x54],28 [UBYTE] [0x55],29 [BYTE] [0x5C],30 [UBYTE] [0x56],31 [USHORT] [0x44],32 [USHORT] [0x46],33 [USHORT] [0x48],34 [USHORT] [0x4A],35 [USHORT] [0x4C],36 [USHORT] [0x4E],37 [UBYTE] [0x57],38 [UINT] [0x10],39 [UINT] [0x14],40 [UINT] [0x18],41 [UINT] [0x1C],42 [UBYTE] [0x58]
0,"冒险者","ADV","",30,-1,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,"Adventurer",0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"剑术师","GLA","剑",30,1,0,1,0,-1,110,50,95,100,90,50,95,80,100,100,100,100,100,100,1,"Gladiator",1601,0,1,3,0,3,197,198,199,3359,0,0,1,0,0,0,0,1
2,"格斗家","PGL","格",30,0,1,2,0,-1,105,35,100,95,100,45,85,60,100,100,100,100,100,100,2,"Pugilist",1680,0,2,3,1,1,200,201,202,3360,0,0,2,0,0,0,0,1
3,"斧术师","MRD","斧",30,2,2,3,0,-1,115,30,100,100,90,30,50,40,100,100,100,100,100,100,3,"Marauder",1749,0,1,1,2,3,197,198,4240,3359,0,0,3,0,0,0,0,1
4,"枪术师","LNC","枪",30,4,3,4,0,-1,110,40,105,100,95,40,60,70,100,100,100,100,100,100,4,"Lancer",1819,0,2,2,3,1,200,201,4242,3360,0,0,4,0,0,0,0,1
5,"弓箭手","ARC","弓",30,3,4,5,0,-1,100,70,85,95,105,80,75,80,100,100,100,100,100,100,5,"Archer",1889,0,3,2,4,2,4238,4239,4244,4249,0,0,5,0,0,0,0,1
6,"幻术师","CNJ","幻",31,6,5,6,0,-1,100,115,50,95,100,100,105,110,100,100,100,100,100,100,6,"Conjurer",1995,0,4,2,5,5,206,207,208,3362,0,0,7,0,0,0,0,1
7,"咒术师","THM","咒",31,5,6,7,0,-1,100,120,40,95,95,105,70,115,100,100,100,100,100,100,7,"Thaumaturge",2055,0,3,3,6,4,203,204,205,3361,0,0,8,0,0,0,0,1
8,"刻木匠","CRP","木",33,7,-1,0,0,0,100,100,90,105,100,90,90,90,100,100,100,100,100,100,8,"Carpenter",0,0,0,0,127,0,0,0,0,0,0,0,101,10337,0,0,0,1
9,"锻铁匠","BSM","锻",33,8,-1,0,0,1,100,100,105,90,90,90,100,90,100,100,100,100,100,100,9,"Blacksmith",0,0,0,0,127,0,0,0,0,0,0,0,102,10338,0,0,0,1
10,"铸甲匠","ARM","甲",33,9,-1,0,0,2,100,100,100,105,90,90,90,90,100,100,100,100,100,100,10,"Armorer",0,0,0,0,127,0,0,0,0,0,0,0,103,10339,0,0,0,1
11,"雕金匠","GSM","雕",33,10,-1,0,0,3,100,100,90,90,105,100,90,90,100,100,100,100,100,100,11,"Goldsmith",0,0,0,0,127,0,0,0,0,0,0,0,104,10340,0,0,0,1
12,"制革匠","LTW","革",33,11,-1,0,0,4,100,100,90,105,90,100,90,90,100,100,100,100,100,100,12,"Leatherworker",0,0,0,0,127,0,0,0,0,0,0,0,105,10341,0,0,0,1
13,"裁衣匠","WVR","裁",33,12,-1,0,0,5,100,100,90,90,105,90,100,90,100,100,100,100,100,100,13,"Weaver",0,0,0,0,127,0,0,0,0,0,0,0,106,10342,0,0,0,1
14,"炼金术士","ALC","炼",33,13,-1,0,0,6,100,100,90,90,90,105,90,100,100,100,100,100,100,100,14,"Alchemist",0,0,0,0,127,0,0,0,0,0,0,0,107,10343,0,0,0,1
15,"烹调师","CUL","烹",33,14,-1,0,0,7,100,100,90,90,90,90,105,100,100,100,100,100,100,100,15,"Culinarian",0,0,0,0,127,0,0,0,0,0,0,0,108,10344,0,0,0,1
16,"采矿工","MIN","矿",32,15,-1,0,0,-1,100,100,100,90,90,90,100,90,100,100,100,100,100,100,16,"Miner",0,0,0,0,127,0,0,0,0,0,0,0,201,0,0,0,0,1
17,"园艺工","BTN","园",32,16,-1,0,0,-1,100,100,90,90,100,100,90,90,100,100,100,100,100,100,17,"Botanist",0,0,0,0,127,0,0,0,0,0,0,0,202,0,0,0,0,1
18,"捕鱼人","FSH","鱼",32,17,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,"Fisher",0,0,0,0,127,0,0,0,0,0,0,0,203,0,0,0,0,1
19,"骑士","PLD","骑",30,1,-1,8,1,-1,120,60,100,110,95,60,100,85,100,100,100,100,100,100,1,"Paladin",0,0,1,0,0,3,197,198,199,3359,0,0,51,4542,66591,66656,66596,1
20,"武僧","MNK","武",30,0,-1,9,2,-1,110,45,110,100,105,50,90,65,100,100,100,100,100,100,2,"Monk",0,0,2,0,1,1,200,201,202,3360,0,0,52,4543,66597,66657,66602,1
21,"战士","WAR","战",30,2,-1,10,3,-1,125,40,105,110,95,40,55,45,100,100,100,100,100,100,3,"Warrior",0,0,1,0,2,3,197,198,4240,3359,0,0,53,4544,66585,66655,66590,1
22,"龙骑士","DRG","龙",30,4,-1,11,4,-1,115,50,115,105,100,45,65,75,100,100,100,100,100,100,4,"Dragoon",0,0,2,0,3,1,200,201,4242,3360,0,0,54,4545,66603,66658,66608,1
23,"吟游诗人","BRD","诗",30,3,-1,12,5,-1,105,80,90,100,115,85,80,85,100,100,100,100,100,100,5,"Bard",0,0,3,0,4,2,4238,4239,4244,4249,0,0,55,4546,66621,66661,66626,1
24,"白魔法师","WHM","白",31,6,-1,13,6,-1,105,120,55,100,105,105,115,120,100,100,100,100,100,100,6,"White Mage",0,0,4,0,5,5,206,207,208,3362,0,0,57,4547,66615,66660,66620,1
25,"黑魔法师","BLM","黑",31,5,-1,14,7,-1,105,125,45,100,100,115,75,120,100,100,100,100,100,100,7,"Black Mage",0,0,3,0,6,4,203,204,205,3361,0,0,58,4548,66609,66659,66614,1
26,"秘术师","ACN","秘",31,18,7,15,0,-1,100,110,85,95,95,105,75,100,100,100,100,100,100,100,26,"Arcanist",2142,0,3,1,7,4,203,204,4246,3361,0,0,9,0,0,0,0,1
27,"召唤师","SMN","召",31,18,-1,16,8,-1,105,110,90,100,100,115,80,105,100,100,100,100,100,100,26,"Summoner",0,0,3,0,7,4,203,204,4246,3361,0,0,59,4549,66627,66662,66632,1
28,"学者","SCH","学",31,18,-1,17,9,-1,105,115,90,100,100,105,115,120,100,100,100,100,100,100,26,"Scholar",0,0,4,0,7,6,206,207,4247,3362,0,0,60,4550,66633,66663,66638,1
29,"双剑师","ROG","双",30,19,8,18,0,-1,103,40,80,95,100,60,70,60,100,100,100,100,100,100,29,"Rogue",0,0,2,0,11,2,200,201,4243,3360,0,0,6,0,0,0,0,1
30,"忍者","NIN","忍",30,19,-1,19,10,-1,108,50,85,100,110,65,75,65,100,100,100,100,100,100,29,"Ninja",0,0,2,0,11,2,200,201,4243,3360,0,0,56,7886,65748,67115,65770,1
31,"机工士","MCH","机",30,20,9,20,11,-1,105,80,85,100,115,80,85,85,100,100,100,100,100,100,31,"Machinist",0,0,3,0,-1,2,4238,4239,4245,4249,0,0,62,8574,67232,0,0,30
32,"暗黑骑士","DRK","暗",30,21,10,21,12,-1,120,80,105,110,95,60,40,85,100,100,100,100,100,100,32,"Dark Knight",0,0,1,0,-1,3,197,198,4241,3359,0,0,61,8839,67589,0,0,30
33,"占星术士","AST","占",31,22,11,22,13,-1,105,120,50,100,100,105,115,120,100,100,100,100,100,100,33,"Astrologian",0,0,4,0,-1,6,206,207,4248,3362,0,0,63,8840,67548,0,0,30
