Index,0 [STRING] [0x0],1 [BOOL] [0x4],2 [BOOL] [0x5],3 [BOOL] [0x6],4 [BOOL] [0x7],5 [BOOL] [0x8],6 [BOOL] [0x9],7 [BOOL] [0xA],8 [BOOL] [0xB],9 [BOOL] [0xC],10 [BOOL] [0xD],11 [BOOL] [0xE],12 [BOOL] [0xF],13 [BOOL] [0x10],14 [BOOL] [0x11],15 [BOOL] [0x12],16 [BOOL] [0x13],17 [BOOL] [0x14],18 [BOOL] [0x15],19 [BOOL] [0x16],20 [BOOL] [0x17],21 [BOOL] [0x18],22 [BOOL] [0x19],23 [BOOL] [0x1A],24 [BOOL] [0x1B],25 [BOOL] [0x1C],26 [BOOL] [0x1D],27 [BOOL] [0x1E],28 [BOOL] [0x1F],29 [BOOL] [0x20]
0,"",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1,"所有职业",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,"剑术师",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
3,"格斗家",false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
4,"斧术师",false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
5,"枪术师",false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
6,"弓箭手",false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
7,"幻术师",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
8,"咒术师",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
9,"刻木匠",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10,"锻铁匠",false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11,"铸甲匠",false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12,"雕金匠",false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
13,"制革匠",false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
14,"裁衣匠",false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15,"炼金术士",false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
