Index,0 [STRING] [0x0],1 [UBYTE] [0x38],2 [FLOAT] [0x4],3 [FLOAT] [0x8],4 [FLOAT] [0xC],5 [FLOAT] [0x10],6 [FLOAT] [0x14],7 [FLOAT] [0x18],8 [FLOAT] [0x1C],9 [FLOAT] [0x20],10 [FLOAT] [0x24],11 [FLOAT] [0x28],12 [FLOAT] [0x2C],13 [FLOAT] [0x30],14 [FLOAT] [0x34]
0,"标准",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,"回溯过去",9,0.0,-0.2,-0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,"回溯过去（无特效）",10,0.0,-0.2,-0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,"棕色",2,0.0,0.0,-0.3,0.0,0.0,1.0,-0.2,0.0,0.0,0.0,0.0,0.1,0.9
4,"黑白",3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"鲜艳",4,0.0,0.0,0.0,0.0,-0.2,0.0,-0.2,0.1,0.0,0.1,0.0,0.0,1.0
7,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"色调分离",5,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5
11,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"色调分离（黑白）",6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
13,"彩色铅笔",7,0.0,0.0,0.1,-0.3,-0.1,0.2,0.0,0.0,0.0,0.0,-0.2,0.4,0.6
14,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"色粉画",8,0.0,0.0,0.1,-0.3,0.0,0.2,-0.1,0.6,0.6,0.6,-0.2,0.1,0.4
16,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"以太成像",11,0.0,0.0,0.0,0.0,-1.0,-0.8,1.0,1.0,0.7,0.3,1.0,0.3,1.0
22,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
