Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [INT] [0xC],3 [UBYTE] [0x10],4 [UINT] [0x8],5 [UBYTE] [0x11],6 [BBOOL] [0x12]
0,"","",0,0,0,0,true
1,"讨伐经验值提高","24小时内（地球时间），打倒敌人时获得的经验增加5%。",64213,5,3500,1,true
2,"采集经验值提高","24小时内（地球时间），采集时获得的经验增加5%。",64215,5,3500,2,true
3,"制作经验值提高","24小时内（地球时间），制作时获得的经验增加5%。",64216,5,3500,3,true
4,"搭档经验值提高","24小时内（地球时间），搭档获得的经验增加10%。",64214,5,2800,4,true
5,"对战战绩提高","24小时内（地球时间），对战时所获得的狼印战绩增加5%。",64217,5,2800,5,true
6,"军票提高","24小时内（地球时间），获得的军票增加5%。",64218,5,2800,6,true
7,"鼓励新人","24小时内（地球时间），25级以下战斗职业的所有状态参数提高10%。",64201,5,1750,8,true
8,"获得力提高","24小时内（地球时间），大地使者提升5点获得力。",64202,5,2800,9,true
9,"鉴别力提高","24小时内（地球时间），大地使者提升5点鉴别力。",64203,5,2800,10,true
10,"作业精度提高","24小时内（地球时间），能工巧匠提升5点作业精度。",64204,5,2800,11,true
11,"加工精度提高","24小时内（地球时间），能工巧匠提升5点加工精度。",64205,5,2800,12,true
12,"精炼度增加量提高","24小时内（地球时间），精炼度增长得更快。",64209,5,3500,13,true
13,"食物效果时间延长","24小时内（地球时间），食物的效果时间延长5分钟。",64208,5,2800,14,true
14,"装备损耗降低","24小时内（地球时间），装备品耐久度损耗降低10%。",64210,5,3500,15,true
15,"衰弱时间缩短","24小时内（地球时间），衰弱状态的效果时间缩短10%。",64211,5,2800,16,true
16,"传送优惠","24小时内（地球时间），传送所需要花费的金币减少20%。",64212,5,3500,17,true
17,"金碟币提高","24小时内（地球时间），获得的金碟币增加5%。",64219,5,2800,7,true
18,"","",0,0,0,0,false
19,"","",0,0,0,0,false
20,"","",0,0,0,0,false
21,"","",0,0,0,0,false
22,"","",0,0,0,0,false
23,"","",0,0,0,0,false
24,"","",0,0,0,0,false
25,"","",0,0,0,0,false
26,"","",0,0,0,0,false
27,"","",0,0,0,0,false
28,"","",0,0,0,0,false
29,"","",0,0,0,0,false
30,"","",0,0,0,0,false
31,"讨伐经验值提高II","24小时内（地球时间），打倒敌人时获得的经验增加10%。",64238,8,7000,18,true
32,"采集经验值提高II","24小时内（地球时间），采集时获得的经验增加10%。",64240,8,7000,19,true
33,"制作经验值提高II","24小时内（地球时间），制作时获得的经验增加10%。",64241,8,7000,20,true
34,"搭档经验值提高II","24小时内（地球时间），搭档获得的经验增加15%。",64239,8,7000,21,true
35,"对战战绩提高II","24小时内（地球时间），对战时所获得的狼印战绩增加10%。",64242,8,7000,22,true
36,"军票提高II","24小时内（地球时间），获得的军票增加10%。",64243,8,7000,23,true
37,"鼓励新人II","24小时内（地球时间），49级以下战斗职业的所有状态参数提高5%。",64226,8,3500,25,true
38,"获得力提高II","24小时内（地球时间），大地使者提升10点获得力。",64227,8,7000,26,true
39,"鉴别力提高II","24小时内（地球时间），大地使者提升10点鉴别力。",64228,8,7000,27,true
40,"作业精度提高II","24小时内（地球时间），能工巧匠提升10点作业精度。",64229,8,7000,28,true
41,"加工精度提高II","24小时内（地球时间），能工巧匠提升10点加工精度。",64230,8,7000,29,true
42,"精炼度增加量提高II","24小时内（地球时间），精炼度增长得更快。",64234,8,7000,30,true
43,"食物效果时间延长II","24小时内（地球时间），食物的效果时间延长10分钟。",64233,8,7000,31,true
44,"装备损耗降低II","24小时内（地球时间），装备品耐久度损耗降低20%。",64235,8,7000,32,true
45,"衰弱时间缩短II","24小时内（地球时间），衰弱状态的效果时间缩短15%。",64236,8,5600,33,true
46,"传送优惠II","24小时内（地球时间），传送所需要花费的金币减少30%。",64237,8,7000,34,true
47,"金碟币提高II","24小时内（地球时间），获得的金碟币增加10%。",64244,8,7000,24,true
48,"","",0,0,0,0,false
49,"","",0,0,0,0,false
50,"","",0,0,0,0,false
51,"","",0,0,0,0,false
52,"","",0,0,0,0,false
53,"","",0,0,0,0,false
54,"","",0,0,0,0,false
55,"","",0,0,0,0,false
56,"","",0,0,0,0,false
57,"","",0,0,0,0,false
58,"","",0,0,0,0,false
59,"","",0,0,0,0,false
60,"","",0,0,0,0,false
61,"讨伐经验值提高III","24小时内（地球时间），打倒敌人时获得的经验增加15%。",64263,8,10500,35,false
62,"采集经验值提高III","24小时内（地球时间），采集时获得的经验增加20%。",64265,8,10500,36,false
63,"制作经验值提高III","24小时内（地球时间），制作时获得的经验增加20%。",64266,8,10500,37,false
64,"搭档经验值提高III","24小时内（地球时间），搭档获得的经验增加20%。",64264,8,10500,38,false
65,"对战战绩提高III","24小时内（地球时间），对战时所获得的狼印战绩增加15%。",64267,8,10500,39,false
66,"军票提高III","24小时内（地球时间），获得的军票增加15%。",64268,8,10500,40,false
67,"","",0,0,0,0,false
68,"获得力提高III","24小时内（地球时间），大地使者提升15点获得力。",64252,8,10500,43,false
69,"鉴别力提高III","24小时内（地球时间），大地使者提升15点鉴别力。",64253,8,10500,44,false
70,"作业精度提高III","24小时内（地球时间），能工巧匠提升15点作业精度。",64254,8,10500,45,false
