Index,0 [USHORT] [0x0],1 [USHORT] [0x18],2 [USHORT] [0x30],3 [USHORT] [0x2],4 [USHORT] [0x1A],5 [USHORT] [0x32],6 [USHORT] [0x4],7 [USHORT] [0x1C],8 [USHORT] [0x34],9 [USHORT] [0x6],10 [USHORT] [0x1E],11 [USHORT] [0x36],12 [USHORT] [0x8],13 [USHORT] [0x20],14 [USHORT] [0x38],15 [USHORT] [0xA],16 [USHORT] [0x22],17 [USHORT] [0x3A],18 [USHORT] [0xC],19 [USHORT] [0x24],20 [USHORT] [0x3C],21 [USHORT] [0xE],22 [USHORT] [0x26],23 [USHORT] [0x3E],24 [USHORT] [0x10],25 [USHORT] [0x28],26 [USHORT] [0x40],27 [USHORT] [0x12],28 [USHORT] [0x2A],29 [USHORT] [0x42],30 [USHORT] [0x14],31 [USHORT] [0x2C],32 [USHORT] [0x44],33 [USHORT] [0x16],34 [USHORT] [0x2E],35 [USHORT] [0x46]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112,3,3,113,3,3,229,3,3,340,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,3,3,216,3,3,340,3,3,630,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,3,337,3,3,346,3,3,412,2,3,628,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,340,1,3,649,1,3,866,1,3,854,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,340,1,3,650,1,3,866,1,3,854,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,340,1,3,651,1,3,866,1,3,854,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,112,3,3,113,3,3,229,3,3,340,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,18,3,3,220,3,3,346,6,3,643,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,17,4,3,337,3,3,355,3,3,419,4,3,628,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,340,1,3,652,1,3,866,1,3,854,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,340,1,3,653,1,3,866,1,3,854,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,340,1,3,654,1,3,866,1,3,854,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5,6,3,8,6,3,104,6,3,220,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,10,6,3,102,6,3,219,6,3,340,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,112,6,3,226,6,3,405,6,3,510,6,3,628,6,3,621,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,6,6,3,10,6,3,104,6,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,15,3,3,105,6,3,219,6,3,340,6,3,621,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,110,6,3,111,6,3,346,7,3,628,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,7,8,3,10,8,3,107,8,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,12,8,3,105,8,3,212,8,3,340,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,112,8,3,220,8,3,408,8,3,527,3,3,628,6,3,640,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,6,8,3,10,8,3,104,8,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,16,4,3,112,8,3,222,8,3,346,8,3,640,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,112,10,3,232,6,3,362,3,3,628,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,9,8,3,12,8,3,113,8,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,17,4,3,102,8,3,226,8,3,357,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,115,7,3,232,4,3,422,3,3,527,3,3,628,8,3,644,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,19,8,3,12,4,3,113,8,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,21,3,3,115,8,3,235,8,3,346,8,3,640,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,112,8,3,234,4,3,362,3,3,422,3,3,628,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,9,7,3,114,7,3,104,7,3,206,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,103,7,3,206,7,3,210,7,3,213,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,116,2,3,213,4,3,413,2,3,412,2,3,510,4,3,517,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,11,4,3,114,7,3,104,7,3,206,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,106,7,3,213,7,3,229,4,3,224,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,116,4,3,125,3,3,213,7,3,340,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,11,4,3,125,3,3,107,7,3,213,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,106,7,3,108,7,3,220,7,3,228,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,116,6,3,218,6,3,417,6,3,527,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,12,4,3,107,10,3,114,10,3,218,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,106,10,3,108,10,3,224,10,3,229,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,125,3,3,120,4,3,228,4,3,362,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,12,4,3,125,3,3,113,10,3,224,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,106,10,3,108,10,3,220,10,3,228,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,116,4,3,228,4,3,418,6,3,422,3,3,527,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,21,3,3,113,10,3,114,10,3,224,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,123,10,3,112,10,3,229,6,3,228,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,120,5,3,122,5,3,228,5,3,237,3,3,362,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,106,8,3,108,8,3,223,8,3,220,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,105,8,3,106,8,3,214,8,3,229,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,110,10,3,226,2,3,319,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,106,10,3,108,10,3,223,10,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,108,10,3,214,10,3,229,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,12,3,3,110,10,3,319,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,106,10,3,112,10,3,223,10,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,108,10,3,120,6,3,214,10,3,229,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,110,10,3,226,3,3,329,10,3,346,6,3,619,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,108,10,3,106,10,3,223,10,3,237,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
