Index,0 [UINT] [0xC],1 [STRING] [0x8],2 [STRING] [0x0],3 [STRING] [0x4]
100,1,"@","【语言】","Languages."
101,1,"","请使用定型文翻译系统。","-"
102,1,"","日语","-"
103,1,"","英语","-"
104,1,"","法语","-"
105,1,"","德语","-"
106,1,"","你会说日语吗？","-"
107,1,"","你会说英语吗？","-"
108,1,"","你会说法语吗？","-"
109,1,"","你会说德语吗？","-"
110,1,"","我不会说英语。","-"
111,1,"","我不会说日语。","-"
112,1,"","我不会说法语。","-"
113,1,"","我不会说德语。","-"
114,1,"","请听着。","-"
115,1,"","能听见吗？","-"
116,1,"","我会说一点。","-"
117,1,"","我能看懂一点。","-"
118,1,"","请用简单的词汇。","-"
119,1,"","请不要使用省略语。","-"
120,1,"","请稍等，我需要些时间来回复。","-"
121,1,"","你的母语是什么？","-"
200,2,"@","【问候语】","Greetings."
201,2,"","很高兴见到你。","-"
202,2,"","早上好！","-"
203,2,"","你好！","-"
204,2,"","晚上好！","-"
205,2,"","晚安！","-"
206,2,"","再会。","-"
207,2,"","今天很高兴。","-"
208,2,"","回头见！","-"
209,2,"","有时间再一起玩！","-"
210,2,"","我回来了！","-"
211,2,"","欢迎回来。","-"
212,2,"","恭喜！","-"
213,2,"","干得好！","-"
214,2,"","加油！","-"
215,2,"","太好了！","-"
216,2,"","谢谢你。","-"
217,2,"","不客气。","-"
218,2,"","多保重。","-"
219,2,"","对不起。","-"
220,2,"","请原谅我。","-"
221,2,"","很遗憾。","-"
222,2,"","打扰一下……","-"
223,2,"","祝你旅途愉快。","-"
224,2,"","我是第一次来这里。","-"
225,2,"","我很期待！","-"
226,2,"","打得好！辛苦了！","-"
227,2,"","请多关照！","-"
300,3,"@","【提问】","Questions."
301,3,"","谁？","-"
302,3,"","哪个？","-"
303,3,"","怎样？","-"
304,3,"","什么？","-"
305,3,"","几时？","-"
306,3,"","多少？","-"
307,3,"","在哪？","-"
308,3,"","为什么？","-"
309,3,"","怎么了？","-"
310,3,"","我们要去哪？","-"
311,3,"","你可以吗？","-"
312,3,"","需要帮忙吗？","-"
313,3,"","我们做什么任务？","-"
314,3,"","你能做什么任务？","-"
315,3,"","你有吗？","-"
316,3,"","现在你在使用什么武器？","-"
317,3,"","你还能使用其他什么职业？","-"
318,3,"","你还能担任其他什么职能？","-"
319,3,"","你设置好了吗？","-"
320,3,"","用什么战术？","-"
321,3,"","我能加你为好友吗？","-"
322,3,"","能休息下吗？","-"
323,3,"","稍微修理一下吧？","-"
324,3,"","能帮我修理一下吗？","-"
325,3,"","需要我帮你镶嵌魔晶石吗？","-"
326,3,"","能帮我镶嵌下魔晶石吗？","-"
327,3,"","你要加入我的小队吗？","-"
328,3,"","能把我加入你的小队吗？","-"
329,3,"","我们把小队解散了怎么样？","-"
330,3,"","来加入我们的通讯贝吗？","-"
331,3,"","能让我加入通讯贝吗？","-"
332,3,"","来加入我们的部队吗？","-"
333,3,"","能让我加入部队吗？","-"
400,4,"@","【回答】","Answers."
401,4,"","我不知道。","-"
402,4,"","不，谢了。","-"
403,4,"","好的，拜托了。","-"
404,4,"","拜托您了。","-"
405,4,"","明白。","-"
406,4,"","抱歉，我现在很忙。","-"
407,4,"","我现在想独自一人。","-"
408,4,"","我不知道该怎么回答这问题。","-"
409,4,"","原来如此。","-"
410,4,"","谢谢你的提案，不过还是算了。","-"
411,4,"","听起来有意思。","-"
412,4,"","嗯……","-"
413,4,"","啊？！","-"
414,4,"","真的？","-"
415,4,"","唔。","-"
416,4,"","一会还有别的事。","-"
500,5,"@","【理由】","Reasons."
501,5,"","正在咏唱。","-"
502,5,"","该工作了。","-"
503,5,"","我约了人。","-"
504,5,"","我困了。","-"
505,5,"","我累了。","-"
506,5,"","有事要办，先走一步！","-"
507,5,"","身体有点不舒服。","-"
508,5,"","我不是很有兴趣。","-"
509,5,"","我有兴趣。","-"
510,5,"","我现在正在任务里。","-"
511,5,"","正在战斗中！","-"
512,5,"","我想挣钱。","-"
513,5,"","我不记得了。","-"
514,5,"","我不知道。","-"
515,5,"","刚用了……","-"
516,5,"","我想挣技能点数。","-"
517,5,"","我错了。","-"
518,5,"","已经有人邀请我了。","-"
519,5,"","我已经有一个了。","-"
520,5,"","招募已经结束了。","-"
521,5,"","我正在做准备。","-"
522,5,"","现在无法脱身。","-"
600,6,"@","【交易】","Trade."
601,6,"","能卖给我吗？","-"
602,6,"","能为我帮个忙吗？","-"
603,6,"","能便宜些吗？","-"
604,6,"","要买吗？","-"
605,6,"","要卖吗？","-"
606,6,"","能交换吗？","-"
607,6,"","你需要吗？","-"
608,6,"","你能制作吗？","-"
609,6,"","你有吗？","-"
610,6,"","需要什么必要的素材？","-"
611,6,"","没钱！","-"
612,6,"","我没有那个道具。","-"
613,6,"","我没什么能给你的。","-"
614,6,"","给你这个。","-"
615,6,"","请","-"
616,6,"","报酬：","-"
617,6,"","价格：","-"
618,6,"","发送物品","-"
700,7,"@","【组织】","Organize."
701,7,"","寻找同伴中。","-"
702,7,"","请集合。","-"
703,7,"","组队怎样？","-"
704,7,"","你是一个人吗？","-"
705,7,"","有空位吗？","-"
706,7,"","请邀请我。","-"
707,7,"","请让我加入。","-"
708,7,"","谁是队长？","-"
709,7,"","就一会儿也可以。","-"
710,7,"","我们小队满了。","-"
711,7,"","请帮个忙。","-"
712,7,"","小队解散。","-"
713,7,"","暂离一下。","-"
714,7,"","希望组队","-"
715,7,"","轻锐小队","-"
716,7,"","满编小队","-"
800,8,"@","【战术】","Tactics."
801,8,"","请跟上。","-"
802,8,"","我会跟上的。","-"
803,8,"","调查看看。","-"
804,8,"","我找到了！","-"
805,8,"","全力攻击！","-"
806,8,"","稍微退后些。","-"
807,8,"","请留意仇恨值。","-"
808,8,"","先干掉这个！","-"
809,8,"","请不要攻击。","-"
810,8,"","拉住那只怪！","-"
811,8,"","请使它无效化。","-"
812,8,"","回复！","-"
813,8,"","快加上！","-"
814,8,"","快跑！","-"
815,8,"","救命！","-"
816,8,"","停止！","-"
817,8,"","待命中。","-"
818,8,"","没剩下了。","-"
819,8,"","没有了。","-"
820,8,"","请节约一点。","-"
821,8,"","我会节约的。","-"
822,8,"","装备品的耐久度下降了。","-"
823,8,"","准备完毕！","-"
824,8,"","请标记怪物。","-"
825,8,"","用这个吧。","-"
826,8,"","休息一下吧。","-"
827,8,"","我去引敌人过来。","-"
828,8,"","我去吸引敌人。","-"
829,8,"","请等一下。","-"
830,8,"","在那边集合吧。","-"
831,8,"","我们走吧。","-"
832,8,"","请到那边去。","-"
833,8,"","我现在过去。","-"
834,8,"","马上回来。","-"
