Index,0 [STRING] [0x4],1 [UBYTE] [0xA],2 [UBYTE] [0xB],3 [BBOOL] [0xD],4 [UBYTE] [0xC],5 [USHORT] [0x8],6 [STRING] [0x0]
0,"",255,255,false,0,0,""
11,"MOVE_AND_STEER",255,255,false,1,1,"控制移动"
12,"MOVE_FORE",255,255,false,1,2,"前进 / 向前移动"
13,"MOVE_BACK",255,255,false,1,3,"后退 / 向后移动"
14,"MOVE_LEFT",255,255,false,1,4,"左转 / 向左移动"
15,"MOVE_RIGHT",255,255,false,1,5,"右转 / 向右移动"
16,"MOVE_STRIFE_L",255,255,false,1,6,"向左平移"
17,"MOVE_STRIFE_R",255,255,false,1,7,"向右平移"
18,"JUMP",255,255,false,1,8,"跳跃"
19,"WALK",255,255,false,1,9,"切换奔跑与行走"
20,"AUTORUN_KEY",255,255,false,1,10,"开启/关闭自动前进"
21,"SWARD",255,255,false,1,11,"拔出/收回武器"
22,"CAMERA_FOCUS",255,255,false,1,12,"锁定所选目标"
23,"",255,255,false,0,0,""
24,"",255,255,false,0,0,""
25,"",255,255,false,0,0,""
26,"",255,255,false,0,0,""
27,"",255,255,false,0,0,""
28,"",255,255,false,0,0,""
29,"",255,255,false,0,0,""
30,"",255,255,false,0,0,""
31,"",255,255,false,0,0,""
32,"",255,255,false,0,0,""
33,"",255,255,false,0,0,""
34,"",255,255,false,0,0,""
35,"",255,255,false,0,0,""
36,"",255,255,false,0,0,""
37,"",255,255,false,0,0,""
38,"",255,255,false,0,0,""
39,"",255,255,false,0,0,""
40,"",255,255,false,0,0,""
41,"",255,255,false,0,0,""
42,"",255,255,false,0,0,""
43,"",255,255,false,0,0,""
44,"",255,255,false,0,0,""
45,"",255,255,false,0,0,""
46,"",255,255,false,0,0,""
47,"",255,255,false,0,0,""
48,"",255,255,false,0,0,""
49,"",255,255,false,0,0,""
51,"CAMERA_UP",255,255,false,1,13,"向上移动视角"
52,"CAMERA_DOWN",255,255,false,1,14,"向下移动视角"
53,"CAMERA_LEFT",255,255,false,1,15,"向左移动视角"
54,"CAMERA_RIGHT",255,255,false,1,16,"向右移动视角"
55,"CAMERA_MODE",255,255,false,1,17,"切换第一人称视角与第三人称视角"
56,"CAMERA_BACKWARD",255,255,false,1,18,"翻转视角"
57,"CAMERA_ZOOMIN",255,255,false,1,19,"缩进视角 / 上一页"
58,"CAMERA_ZOOMOUT",255,255,false,1,20,"拉远视角 / 下一页"
59,"CAMERA_LOAD",255,255,false,1,21,"将视角恢复默认设置"
60,"CAMERA_SAVE",255,255,false,1,22,"记录当前视角设置"
61,"CAMERA_RESET",255,255,false,1,23,"重制视角设置"
62,"CAM_TILT_UP",255,255,false,1,24,"提高视角俯视角度"
63,"CAM_TILT_DOWN",255,255,false,1,25,"降低视角俯视角度"
64,"CAMERA_LOOKING",255,255,false,1,26,"视线面向当前镜头"
65,"",255,255,false,0,0,""
66,"",255,255,false,0,0,""
67,"",255,255,false,0,0,""
68,"",255,255,false,0,0,""
