Index,0 [BBOOL] [0xA],1 [UBYTE] [0x0],2 [BBOOL] [0xA],3 [BBOOL] [0xA],4 [UBYTE] [0x1],5 [UBYTE] [0x2],6 [UBYTE] [0x3],7 [UBYTE] [0x4],8 [UBYTE] [0x5],9 [UBYTE] [0x6],10 [UBYTE] [0x7],11 [UBYTE] [0x8],12 [UBYTE] [0x9],13 [BBOOL] [0xA],14 [BBOOL] [0xA],15 [BBOOL] [0xA],16 [BBOOL] [0xA]
0,false,0,false,false,0,8,4,1,0,0,0,0,0,false,true,false,false
1,false,0,false,false,0,8,1,1,0,0,0,0,0,false,false,false,false
2,false,0,false,false,0,8,4,1,0,1,1,1,1,false,true,false,false
3,false,0,false,false,0,8,8,1,0,2,2,2,2,false,true,false,false
4,true,1,true,false,3,24,8,3,0,1,2,3,2,false,false,false,false
5,true,1,false,false,3,24,8,3,0,1,2,3,2,false,false,false,false
6,false,0,false,false,0,8,4,2,0,1,1,1,1,true,false,false,false
7,true,1,false,false,3,24,8,9,0,0,0,0,0,false,false,false,false
8,false,0,false,false,0,8,8,9,1,1,2,3,2,false,true,false,false
9,false,0,false,false,0,8,8,2,0,2,2,2,2,true,false,false,false
10,false,0,false,false,0,8,2,1,0,0,0,0,0,false,true,false,false
11,false,0,false,false,0,8,4,1,0,0,0,0,0,false,true,false,false
12,false,0,false,false,0,8,8,72,1,0,0,0,0,false,true,true,false
13,false,0,false,false,0,8,8,2,0,0,0,0,0,false,true,false,false
14,false,0,true,true,2,8,4,2,0,0,0,0,0,false,true,false,false
15,false,0,true,true,2,16,8,2,0,0,0,0,0,false,true,false,false
16,false,0,false,false,0,8,8,9,1,0,0,0,0,false,true,false,false
17,false,0,false,false,0,8,8,2,0,0,0,0,0,false,false,false,false
18,true,2,false,false,0,8,4,12,0,0,0,0,0,false,false,false,false
19,false,0,false,false,0,8,8,144,1,0,0,0,0,false,true,true,false
20,false,0,false,false,0,8,2,1,0,0,0,0,0,false,true,false,false
21,false,0,false,false,0,8,4,2,0,1,1,1,1,true,false,false,true
22,false,0,true,true,2,8,4,2,0,0,0,0,0,false,true,false,true
