Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [STRING] [0x8],3 [UBYTE] [0x1E],4 [BBOOL] [0x21],5 [BBOOL] [0x21],6 [BBOOL] [0x21],7 [USHORT] [0x14],8 [UINT] [0xC],9 [USHORT] [0x16],10 [USHORT] [0x18],11 [USHORT] [0x1A],12 [UINT] [0x10],13 [USHORT] [0x1C],14 [UBYTE] [0x1F],15 [UBYTE] [0x20]
0,"","","",0,false,false,false,0,0,0,0,0,0,0,0,0
1,"随机任务：练级","随机参加当前可以参加的迷宫或轻锐小队用讨伐战。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※军票的报酬量由参加时的职业与等级决定。
※随机任务的奖励一天只能获得一次。
※组满规定人数参加时不会获得“少数职能奖励”。","对应任务：轻锐小队用迷宫、轻锐小队用讨伐战",0,true,false,false,0,112034,0,100,5,0,0,4,2
2,"随机任务：50级","随机参加已经开放的50级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次。
※组满规定人数参加时不会获得“少数职能奖励”。","对应任务：轻锐小队用50级迷宫",0,true,true,false,90,112035,100,120,0,0,0,3,2
3,"随机任务：主线任务","随机参加已经开放的主线剧情8人任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次。
※组满规定人数参加时不会获得“少数职能奖励”。","对应任务：满编小队用迷宫",0,true,false,false,42,112036,120,0,0,0,0,6,3
4,"随机任务：行会令","随机参加已经开放的行会令任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。
※军票的报酬量由参加时的职业与等级决定。
※随机任务的奖励一天只能获得一次。
※组满规定人数参加时不会获得“少数职能奖励”。
※以4人小队组队参加4人用行会令时可以无视职能要求自由组合。","对应任务：行会令",0,true,false,false,0,112037,0,0,0,0,0,7,3
5,"随机任务：高难度","随机参加已经开放的高难度迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次。
※组满规定人数参加时不会获得“少数职能奖励”。","对应任务：轻锐小队用高难度迷宫",0,true,true,false,200,112057,0,60,35,0,0,1,2
6,"随机任务：讨伐歼灭战","随机参加当前能够加入的满编小队用讨伐歼灭战。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务的奖励一天只能获得一次。
※组满规定人数参加时不会获得“少数职能奖励”。","对应任务：满编小队用讨伐歼灭战",0,true,false,false,90,112056,0,60,10,0,0,5,3
7,"随机任务：纷争前线","随机参加已经开放的纷争前线战斗。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务的奖励一天只能获得一次。","对应任务：纷争前线",0,true,false,true,0,112083,0,50,20,600,600,8,1
8,"随机任务：60级","随机参加已经开放的60级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次。
※组满规定人数参加时不会获得“少数职能奖励”。","对应任务：轻锐小队用60级迷宫",0,true,true,false,180,112123,0,100,15,0,0,2,2
9,"随机任务：指导者","随机参加已经开放的指导者用迷宫,仅限已成为指导者的玩家使用。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。

※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。
※随机任务的奖励一天只能获得一次。","对应任务：指导者用迷宫",0,true,true,false,205,112144,0,30,10,0,0,9,1
