Index,0 [UBYTE] [0x18],1 [UBYTE] [0x19],2 [INT] [0x8],3 [UBYTE] [0x1A],4 [INT] [0xC],5 [UBYTE] [0x1B],6 [INT] [0x10],7 [USHORT] [0x14],8 [USHORT] [0x16],9 [STRING] [0x0],10 [STRING] [0x4]
0,0,0,0,0,0,0,0,0,0,"",""
1,1,1,3,5,15,3,1000,0,57,"挑战随机任务","使用随机任务成功挑战迷宫3次。"
2,1,2,5,5,10,3,2000,0,57,"挑战迷宫次数","成功挑战迷宫5次。"
3,2,1,3,5,5,3,1000,0,71,"挑战行会令次数1","成功挑战行会令3次。"
4,2,2,10,5,10,3,2000,0,71,"挑战行会令次数2","成功挑战行会令10次。"
5,0,0,0,0,0,0,0,0,0,"",""
6,0,0,0,0,0,0,0,0,0,"",""
7,3,1,10,0,0,4,10,0,130,"挑战狼狱竞技场次数","参加10次狼狱水上竞技场。"
8,3,2,3,0,0,4,15,0,130,"狼狱竞技场获胜次数","在狼狱水上竞技场获胜3次。"
9,4,1,5,5,15,3,1000,0,0,"危命任务地域称霸","在5个地区的危命任务中获得最高评价。"
10,4,2,10,5,15,3,2000,0,0,"危命任务类型称霸","完成10种危命任务。"
11,5,1,5,5,15,3,1000,0,0,"理符任务类型称霸","完成5种不同类型的理符任务。"
12,5,2,20,5,15,3,2000,0,0,"挑战理符任务次数","完成20次理符任务。"
13,6,1,10,0,0,6,1000,0,89,"军需品补给品筹备次数","交纳10次筹备中的军需品及补给品。"
14,6,2,5,0,0,6,1000,0,89,"军需品补给品优质筹备次数","以优质道具交纳5次筹备中的军需品及补给品。"
15,7,1,3,0,0,3,1000,0,149,"寻宝地图采集次数","成功采集陈旧的地图3次。"
16,7,2,5,0,0,3,2000,0,149,"宝箱挖掘次数","成功打开宝箱获得宝物5次。"
17,8,1,20,7,5,3,1000,0,96,"搭档讨伐数1","与搭档一起讨伐20只等级接近的敌人。"
18,8,2,100,7,10,3,2000,0,96,"搭档讨伐数2","与搭档一起讨伐100只等级接近的敌人。"
19,9,1,5,0,0,3,1000,0,152,"蛮族任务完成次数1","成功完成5次蛮族日常任务。"
20,9,2,15,0,0,3,2000,0,152,"蛮族任务完成次数2","成功完成15次蛮族日常任务。"
21,10,1,5,0,0,3,4000,0,0,"挑战笔记完成数1","完成5种挑战笔记中的项目。"
22,10,2,10,0,0,3,4000,0,0,"挑战笔记完成数2","完成10种挑战笔记中的项目。"
23,10,3,15,0,0,3,5000,20,0,"挑战笔记完成数3","完成15种挑战笔记中的项目。"
24,10,4,20,0,0,3,5000,30,0,"挑战笔记完成数4","完成20种挑战笔记中的项目。"
25,11,1,5,5,10,3,1000,0,160,"最优队员","给出5次最优队员推荐。"
26,12,1,100,5,5,3,1000,0,0,"采集活动","使用采矿工或园艺工采集100个等级接近的道具。"
27,12,2,30,5,5,3,2000,0,0,"优质采集活动","使用采矿工或园艺工采集30个等级接近的优质道具。"
28,12,3,30,5,5,3,1000,0,0,"钓鱼","使用捕鱼人成功钓鱼30次。"
29,12,4,10,5,5,3,2000,0,0,"优质钓鱼","使用捕鱼人成功钓起优质的鱼10次。"
30,13,1,30,5,10,3,1000,0,0,"制作活动","成功制作30个等级接近的道具。"
31,13,2,20,5,10,3,2000,0,0,"优质制作活动","成功制作20个等级接近的优质道具。"
32,13,3,5,5,10,3,2000,0,98,"镶嵌魔晶石","成功镶嵌5次魔晶石。"
33,14,1,10,0,0,3,1000,0,168,"雇员探险成功次数","让雇员外出探险成功10次。"
34,14,2,15,0,0,3,4000,0,169,"雇员探索委托次数","让雇员成功完成探索委托15次。"
35,3,3,7,0,0,4,10,0,176,"法外战区参战次数","参加7次法外战区的战斗。"
36,3,4,3,0,0,4,15,0,176,"法外战区胜利次数","在法外战区的战斗中获胜3次。"
