Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [USHORT] [0x2C],3 [USHORT] [0x2E],4 [USHORT] [0x30],5 [BYTE] [0x35],6 [UBYTE] [0x32],7 [UBYTE] [0x33],8 [UINT] [0x8],9 [BBOOL] [0x36],10 [UBYTE] [0x34],11 [INT] [0xC],12 [INT] [0x10],13 [INT] [0x14],14 [INT] [0x18],15 [INT] [0x1C],16 [INT] [0x20],17 [INT] [0x24],18 [INT] [0x28]
100000,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100001,"制作","消耗耐久以推动作业进展<br>效率：100<br>成功率：90%",239,246,1501,8,9,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"加工","消耗耐久以提高制品品质<br>效率：100<br>成功率：70%",240,247,1502,8,9,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"精修","恢复30点耐久",242,249,1507,8,9,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100004,"中级加工","消耗耐久以提高制品品质<br>效率：125<br>成功率：80%",240,247,1516,8,9,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"精修II","恢复60点耐久",242,249,1520,8,9,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100006,"风之印记","消耗耐久以推动作业进展<br>处理风属性配方时效率变为2倍<br>效率：100（200）<br>成功率：90%",239,246,1509,8,33,37,0,false,6,100006,100006,100006,100006,100006,100006,100006,100006
100007,"中级制作","消耗耐久以推动作业进展<br>效率：150<br>成功率：90%",239,246,1515,8,9,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100008,"上级加工","消耗耐久以提高制品品质<br>效率：150<br>成功率：90%",240,247,1517,8,9,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100009,"比尔格的祝福","消耗耐久以提高制品品质<br>随内静的效果提高效率，内静每生效过一次效率提升20<br>使用之后会结束内静效果<br>效率：100（100～）<br>成功率：90%",240,247,1521,8,33,50,0,false,24,100009,100009,100009,100009,100009,100009,100009,100009
100010,"观察","放空一次作业，不做任何事",242,249,1518,8,9,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
