Index,0 [UBYTE] [0x2E],1 [USHORT] [0x2C],2 [FLOAT] [0x0],3 [FLOAT] [0x4],4 [FLOAT] [0x8],5 [FLOAT] [0xC],6 [FLOAT] [0x10],7 [FLOAT] [0x14],8 [FLOAT] [0x18],9 [FLOAT] [0x1C],10 [FLOAT] [0x20],11 [FLOAT] [0x24],12 [FLOAT] [0x28]
0,0,0,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,45.0
1,1,101,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,45.0
2,1,201,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,40.0,40.0
3,1,301,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,45.0
4,1,401,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,40.0,40.0
5,1,501,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,40.0,40.0
6,1,601,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,45.0
7,1,701,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,45.0
8,1,801,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,40.0,40.0
9,1,901,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,40.0,45.0
10,1,1001,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,40.0
11,1,1101,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,30.0,43.0
12,1,1201,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,30.0,43.0
13,1,1301,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,45.0
14,1,1401,2.0,5.0,0.6,4.0,2.0,5.0,8.0,30.0,30.0,45.0,45.0
15,1,104,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30.0,40.0,40.0,40.0
16,1,204,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30.0,40.0,40.0,40.0
17,1,504,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30.0,40.0,40.0,40.0
18,1,604,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30.0,40.0,40.0,40.0
19,1,804,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30.0,40.0,40.0,40.0
20,1,9104,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30.0,40.0,40.0,40.0
21,1,9204,1.3,5.0,0.6,4.0,2.0,5.0,0.0,30.0,40.0,40.0,40.0
