Index,0 [INT] [0x0],1 [UBYTE] [0x20],2 [UBYTE] [0x28],3 [INT] [0x4],4 [UBYTE] [0x21],5 [UBYTE] [0x29],6 [INT] [0x8],7 [UBYTE] [0x22],8 [UBYTE] [0x2A],9 [INT] [0xC],10 [UBYTE] [0x23],11 [UBYTE] [0x2B],12 [INT] [0x10],13 [UBYTE] [0x24],14 [UBYTE] [0x2C],15 [INT] [0x14],16 [UBYTE] [0x25],17 [UBYTE] [0x2D],18 [INT] [0x18],19 [UBYTE] [0x26],20 [UBYTE] [0x2E],21 [INT] [0x1C],22 [UBYTE] [0x27],23 [UBYTE] [0x2F]
0,5361,1,1,1891,1,2,1820,1,3,3763,1,4,2219,1,5,1996,1,6,1892,1,7,2572,1,8
1,2406,1,11,2457,1,12,1823,1,13,1824,1,14,1894,1,15,5367,1,16,1825,1,17,2000,1,18
2,5368,1,21,2408,1,22,2460,1,23,3805,1,24,5371,1,25,2246,1,26,1836,1,27,1627,1,28
3,1915,1,31,5373,1,32,2462,1,33,2411,1,34,1847,1,35,1920,1,36,2579,1,37,1855,1,38
4,1650,1,41,2413,1,43,2581,1,45,1862,1,44,2039,1,44,5376,1,45,1932,1,45,2287,1,45
5,1937,1,46,1867,1,47,3908,1,48,2582,1,48,1942,1,49,1872,1,49,2414,1,47,1941,1,47
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5056,1,1,1602,1,2,5091,1,3,2430,1,4,2328,1,5,2507,1,6,1603,1,7,1751,1,7
11,2431,1,11,2508,1,12,1684,1,13,1753,1,14,2343,1,15,5057,1,16,1754,1,17,5092,1,18
12,2510,1,21,2358,1,22,2537,1,23,1764,1,24,2421,1,25,5058,1,26,2359,1,27,1625,1,28
13,2436,1,31,2513,1,32,2565,1,33,2361,1,34,2553,1,35,2424,1,36,1639,1,37,5065,1,38
14,2516,1,41,5059,1,42,1657,1,42,5094,1,43,1659,1,43,1796,1,43,1801,1,45,2352,1,45
15,2325,1,46,2427,1,46,2402,1,47,2377,1,47,2530,1,48,2556,1,49,1663,1,49,1733,1,49
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5056,1,1,5091,1,2,5071,1,3,2494,1,4,2226,1,5,3011,1,6,3767,1,7,2656,1,8
21,2495,1,11,3026,1,12,5057,1,13,5092,1,14,5082,1,15,2680,1,16,2236,1,17,2471,1,18
22,3557,1,21,2723,1,22,2472,1,23,2725,1,24,3068,1,25,5058,1,26,5073,1,27,5083,1,28
23,3586,1,31,3835,1,32,2260,1,33,2475,1,34,3386,1,35,5065,1,36,5089,1,37,5079,1,38
24,3858,1,41,3861,1,42,5074,1,43,2830,1,44,3654,1,44,3883,1,45,2850,1,45,3183,1,45
25,2859,1,46,3670,1,48,2861,1,49,2294,1,50,3906,1,50,2884,1,50,3203,1,50,2478,1,50
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5062,1,1,1681,1,2,2056,1,3,5086,1,4,2106,1,5,5258,1,6,4422,1,7,2443,1,8
31,4198,1,11,2445,1,12,5169,1,13,5063,1,14,5087,1,15,2444,1,16,4311,1,17,2685,1,18
32,4313,1,21,5199,1,22,5201,1,23,5088,1,24,2731,1,25,4213,1,26,4320,1,27,4328,1,28
33,4332,1,31,5180,1,32,2745,1,33,5065,1,34,5089,1,35,4337,1,36,4349,1,37,4143,1,38
34,5184,1,41,5066,1,42,5090,1,43,4255,1,44,4497,1,44,2857,1,45,4363,1,45,4371,1,45
35,4162,1,47,2453,1,47,4369,1,48,4160,1,48,4379,1,49,4504,1,49,2133,1,50,4264,1,50
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5275,1,1,3740,1,2,3960,1,3,3530,1,4,3762,1,5,3531,1,6,1682,1,7,5276,1,8
41,3965,1,11,3770,1,12,2229,1,13,3772,1,14,4308,1,15,3547,1,16,5277,1,17,3549,1,18
42,3788,1,21,3337,1,22,2710,1,23,3991,1,24,3799,1,25,5280,1,26,3810,1,27,1697,1,28
43,3369,1,31,4456,1,32,5282,1,33,4333,1,34,3844,1,35,3616,1,36,3402,1,37,5284,1,38
44,3416,1,41,3871,1,42,3177,1,43,3653,1,44,1728,1,44,4153,1,45,2862,1,45,3457,1,45
45,3885,1,46,3904,1,47,4516,1,48,3213,1,49,4061,1,49,3916,1,49,6473,1,50,6516,1,50
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,5333,1,1,5324,1,2,2996,1,3,2961,1,4,2959,1,5,2999,1,6,3010,1,7,3008,1,8
51,2658,1,11,5334,1,12,5325,1,13,3321,1,14,3322,1,15,3023,1,16,3332,1,17,3041,1,18
52,3987,1,21,3050,1,22,5335,1,23,5326,1,24,2727,1,25,3066,1,26,4001,1,27,2734,1,28
53,3372,1,31,5336,1,32,5327,1,33,3383,1,34,3397,1,35,2778,1,36,2804,1,37,5337,1,38
54,3413,1,41,3415,1,42,3647,1,43,3185,1,44,3442,1,44,3193,1,45,3456,1,45,3201,1,45
55,3678,1,46,3914,1,46,2888,1,46,3467,1,47,3208,1,47,3469,1,47,3211,1,48,3473,1,48
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5487,1,1,5503,1,2,5470,1,3,5475,1,4,2143,1,5,4565,1,6,5510,1,7,2144,1,8
61,1960,1,11,4551,1,12,2146,1,13,4856,1,14,5471,1,15,2147,1,16,4595,1,17,4596,1,18
62,1963,1,21,2151,1,22,5477,1,23,2156,1,24,5522,1,25,5484,1,26,1965,1,27,5512,1,28
63,4603,1,31,4601,1,32,5478,1,33,2166,1,34,4556,1,35,4580,1,36,4581,1,37,1976,1,39
64,5486,1,41,4553,1,43,4608,1,44,1983,1,45,1985,1,45,1981,1,45,4604,1,45,4607,1,45
