Index,0 [BBOOL] [0x8],1 [BBOOL] [0x8],2 [UINT] [0x0],3 [BBOOL] [0x8],4 [UINT] [0x4]
32768,false,false,0,false,0
32769,false,true,1402,false,60492
32770,true,true,1402,false,60492
32771,false,false,0,true,0
32772,false,false,0,false,0
32773,false,false,0,false,0
32774,true,false,0,false,0
32775,true,true,1402,false,60492
32776,false,false,0,false,0
32777,false,true,1402,false,0
32778,false,false,0,false,0
32779,false,true,0,false,0
32780,false,false,0,true,60491
32781,true,true,1402,false,60491
32782,false,true,0,false,0
32783,false,true,0,false,0
32784,false,true,0,false,0
32785,false,true,0,false,0
32786,false,true,0,false,0
32787,false,true,0,false,0
32788,false,true,0,false,0
32789,false,true,0,false,0
32790,false,true,0,false,0
32791,false,true,0,false,0
32792,false,true,0,false,0
32793,false,true,0,false,0
32794,false,false,0,false,60493
