Index,0 [USHORT] [0x10],1 [USHORT] [0x12],2 [UINT] [0x8],3 [UINT] [0xC],4 [USHORT] [0x14],5 [STRING] [0x0],6 [STRING] [0x4]
0,0,0,0,0,1,"",""
1,60,2089,20035,112145,1,"挑战木人歼灭战","身处通天巨石，遥望无际云海。唯木人相伴，切磋武艺，陶冶心灵，只求功夫之路上更进一步。遵循古代武人的教诲，以木人为伍，日益精进！在时间限制内歼灭木人！"
2,60,2089,20034,112146,2,"挑战俾斯麦歼殛战","为了应对再次召唤出的云神，我们准备了木人作为假想战的敌人。要想打倒获得登峰造极之力的云神，就在此努力修行吧！"
3,60,2089,30021,112147,3,"挑战亚历山大机神城启动之章","听说你攻入了突然活动起来的“机械巨人”内部啊。我们也帮不上别的什么忙，给你准备了木人，放手去练吧！"
4,60,2089,30025,112148,4,"挑战亚历山大零式机神城启动之章1","我经常听异国的诗人讲述你们的事迹，听说这次又在亚历山大机神城里大显身手了是吗。麻烦务必以木人为对手来展现一下你们的实力！"
5,60,2089,30026,112149,5,"挑战亚历山大零式机神城启动之章2","我经常听异国的诗人讲述你们的事迹，听说这次又在亚历山大机神城里大显身手了是吗。麻烦务必以木人为对手来展现一下你们的实力！"
6,60,2089,30027,112150,6,"挑战亚历山大零式机神城启动之章3","我经常听异国的诗人讲述你们的事迹，听说这次又在亚历山大机神城里大显身手了是吗。麻烦务必以木人为对手来展现一下你们的实力！"
7,60,2089,30028,112151,7,"挑战亚历山大零式机神城启动之章4","我经常听异国的诗人讲述你们的事迹，听说这次又在亚历山大机神城里大显身手了是吗。麻烦务必以木人为对手来展现一下你们的实力！"
8,60,2089,20036,112152,8,"挑战圆桌骑士幻想歼灭战","你们在魔大陆的死斗略有耳闻，听说是和蛮神圆桌骑士之间展开了一场生死对决啊。请务必也让我们见识见识你们的英勇身姿！"
9,60,2089,20038,112153,9,"挑战萨菲洛特歼殛战","听说你们已经开始着手讨伐“三斗神”，而且已经打倒了魔神萨菲洛特？很好，为了应对接下来的战斗，就努力在这里训练吧！"
10,60,2089,30030,112154,10,"挑战亚历山大机神城律动之章","我们已经得知了亚历山大再次启动的事实。为了应对接下来更加严酷的战斗，我们引入了新的木人，请务必将其作为对手来测试自己的实力吧！"
11,60,2089,30034,112155,11,"挑战亚历山大零式机神城律动之章1","我们听了异国的诗人描写你们在机神城左腕部“弥达斯”出色表现的诗歌以后，深受感动，于是就以此为蓝本试作了新的木人，请务必跟它过过招！"
12,60,2089,30035,112156,12,"挑战亚历山大零式机神城律动之章2","我们听了异国的诗人描写你们在机神城左腕部“弥达斯”出色表现的诗歌以后，深受感动，于是就以此为蓝本试作了新的木人，请务必跟它过过招！"
13,60,2089,30036,112157,13,"挑战亚历山大零式机神城律动之章3","我们听了异国的诗人描写你们在机神城左腕部“弥达斯”出色表现的诗歌以后，深受感动，于是就以此为蓝本试作了新的木人，请务必跟它过过招！"
14,60,2089,30037,112158,14,"挑战亚历山大零式机神城律动之章4","我们听了异国的诗人描写你们在机神城左腕部“弥达斯”出色表现的诗歌以后，深受感动，于是就以此为蓝本试作了新的木人，请务必跟它过过招！"
