Index,0 [INT] [0x4],1 [INT] [0x8],2 [INT] [0xC],3 [INT] [0x10],4 [INT] [0x14],5 [INT] [0x18],6 [INT] [0x1C],7 [INT] [0x20],8 [UBYTE] [0x2E],9 [BOOL] [0x31],10 [BOOL] [0x32],11 [BOOL] [0x33],12 [BOOL] [0x34],13 [BOOL] [0x35],14 [BOOL] [0x36],15 [BOOL] [0x37],16 [BOOL] [0x38],17 [UBYTE] [0x2F],18 [INT] [0x24],19 [STRING] [0x0],20 [USHORT] [0x28],21 [USHORT] [0x2A],22 [USHORT] [0x2C],23 [UBYTE] [0x30]
0,0,0,0,0,0,0,0,0,0,false,false,false,true,true,false,false,false,0,0,"",0,0,0,0
1,689,0,0,0,674,674,0,0,0,false,true,false,true,true,false,false,false,59,402,"惊讶",64001,100,200,0
2,690,0,0,639,639,639,0,0,0,false,true,false,true,true,false,false,false,54,403,"不满",64002,101,201,0
3,691,0,0,664,664,664,0,0,0,false,true,false,true,true,false,false,false,48,404,"愤怒",64003,102,202,0
4,693,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,26,405,"害羞",64004,103,203,0
5,694,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,1,406,"行礼",64005,104,204,0
6,695,0,0,0,675,675,0,0,0,false,true,false,true,true,false,false,false,44,407,"加油",64006,105,205,0
7,696,0,0,656,645,676,0,0,0,false,true,false,true,true,false,false,false,42,408,"拍手",64007,106,206,0
8,697,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,64,409,"招手",64008,107,207,0
9,698,0,0,0,677,677,0,0,0,false,true,false,true,true,false,false,false,27,410,"安慰",64009,108,208,0
10,699,0,0,0,678,678,0,0,0,false,true,false,true,true,false,false,false,47,411,"哭泣",64010,109,209,0
11,700,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,31,412,"跳舞",64011,110,210,0
12,702,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,60,413,"质疑",64012,111,211,0
13,703,0,0,657,646,679,0,0,0,false,true,false,true,true,false,false,false,73,414,"打盹",64013,112,212,0
14,704,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,49,415,"后悔",64014,113,213,0
15,705,0,0,637,680,680,0,0,0,false,true,false,true,true,false,false,false,3,416,"道别",64015,114,214,0
16,706,0,0,663,652,681,0,0,0,false,true,false,true,true,false,false,false,4,417,"挥手",64016,115,215,0
17,707,0,0,660,649,682,0,0,0,false,true,false,true,true,false,false,false,55,418,"莫名",64017,116,216,0
18,708,0,0,0,683,683,0,0,0,false,true,false,true,true,false,false,false,22,419,"高兴",64018,117,217,0
19,710,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,5,420,"下跪",64019,118,218,0
20,711,0,0,662,651,685,0,0,0,false,true,false,true,true,false,false,false,20,421,"轻笑",64020,119,219,0
21,712,0,0,638,635,686,0,0,0,false,true,false,true,true,false,false,false,21,422,"大笑",64021,120,220,0
22,713,0,0,665,665,665,0,0,0,false,true,false,true,true,false,false,false,77,423,"张望",64022,121,221,0
23,715,0,0,0,745,745,0,0,0,false,true,false,true,true,false,false,false,79,424,"展示",64023,122,222,0
24,716,0,0,666,666,666,0,0,0,false,true,false,true,true,false,false,false,45,425,"摇头",64024,123,223,0
25,717,0,0,667,746,746,0,0,0,false,true,false,true,true,false,false,false,46,426,"否定",64025,124,224,0
26,719,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,50,427,"慌张",64026,125,225,0
27,720,0,0,0,687,687,0,0,0,false,true,false,true,true,false,false,false,74,428,"指向",64027,126,226,0
28,721,0,0,0,748,748,0,0,0,false,true,false,true,true,false,false,false,75,429,"戳指",64028,127,227,0
29,723,0,0,636,749,749,0,0,0,false,true,false,true,true,false,false,false,43,430,"称赞",64029,128,228,0
30,724,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,28,431,"激励",64030,129,229,0
31,725,0,0,0,750,750,0,0,0,false,true,false,true,true,false,false,false,6,432,"敬礼",64031,130,230,0
32,729,0,0,0,751,751,0,0,0,false,true,false,true,true,false,false,false,56,433,"震惊",64032,131,231,0
33,730,0,0,0,752,752,0,0,0,false,true,false,true,true,false,false,false,57,434,"耸肩",64033,132,232,0
34,731,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,24,435,"鼓励",64034,133,233,0
35,732,0,0,0,753,753,0,0,0,false,true,false,true,true,false,false,false,25,436,"安抚",64035,134,234,0
36,733,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,58,437,"迷糊",64036,135,235,0
37,734,0,0,0,588,588,0,0,0,false,true,false,true,true,false,false,false,76,438,"伸展",64037,136,236,0
38,735,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,53,439,"愠怒",64038,137,237,0
39,736,0,0,669,589,589,0,0,0,false,true,false,true,true,false,false,false,70,440,"思考",64039,138,238,0
40,737,0,0,670,590,590,0,0,0,false,true,false,true,true,false,false,false,51,441,"失望",64040,139,239,0
41,738,0,0,0,591,591,0,0,0,false,true,false,true,true,false,false,false,2,442,"欢迎",64041,140,240,0
42,739,0,0,671,671,671,0,0,0,false,true,false,true,true,false,false,false,40,443,"点头",64042,141,241,0
43,740,0,0,672,592,592,0,0,0,false,true,false,true,true,false,false,false,41,444,"肯定",64043,142,242,0
44,714,0,0,0,744,744,0,0,0,false,true,false,true,true,false,false,false,71,445,"自视",64044,143,243,0
45,722,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,62,446,"摆造型",64045,144,244,0
46,692,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,30,447,"飞吻",64049,148,248,0
47,701,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,61,448,"下跪认错",64051,150,250,0
48,709,0,0,0,684,684,0,0,0,false,true,false,true,true,false,false,false,23,449,"欣喜若狂",64052,151,251,0
49,718,0,0,668,747,747,0,0,0,false,true,false,true,true,false,false,false,52,450,"大失所望",64053,152,252,0
50,654,653,0,0,0,0,0,0,1,false,false,false,true,true,false,false,false,72,451,"坐下",64054,0,0,0
51,655,0,0,655,0,0,0,0,1,true,false,false,true,true,false,false,false,0,0,"起身",64054,0,0,0
52,643,642,0,0,0,0,0,0,2,false,false,false,true,true,false,false,false,0,0,"坐下",64054,0,0,0
53,644,0,0,0,644,0,0,0,2,true,false,false,true,true,false,false,false,0,0,"起身",64054,0,0,0
54,688,0,0,0,673,673,0,0,0,false,true,false,true,true,false,false,false,78,455,"引用",64063,0,0,0
55,726,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,7,456,"黑涡团军礼",64046,145,245,0
56,727,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,7,457,"双蛇党军礼",64047,146,246,0
57,728,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,7,458,"恒辉队军礼",64048,147,247,0
58,742,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,29,459,"祈祷",64064,178,278,0
59,587,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,8,460,"帝国式军礼",64066,179,279,23
60,0,0,0,0,0,0,0,0,0,false,false,false,true,true,false,false,false,110,461,"开闭头盔面具",64065,0,0,0
61,0,0,0,0,0,0,0,0,0,false,false,false,true,true,false,false,false,110,0,"开闭头盔面具",64065,0,0,0
62,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
63,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
64,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
65,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
66,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
67,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
68,604,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,90,469,"表情：平常",64101,161,261,0
69,605,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,91,470,"表情：微笑",64102,162,262,0
70,606,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,92,471,"表情：笑颜",64103,163,263,0
71,607,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,93,472,"表情：自信",64104,164,264,0
72,608,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,94,473,"表情：无畏",64105,165,265,0
73,611,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,95,474,"表情：闭目",64106,166,266,0
74,612,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,96,475,"表情：悲伤",64107,167,267,0
75,614,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,97,476,"表情：恐怖",64108,168,268,0
76,615,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,98,477,"表情：意外",64109,169,269,0
77,616,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,99,478,"表情：痛苦",64110,170,270,0
78,617,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,100,479,"表情：反感",64111,171,271,0
79,619,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,101,480,"表情：吃惊",64112,172,272,0
80,620,0,0,0,0,0,0,0,0,false,false,true,true,true,false,false,false,102,481,"表情：担心",64113,173,273,0
81,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
82,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
83,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
84,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,"",0,0,0,0
85,641,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,65,486,"投掷",64050,180,280,24
86,743,0,0,0,0,0,0,0,0,false,true,false,true,true,false,false,false,0,0,"投雪球",64050,149,249,24
87,640,0,0,0,0,0,0,0,0,false,false,false,true,true,false,false,false,0,0,"投雪球",64050,149,249,24
88,585,584,0,0,0,0,0,0,3,false,false,false,true,true,false,false,false,0,0,"睡觉",64054,0,0,0
89,586,0,0,0,0,0,586,0,3,true,false,false,true,true,false,false,false,0,0,"",64054,0,0,0
90,0,0,0,0,0,0,0,0,0,false,false,false,true,true,false,false,false,103,491,"改变姿势",64068,181,281,0
91,3124,3123,0,0,0,0,0,0,0,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
92,3126,3125,0,0,0,0,0,0,0,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
93,3128,3127,0,0,0,0,0,0,0,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
94,3130,3129,0,0,0,0,0,0,0,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
95,0,3131,0,0,3132,0,0,0,2,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
96,0,3133,0,0,3134,0,0,0,2,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
97,0,3135,0,3136,0,0,0,0,1,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
98,0,3137,0,3138,0,0,0,0,1,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
99,0,3139,0,0,0,0,3140,0,3,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
100,0,3141,0,0,0,0,3142,0,3,false,false,false,true,true,false,true,false,0,0,"",0,181,281,0
101,570,569,0,0,0,0,0,0,4,false,true,false,true,true,false,false,true,32,502,"踢踏舞",64069,182,282,27
102,572,571,0,0,0,0,0,0,5,false,true,false,true,true,false,false,true,33,503,"丰饶之舞",64070,183,283,28
103,574,573,0,0,0,0,0,0,6,false,true,false,true,true,false,false,true,34,504,"宫廷之舞",64071,184,284,29
