Index,0 [BOOL] [0x9],1 [BOOL] [0xA],2 [BOOL] [0xB],3 [BOOL] [0xC],4 [BOOL] [0xD],5 [BOOL] [0xE],6 [BOOL] [0xF],7 [BOOL] [0x10],8 [UBYTE] [0x6],9 [UINT] [0x0],10 [UBYTE] [0x7],11 [USHORT] [0x4],12 [BBOOL] [0x11],13 [BBOOL] [0x11],14 [BBOOL] [0x11],15 [UBYTE] [0x8],16 [BBOOL] [0x11]
2000000,false,false,false,false,false,false,false,false,3,0,7,0,true,false,true,0,false
2000001,false,false,false,false,false,false,false,false,3,0,7,1624,true,false,true,0,false
2000002,false,false,false,false,false,false,false,false,3,65538,7,1860,true,false,true,0,false
2000003,false,false,false,false,false,false,false,false,3,0,7,1624,true,false,true,0,false
2000004,false,false,false,false,false,false,false,false,3,0,7,1624,true,false,true,0,false
2000006,false,false,false,false,false,false,false,false,3,0,7,1624,true,false,true,0,false
2000007,false,false,false,false,false,false,false,false,3,0,7,1624,true,false,true,0,false
2000008,false,false,false,false,false,false,false,false,3,65633,7,1625,true,false,true,0,false
2000009,false,false,false,false,false,false,false,false,3,65635,7,1625,true,false,true,0,false
2000010,false,false,false,false,false,false,false,false,3,65661,7,1843,true,false,true,0,false
2000011,false,false,false,false,false,false,false,false,3,65661,7,1843,true,false,true,0,false
2000012,false,false,false,false,false,false,false,false,3,65661,7,1843,true,false,true,0,false
2000013,false,false,false,false,false,false,false,false,3,65661,7,1843,true,false,true,0,false
2000014,false,false,false,false,false,false,false,false,3,65661,7,1843,true,false,true,0,false
2000015,false,false,false,false,false,false,false,false,1,0,0,0,false,false,true,0,false
2000016,false,false,false,false,false,false,false,false,3,65663,7,1625,true,false,true,0,false
2000017,false,false,false,false,false,false,false,false,3,65663,7,1625,true,false,true,0,false
2000018,false,false,false,false,false,false,false,false,3,65663,7,1625,true,false,true,0,false
2000019,false,false,false,false,false,false,false,false,1,0,0,0,false,false,true,0,false
2000020,false,false,false,false,false,false,false,false,3,65578,7,1856,true,false,true,0,false
