Index,0 [STRING] [0x0],1 [BYTE] [0x8],2 [STRING] [0x4],3 [BYTE] [0x9],4 [BYTE] [0xA],5 [BYTE] [0xB],6 [BYTE] [0xC],7 [BYTE] [0xD],8 [UBYTE] [0x16],9 [UINT] [0x10],10 [UBYTE] [0x17],11 [USHORT] [0x14],12 [BBOOL] [0x19],13 [BBOOL] [0x19],14 [BBOOL] [0x19],15 [UBYTE] [0x18]
2000000,"",0,"",0,0,1,0,0,3,0,7,0,true,false,true,0
2000001,"透明君※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000002,"草むらテスト※α未使用",0,"",0,0,1,0,0,3,65538,7,1860,true,false,true,0
2000003,"クエストツールテスト※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000004,"クエストツールテスト２※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000005,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000006,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000007,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000008,"境树",0,"",0,0,1,0,0,3,65633,7,1625,true,false,true,0
2000009,"指定地点",0,"",0,0,1,0,0,3,65635,7,1625,true,false,true,0
2000010,"变色龙蛋",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000011,"变色龙蛋",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000012,"变色龙蛋",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000013,"变色龙蛋",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000014,"变色龙蛋",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000015,"给艾美利亚的信",0,"",0,0,1,0,0,3,0,7,1848,true,false,true,0
2000016,"腐朽的树",0,"",0,0,1,0,0,3,65663,7,1625,true,false,true,0
2000017,"腐朽的树",0,"",0,0,1,0,0,3,65663,7,1625,true,false,true,0
2000018,"腐朽的树",0,"",0,0,1,0,0,3,65663,7,1625,true,false,true,0
2000019,"奥妮莉的发饰",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000020,"森林特产蔬菜",0,"",0,0,1,0,0,3,65578,7,1856,true,false,true,0
2000021,"森林特产蔬菜",0,"",0,0,1,0,0,3,65578,7,1858,true,false,true,0
2000022,"森林特产蔬菜",0,"",0,0,1,0,0,3,65578,7,1856,true,false,true,0
