Index,0 [BOOL] [0x0],1 [BOOL] [0x1],2 [BOOL] [0x2],3 [BOOL] [0x3],4 [BOOL] [0x4],5 [BOOL] [0x5],6 [BBOOL] [0x6],7 [BBOOL] [0x6]
0,false,false,false,false,false,false,false,false
1,true,true,true,true,true,true,true,true
2,true,true,true,true,true,true,true,false
3,true,true,true,true,true,true,false,true
4,true,false,false,false,false,false,true,false
5,true,false,false,false,false,false,false,true
6,false,true,false,false,false,false,true,false
7,false,true,false,false,false,false,false,true
8,false,false,true,false,false,false,true,false
9,false,false,true,false,false,false,false,true
10,false,false,false,true,false,false,true,false
11,false,false,false,true,false,false,false,true
12,false,false,false,false,true,false,true,false
13,false,false,false,false,true,false,false,true
14,false,false,false,false,false,true,true,false
15,false,false,false,false,false,true,false,true
