Index,0 [BYTE] [0x0],1 [BYTE] [0x1],2 [BYTE] [0x2],3 [BYTE] [0x3],4 [BYTE] [0x4],5 [BYTE] [0x5],6 [BYTE] [0x6],7 [BYTE] [0x7],8 [BYTE] [0x8],9 [BYTE] [0x9],10 [BYTE] [0xA],11 [BYTE] [0xB],12 [BYTE] [0xC],13 [BYTE] [0xD]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,1,1,0
13,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,-1,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,1,-1,0,0,0,0,0,0
19,0,0,-1,1,-1,0,-1,-1,0,0,0,0,0,0
20,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0
21,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
