Index,0 [BYTE] [0x4],1 [BYTE] [0x5],2 [BYTE] [0x6],3 [BYTE] [0x7],4 [BYTE] [0x8],5 [BYTE] [0x9],6 [BYTE] [0xA],7 [BYTE] [0xB],8 [BYTE] [0xC],9 [BYTE] [0xD],10 [BYTE] [0xE],11 [BYTE] [0xF],12 [BYTE] [0x10],13 [BYTE] [0x11],14 [STRING] [0x0]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"主武器"
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"副武器"
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"頭"
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"胴"
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"腕"
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"腰"
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"脚"
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"足"
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"耳"
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"首"
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"手首"
12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"指"
13,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,"両手"
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"片手武器"
15,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,"胴（頭不可）"
16,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,"胴（腕脚足不可）"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ジョブストーン"
18,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,""
19,0,0,-1,1,-1,0,-1,-1,0,0,0,0,0,0,""
20,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,""
21,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,""
