Index,0 [UINT] [0x0],1 [UINT] [0x4],2 [UINT] [0x8],3 [UINT] [0xC],4 [UINT] [0x10],5 [UINT] [0x14],6 [UINT] [0x18],7 [UINT] [0x1C],8 [UINT] [0x20],9 [UINT] [0x24],10 [UINT] [0x28],11 [UINT] [0x2C],12 [UINT] [0x30],13 [UINT] [0x34],14 [UINT] [0x38],15 [UINT] [0x3C]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,60091,71222,71215,71235,71211,71213,71231,71233,71232,71255,0,0,0,0,0
2,71214,71234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,71241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,71201,71221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,71214,71204,71224,71203,71223,0,0,0,0,0,0,0,0,0,0,0
45,71243,71244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,60094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,71205,71225,71245,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
