Index,0 [STRING] [0x0],1 [UBYTE] [0x8],2 [STRING] [0x4],3 [UBYTE] [0x9],4 [UBYTE] [0xA],5 [UBYTE] [0xB]
0,"标准",0,"",1,3,0
1,"杂音",1,"vfx_nc_nise0013",25,1,1
2,"径向模糊",1,"vfx_nc_blur0005",3,1,1
3,"集中线",2,"gpose_syuchusen",4,1,1
4,"油画布",2,"gpose_canvas",10,1,1
5,"壁画",2,"gpose_kabe",11,1,1
6,"",0,"",0,0,0
7,"圆点花纹",2,"gpose_mizutama_hanten",13,1,1
8,"云雾",2,"gpose_niji_naname",20,1,1
9,"水彩",2,"gpose_suisaifude",15,1,1
10,"复古",2,"gpose_filmnoise",26,1,1
11,"光彩",2,"gpose_iroiro",21,1,1
12,"相片",2,"gpose_frame_photo_kb",51,2,1
13,"不规则",2,"gpose_frame_wasi",52,2,1
14,"",0,"",0,0,0
15,"",0,"",0,0,0
16,"",0,"",0,0,0
17,"",0,"",0,0,0
18,"",0,"",0,0,0
19,"",0,"",0,0,0
20,"",0,"",0,0,0
21,"",0,"",0,0,0
22,"",0,"",0,0,0
23,"",0,"",0,0,0
24,"",0,"",0,0,0
25,"",0,"",0,0,0
26,"",0,"",0,0,0
27,"",0,"",0,0,0
28,"",0,"",0,0,0
29,"",0,"",0,0,0
30,"",0,"",0,0,0
31,"",0,"",0,0,0
32,"",0,"",0,0,0
33,"",0,"",0,0,0
34,"",0,"",0,0,0
35,"",0,"",0,0,0
36,"",0,"",0,0,0
37,"",0,"",0,0,0
38,"",0,"",0,0,0
39,"",0,"",0,0,0
40,"",0,"",0,0,0
41,"",0,"",0,0,0
42,"",0,"",0,0,0
43,"",0,"",0,0,0
44,"",0,"",0,0,0
45,"",0,"",0,0,0
46,"",0,"",0,0,0
47,"",0,"",0,0,0
48,"",0,"",0,0,0
49,"",0,"",0,0,0
50,"",0,"",0,0,0
51,"",0,"",0,0,0
52,"",0,"",0,0,0
53,"",0,"",0,0,0
54,"",0,"",0,0,0
55,"",0,"",0,0,0
56,"",0,"",0,0,0
57,"",0,"",0,0,0
58,"",0,"",0,0,0
59,"",0,"",0,0,0
60,"",0,"",0,0,0
61,"",0,"",0,0,0
62,"",0,"",0,0,0
63,"",0,"",0,0,0
64,"",0,"",0,0,0
65,"",0,"",0,0,0
