Index,0 [UBYTE] [0x3C],1 [INT] [0x20],2 [UBYTE] [0x3D],3 [UBYTE] [0x3E],4 [UINT] [0x18],5 [USHORT] [0x34],6 [USHORT] [0x36],7 [USHORT] [0x38],8 [USHORT] [0x3A],9 [INT] [0x24],10 [INT] [0x28],11 [INT] [0x2C],12 [INT] [0x30],13 [UINT] [0x1C],14 [UBYTE] [0x3F],15 [UBYTE] [0x40],16 [UBYTE] [0x41],17 [BOOL] [0x42],18 [STRING] [0x0],19 [STRING] [0x4],20 [STRING] [0x8],21 [STRING] [0xC],22 [STRING] [0x10],23 [STRING] [0x14]
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
100,3,4082321,1,1,0,0,0,0,0,0,0,0,0,4082423,33,34,35,true,"","","","","",""
101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
102,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"aaaa","","","","",""
103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
104,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"エリア防衛","エリア防衛","","","",""
105,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"山賊砦テスト","山賊砦テスト","","","",""
106,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"収集系テスト","収集系テスト","","","",""
107,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"山賊砦ボス","山賊砦ボス","","","",""
108,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"山賊砦味方防衛","山賊砦味方防衛","","","",""
109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"りんご集め","りんご集め","","納品した数","",""
110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
111,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
112,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
113,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
114,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
116,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
118,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
119,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
