Index,0 [UINT] [0x0],1 [USHORT] [0x8],2 [UINT] [0x4],3 [BBOOL] [0xB],4 [BBOOL] [0xB],5 [UBYTE] [0xA]
0,0,0,0,false,false,0
1,4785,2,66501,false,false,0
2,4777,2,66502,false,false,0
3,4778,2,66503,false,false,0
4,4782,2,66504,false,false,0
5,4804,2,66505,false,false,0
6,4787,2,66506,false,false,0
7,4821,2,66507,false,false,0
8,4788,2,66508,false,false,0
9,4789,2,66509,false,false,0
10,6148,2,66510,false,false,0
11,4809,3,66551,false,false,0
12,4808,3,66552,false,false,0
13,4810,3,66553,false,false,0
14,4811,3,66554,false,false,0
15,4812,3,66555,false,false,0
16,4814,3,66556,false,false,0
17,6146,3,66557,false,false,0
18,4815,3,66558,false,false,0
19,6147,3,66559,false,false,0
20,4816,3,66560,false,false,0
21,4829,1,66601,false,false,0
22,5539,1,66602,false,false,0
23,4830,1,66603,false,false,0
24,4835,1,66604,false,false,0
25,4836,1,66605,false,false,0
26,5542,1,66606,false,false,0
27,5346,1,66607,false,false,0
28,4837,1,66608,false,false,0
29,5543,1,66609,false,false,0
30,4842,1,66610,false,false,0
31,7768,1,66651,false,false,0
32,7769,1,66652,false,false,0
33,7770,1,66653,false,false,0
34,7602,1,66654,false,false,0
35,7603,2,66655,false,false,0
36,7604,3,66656,false,false,0
37,7592,3,66657,false,false,0
38,7593,2,66661,false,false,0
39,7591,1,66660,false,false,0
40,7773,3,66701,true,false,0
41,7774,1,66702,true,false,0
42,7775,3,66703,true,false,0
43,7776,1,66704,true,false,0
44,7894,4,66511,false,false,0
45,7895,4,66512,false,false,0
46,7897,4,66513,false,false,0
47,7898,4,66508,false,false,0
48,7900,4,66510,false,false,0
49,8165,4,66503,false,false,0
50,8166,4,66502,true,false,0
51,8192,5,66662,true,false,0
52,8193,5,66663,true,false,0
53,8194,5,66664,true,false,0
54,8195,5,66665,true,false,0
55,8196,5,66666,true,false,0
56,8023,1,66667,true,false,0
57,4868,4,66514,false,false,0
58,8157,4,66553,false,false,0
59,8158,4,66555,false,false,0
60,8159,4,66515,false,false,0
61,8160,4,66556,false,false,0
62,8161,4,66552,false,false,0
63,8162,4,66560,false,false,0
64,8163,4,66554,false,false,0
65,12896,3,66561,false,false,0
66,12884,2,66516,false,false,0
67,12877,2,66509,false,false,0
68,12882,1,66660,false,false,0
69,13754,2,66517,true,false,0
70,14071,101,66502,false,true,1
71,2,6,66801,false,false,0
72,3,6,66802,false,false,0
73,4,6,66803,false,false,0
74,5,6,66804,false,false,0
75,6,6,66805,false,false,0
76,7,6,66806,false,false,0
77,15857,1,66602,false,false,0
78,15858,1,66609,false,false,0
79,16022,102,66502,false,true,2
80,17048,106,66502,false,true,3
81,17548,3,66562,false,false,0
82,17999,107,66502,false,true,4
83,20796,105,66502,false,true,5
84,20791,1,66611,false,false,0
85,20793,2,66518,true,false,0
86,0,0,0,false,false,0
87,0,0,0,false,false,0
