Index,0 [INT] [0x0],1 [USHORT] [0x4],2 [BBOOL] [0x6]
0,0,0,false
1,2,1,false
2,3,1,false
3,4,1,false
4,5,1,false
5,6,1,false
6,7,1,false
7,8,26,false
8,9,26,false
9,10,26,false
10,11,26,false
11,12,26,false
12,13,26,false
13,14,50,false
14,15,50,false
15,16,50,false
16,17,50,false
17,18,50,false
18,19,50,false
19,0,0,false
20,0,0,false
21,0,0,false
22,0,0,false
23,0,0,false
24,5599,20,false
25,0,0,false
26,0,0,false
27,0,0,false
28,0,0,false
29,5814,28,false
30,5815,28,false
31,5816,28,false
32,5817,28,false
33,5818,28,false
34,5819,28,false
35,5820,28,false
36,5139,35,false
37,5138,34,false
38,5524,19,false
39,5143,44,false
40,5439,50,false
41,5134,31,false
42,5118,51,false
43,5135,33,false
44,5128,7,false
45,5168,39,false
46,5141,38,false
47,5144,37,false
48,5131,17,false
49,5491,24,false
50,5145,41,false
51,5129,18,false
52,5142,36,false
53,5263,46,false
54,5525,40,false
55,5132,17,false
56,5137,32,false
57,5136,33,false
58,5130,16,false
59,6199,51,false
60,5121,51,false
61,5133,7,false
62,5140,45,false
63,5110,9,false
64,5458,49,false
65,5116,47,false
66,5113,25,false
67,5433,8,false
68,5124,10,false
69,5432,5,false
70,5465,19,false
71,5107,6,false
72,5115,43,false
73,5488,3,false
74,5111,14,false
75,5106,1,false
76,5125,28,false
77,5114,34,false
78,5272,42,false
79,5273,51,false
80,5270,22,false
81,5526,40,false
82,5269,14,false
83,5231,30,false
84,5528,26,false
85,6152,51,false
86,5152,23,false
87,5518,12,false
88,5523,27,false
89,5228,13,false
90,5157,25,false
91,5158,51,false
92,5519,15,false
93,5229,20,false
94,5155,21,false
95,5268,11,false
96,5153,23,false
97,5154,24,false
98,5156,24,false
99,5527,29,false
100,5271,33,false
101,4842,40,false
102,4807,36,false
103,5402,9,false
104,5383,8,false
105,5050,2,false
106,4813,30,false
107,5547,51,false
108,4806,21,false
109,5388,24,false
110,5385,12,false
111,5409,31,false
112,5390,32,false
113,4803,9,false
114,5352,10,false
115,4831,10,false
116,5351,6,false
117,4811,17,false
118,4828,4,false
119,6146,42,false
120,5395,51,false
121,5562,35,false
122,4805,14,false
123,5359,29,false
124,5534,6,false
125,4844,39,false
126,4786,18,false
127,5535,23,false
128,4810,16,false
129,5537,51,false
130,5391,37,false
131,5536,44,false
132,5396,5,false
133,5380,3,false
134,5498,2,false
135,5405,20,false
136,5386,19,false
137,5509,1,false
138,4809,7,false
139,5414,47,false
140,5393,46,false
141,5516,5,false
142,4793,38,false
143,4835,23,false
144,4790,32,false
145,4788,27,false
146,4779,13,false
147,4804,13,false
148,5540,13,false
149,4829,11,false
150,5542,24,false
151,4834,16,false
152,4796,19,false
153,5560,12,false
154,4778,13,false
155,4845,41,false
156,4846,48,false
157,4822,26,false
158,4795,11,false
159,5538,11,false
160,4792,39,false
161,4819,25,false
162,4783,14,false
163,5054,45,false
164,4841,39,false
165,5051,11,false
166,4843,35,false
167,4838,35,false
168,5545,51,false
169,5546,51,false
170,6145,22,false
171,4781,15,false
172,4836,24,false
173,4816,51,false
174,6148,51,false
175,4784,15,false
176,4818,12,false
177,6147,51,false
178,4785,16,false
179,4812,21,false
180,5360,34,false
181,5564,42,false
182,4800,51,false
183,4830,14,false
184,4814,36,false
185,5541,18,false
186,4797,22,false
187,4787,18,false
188,5563,20,false
189,4798,33,false
190,4832,15,false
191,4840,37,false
192,5543,33,false
193,4789,28,false
194,4837,32,false
195,6209,51,false
196,4821,25,false
197,5559,30,false
198,5341,11,false
199,5055,49,false
200,4823,11,false
201,4782,13,false
202,5539,12,false
203,4791,34,false
204,4780,15,false
205,4820,17,false
206,4808,11,false
207,4839,34,false
208,4815,43,false
209,4777,12,false
210,5346,31,false
211,4824,11,false
212,5350,51,false
213,5343,14,false
214,5342,12,false
215,7010,45,false
216,5267,11,false
217,5513,10,false
218,5230,17,false
219,7008,31,false
220,5514,13,false
221,7011,33,false
222,7012,50,false
223,7029,20,false
224,7030,20,false
225,7031,20,false
226,7715,16,true
227,7716,12,true
228,7717,13,true
229,7718,13,true
230,7719,13,true
231,7720,18,true
232,7721,25,true
233,7722,27,true
234,7723,28,true
235,7724,51,false
236,7725,7,true
237,7726,11,true
238,7727,16,true
239,7728,17,true
240,7729,21,true
241,7730,36,true
242,7731,42,true
243,7732,43,true
244,7733,51,false
245,7734,51,false
246,7735,11,true
247,7736,12,true
248,7737,14,true
249,7738,23,true
250,7739,24,true
251,7740,24,true
252,7741,31,true
253,7742,32,true
254,7743,33,true
255,7744,40,true
256,7758,30,true
257,7759,46,true
258,7760,55,false
259,7761,30,true
260,7762,46,true
261,7763,55,false
262,7764,30,true
263,7765,46,true
264,7766,55,false
265,7610,55,false
266,7588,70,false
267,7589,70,false
268,5146,70,false
269,7611,55,false
270,7590,70,false
271,7591,70,false
272,7592,70,false
273,7593,70,false
274,7594,70,false
275,7595,70,false
276,8030,70,false
277,5147,70,false
278,5148,70,false
279,5149,70,false
280,5150,70,false
281,5151,70,false
282,8031,70,false
283,5365,70,false
284,8024,70,false
285,5120,80,false
286,5394,80,false
287,9519,80,false
288,9518,80,false
289,10092,50,true
290,10093,90,false
291,10096,90,false
292,10099,55,true
293,10094,31,true
294,10095,55,false
295,10097,31,true
296,10098,55,false
297,5521,30,false
298,5126,80,false
299,12531,120,false
300,12551,130,false
301,12534,130,true
302,12552,125,false
303,12553,120,false
304,12631,133,false
305,12555,136,false
306,12554,136,false
307,12537,136,true
308,12556,142,false
309,12532,139,false
310,12632,142,false
311,12557,148,false
312,12558,150,false
313,12535,145,true
314,12539,145,false
315,12533,148,false
316,12559,133,false
317,12560,145,false
318,12538,150,false
319,5127,150,false
320,5108,80,false
321,5109,120,false
322,5162,125,false
323,12941,130,false
324,5112,133,false
325,5161,136,false
326,12901,139,false
327,5214,139,false
328,5218,139,false
329,5117,142,false
330,5159,145,false
331,12942,148,false
332,12966,145,false
333,12967,145,false
334,12536,180,false
335,12540,180,false
336,12945,175,false
337,5226,180,false
338,5163,180,false
339,5160,180,false
340,5220,150,false
341,5224,150,false
342,5403,80,false
343,5384,80,false
344,12597,120,false
345,12880,130,false
346,12883,125,false
347,12878,130,true
348,12598,133,false
349,12578,133,false
350,12585,136,false
351,12893,136,true
352,12879,136,true
353,12885,136,false
354,12638,139,false
355,12887,142,false
356,12639,142,false
357,12579,145,true
358,12586,145,false
359,12642,145,false
360,12643,148,false
361,12640,148,false
362,12891,148,false
363,12641,150,false
364,12900,150,false
365,12896,80,false
366,12899,120,false
367,12877,125,false
368,12882,130,false
369,12943,133,false
370,12884,136,false
371,12889,139,false
372,12968,139,false
373,12971,139,false
374,12944,145,false
375,12897,142,false
376,12898,148,false
377,12969,145,false
378,12972,145,false
379,12634,180,false
380,12587,180,false
381,12902,180,false
382,4833,180,false
383,12903,180,false
384,12904,180,false
385,12970,150,false
386,12973,150,false
387,10335,70,true
388,13759,148,false
389,13760,150,false
390,13761,139,false
391,13762,150,false
392,13763,148,false
393,13764,139,false
394,13765,80,false
395,13767,125,false
396,13768,130,false
397,14154,180,false
398,14956,180,false
399,14159,180,false
400,14160,180,false
401,14957,180,false
402,14148,180,false
403,14955,180,false
404,14151,180,false
405,14190,180,false
406,15646,180,false
407,15647,180,false
408,15948,180,false
409,15949,180,false
410,15865,1,true
411,15866,1,true
412,15867,1,true
413,15868,1,true
414,15869,1,true
415,15870,1,true
416,5392,200,false
417,16721,200,false
418,16722,200,false
419,16723,200,false
420,16724,200,false
421,16725,200,false
422,16726,200,false
423,17557,142,false
424,17558,145,false
425,17559,148,false
426,17560,150,false
427,17561,180,false
428,19910,190,false
429,19968,190,false
430,19871,205,false
431,19969,210,false
432,19951,215,false
433,19872,220,false
434,19970,215,false
435,19953,225,false
436,19971,230,false
437,20009,230,false
438,19954,260,false
439,19972,260,false
440,19957,290,false
441,19973,290,false
442,19958,300,false
443,19959,300,false
444,20011,300,false
445,5232,205,false
446,19950,205,false
447,20007,210,false
448,20006,215,false
449,19952,230,false
450,20010,230,false
451,19955,245,false
452,19956,275,false
453,19907,275,false
454,19936,190,false
455,19851,205,false
456,19930,205,false
457,19931,215,false
458,19908,220,false
459,5389,225,false
460,19860,215,false
461,19863,225,false
462,19870,230,false
463,19869,245,false
464,19932,245,false
465,19933,290,false
466,19852,290,false
467,19934,300,false
468,19937,300,false
469,19868,190,false
470,19976,190,false
471,19850,210,false
472,19861,210,false
473,19881,210,false
474,19917,215,false
475,19979,215,false
476,19856,220,false
477,19859,220,false
478,19862,220,false
479,19879,220,false
480,19853,225,false
481,19864,225,false
482,19982,225,false
483,19855,230,false
484,19858,230,false
485,19865,230,false
486,19866,230,false
487,19867,230,false
488,19916,230,false
489,20012,230,false
490,19880,245,false
491,19857,260,false
492,19911,260,false
493,19912,260,false
494,19913,260,false
495,19914,260,false
496,19915,260,false
497,19854,275,false
498,19989,275,false
499,19918,300,false
500,19991,300,false
501,0,0,false
502,0,0,false
503,0,0,false
504,0,0,false
505,0,0,false
506,0,0,false
507,0,0,false
508,0,0,false
509,0,0,false
510,0,0,false
511,0,0,false
512,0,0,false
513,0,0,false
514,0,0,false
515,0,0,false
516,0,0,false
517,0,0,false
518,0,0,false
519,0,0,false
520,0,0,false
521,0,0,false
522,0,0,false
523,0,0,false
524,0,0,false
525,0,0,false
526,0,0,false
527,0,0,false
528,0,0,false
529,0,0,false
530,0,0,false
531,0,0,false
532,0,0,false
533,0,0,false
534,0,0,false
535,0,0,false
536,0,0,false
537,0,0,false
538,0,0,false
539,0,0,false
540,0,0,false
541,0,0,false
542,0,0,false
543,0,0,false
544,0,0,false
545,0,0,false
546,0,0,false
547,0,0,false
548,0,0,false
549,0,0,false
550,0,0,false
10000,0,0,false
10001,2000267,4,false
10002,2000265,1,false
10003,2000270,4,false
10004,2000268,1,false
10005,2000271,1,false
10006,2000273,1,false
10007,2000277,8,false
10008,2000275,5,false
10009,2000280,8,false
10010,2000278,5,false
10011,2000281,5,false
10012,2000283,5,false
10013,2000287,13,false
10014,2000285,10,false
10015,2000288,13,false
10016,2000268,10,false
10017,2000289,10,false
10018,2000293,13,false
10019,2000291,10,false
10020,2000295,18,false
10021,2000294,15,false
10022,2000296,15,false
10023,2000298,15,false
10024,2000308,18,false
10025,2000303,15,false
10026,2000302,18,false
10027,2000300,15,false
10028,2000306,23,false
10029,2000304,20,false
10030,2000307,20,false
10031,2000309,20,false
10032,2000271,20,false
10033,2000316,28,false
10034,2000311,25,false
10035,2000295,28,false
10036,2000294,25,false
10037,2000313,25,false
10038,2000315,25,false
10039,2000317,25,false
10040,2000464,30,false
10041,2000465,33,false
10042,2000466,30,false
10043,2000467,30,false
10044,2000468,30,false
10045,2000911,35,false
10046,2000912,38,false
10047,2000913,35,false
10048,2000914,35,false
10049,2000915,35,false
10050,2000916,38,false
10051,2000917,40,false
10052,2000918,43,false
10053,2000919,40,false
10054,2000920,40,false
10055,2000921,40,false
10056,2000922,43,false
10057,2000923,45,false
10058,2000924,48,false
10059,2000925,45,false
10060,2000926,45,false
10061,2000927,45,false
10062,2000928,48,false
10063,2000469,1,false
10064,2000470,4,false
10065,2000471,1,false
10066,2000472,4,false
10067,2000473,1,false
10068,2000474,1,false
10069,2000475,5,false
10070,2000476,8,false
10071,2000477,5,false
10072,2000478,8,false
10073,2000479,5,false
10074,2000480,5,false
10075,2000481,10,false
10076,2000482,13,false
10077,2000483,10,false
10078,2000484,13,false
10079,2000485,10,false
10080,2000486,10,false
10081,2000487,13,false
10082,2000488,15,false
10083,2000489,18,false
10084,2000490,15,false
10085,2000491,15,false
10086,2000492,15,false
10087,2000493,18,false
10088,2000494,20,false
10089,2000495,23,false
10090,2000496,20,false
10091,2000497,20,false
10092,2000498,20,false
10093,2000499,25,false
10094,2000500,28,false
10095,2000501,25,false
10096,2000502,25,false
10097,2000503,25,false
10098,2000504,30,false
10099,2000505,33,false
10100,2000506,30,false
10101,2000507,30,false
10102,2000508,30,false
10103,2000893,35,false
10104,2000894,38,false
10105,2000895,35,false
10106,2000896,35,false
10107,2000897,35,false
10108,2000898,38,false
10109,2000899,40,false
10110,2000900,43,false
10111,2000901,40,false
10112,2000902,40,false
10113,2000903,40,false
10114,2000904,43,false
10115,2000905,45,false
10116,2000906,48,false
10117,2000907,45,false
10118,2000908,45,false
10119,2000909,45,false
10120,2000910,48,false
10121,6688,40,false
10122,6689,45,false
10123,6690,50,false
10124,6691,50,false
10125,6692,50,false
10126,2001391,1,false
10127,2001392,2,false
10128,2001415,3,false
10129,2001416,5,false
10130,2001426,4,false
10131,2001427,5,false
10132,2001388,1,false
10133,2001389,3,false
10134,2001412,3,false
10135,2001413,4,false
10136,2001424,4,false
10137,2001425,5,false
10138,12241,136,false
10139,12242,150,false
10140,12243,150,false
10141,2001846,50,false
10142,2001845,130,false
10143,2001847,50,false
10144,2001849,50,false
10145,2001848,130,false
10146,2001851,125,false
10147,2001850,136,false
10148,2001852,125,false
10149,2001853,125,false
10150,2001855,133,false
10151,2001854,142,false
10152,2001856,133,false
10153,2001858,133,false
10154,2001857,142,false
10155,2001859,139,false
10156,2001860,139,false
10157,2001862,139,false
10158,2001861,148,false
10159,2001864,145,false
10160,2001863,150,false
10161,2001865,145,false
10162,2001867,145,false
10163,2001866,150,false
10164,2001823,50,false
10165,2001822,130,false
10166,2001824,50,false
10167,2001826,50,false
10168,2001825,130,false
10169,2001828,125,false
10170,2001827,136,false
10171,2001829,125,false
10172,2001830,125,false
10173,2001832,133,false
10174,2001831,142,false
10175,2001833,133,false
10176,2001835,133,false
10177,2001834,142,false
10178,2001836,139,false
10179,2001837,139,false
10180,2001839,139,false
10181,2001838,148,false
10182,2001841,145,false
10183,2001840,150,false
10184,2001842,145,false
10185,2001844,145,false
10186,2001843,150,false
10187,12949,150,false
10188,12946,150,false
10189,12948,150,false
10190,12947,150,false
10191,12950,150,false
10192,12954,180,false
10193,12951,180,false
10194,12953,180,false
10195,12952,180,false
10196,12955,180,false
10197,12959,150,false
10198,12956,150,false
10199,12958,150,false
10200,12957,150,false
10201,12960,150,false
10202,12964,180,false
10203,12961,180,false
10204,12963,180,false
10205,12962,180,false
10206,12965,180,false
10207,13750,180,false
10208,13752,180,false
10209,13753,180,false
10210,13631,180,false
10211,17570,180,false
10212,17571,180,false
10213,17689,148,false
10214,2002120,150,false
10215,2002121,215,false
10216,2002122,150,false
10217,2002123,150,false
10218,2002124,215,false
10219,2002125,210,false
10220,2002126,225,false
10221,2002127,210,false
10222,2002128,210,false
10223,2002129,220,false
10224,2002130,245,false
10225,2002131,220,false
10226,2002132,220,false
10227,2002133,245,false
10228,2002134,230,false
10229,2002135,230,false
10230,2002136,230,false
10231,2002137,275,false
10232,2002138,260,false
10233,2002139,290,false
10234,2002140,260,false
10235,2002141,260,false
10236,2002142,290,false
10237,2002143,150,false
10238,2002144,215,false
10239,2002145,150,false
10240,2002146,150,false
10241,2002147,215,false
10242,2002148,210,false
10243,2002149,225,false
10244,2002150,210,false
10245,2002151,210,false
10246,2002152,220,false
10247,2002153,245,false
10248,2002154,220,false
10249,2002155,220,false
10250,2002156,245,false
10251,2002157,230,false
10252,2002158,230,false
10253,2002159,230,false
10254,2002160,275,false
10255,2002161,260,false
10256,2002162,290,false
10257,2002163,260,false
10258,2002164,260,false
10259,2002165,290,false
10260,17835,290,false
10261,17836,290,false
10262,17941,215,false
10263,17942,225,false
10264,17943,260,false
10265,17944,290,false
10266,17945,215,false
10267,17946,225,false
10268,17947,260,false
10269,17948,290,false
10270,0,0,false
10271,0,0,false
10272,0,0,false
10273,0,0,false
10274,0,0,false
10275,0,0,false
10276,0,0,false
10277,0,0,false
10278,0,0,false
10279,0,0,false
10280,0,0,false
10281,0,0,false
10282,0,0,false
10283,0,0,false
10284,0,0,false
10285,0,0,false
10286,0,0,false
10287,0,0,false
10288,0,0,false
10289,0,0,false
10290,0,0,false
10291,0,0,false
10292,0,0,false
10293,0,0,false
10294,0,0,false
10295,0,0,false
10296,0,0,false
10297,0,0,false
10298,0,0,false
10299,0,0,false
10300,0,0,false
