Index,0 [UBYTE] [0x16],1 [INT] [0x0],2 [UBYTE] [0x17],3 [INT] [0x4],4 [USHORT] [0x10],5 [INT] [0x8],6 [USHORT] [0x12],7 [INT] [0xC],8 [USHORT] [0x14]
30000,1,0,0,0,0,0,0,1,0
30001,1,153,4,0,0,0,0,1,0
30002,1,154,4,0,0,0,0,1,0
30003,1,155,4,0,0,0,0,1,0
30004,1,159,4,0,0,0,0,1,0
30005,1,11,4,3,30,16,1,1,0
30006,3,51,6,0,0,0,0,1,0
30007,3,52,6,0,0,0,0,1,0
30008,1,19,4,1,2,1,10,1,0
30009,1,21,4,3,20,4,15,1,0
30010,1,30,4,3,30,7,20,1,0
30011,1,10,4,14,54,1,10,135,165
30012,1,11,4,3,23,16,1,148,68
30013,1,11,4,0,0,0,0,148,68
30014,1,11,4,15,42,10,5,148,68
30015,1,11,4,14,42,1,10,148,68
30016,1,12,4,15,42,10,5,154,83
30017,1,12,4,0,0,0,0,154,83
30018,1,12,4,3,23,16,1,154,83
30019,1,13,4,3,23,16,1,154,83
30020,1,13,4,14,42,1,10,154,83
30021,1,13,4,0,0,0,0,154,83
30022,1,10,4,15,52,10,5,135,165
30023,1,10,4,0,0,0,0,135,165
30024,1,15,4,15,52,10,5,154,83
30025,1,15,4,0,0,0,0,154,83
30026,1,15,4,14,54,1,10,154,83
30027,1,16,4,15,52,10,5,148,69
30028,1,16,4,14,54,1,10,148,69
30029,1,16,4,3,32,16,1,148,69
30030,1,16,4,0,0,0,0,148,69
30031,1,17,4,3,43,16,1,148,70
30032,1,17,4,0,0,0,0,148,70
30033,1,17,4,14,69,1,10,148,70
30034,1,19,4,5,43,16,1,148,70
30035,1,19,4,14,69,1,10,148,70
30036,1,19,4,0,0,0,0,148,70
30037,1,21,4,5,43,16,1,148,70
30038,1,36,4,6,116,16,1,146,256
30039,1,21,4,0,0,0,0,148,70
30040,1,21,4,14,69,1,10,148,70
30041,1,21,4,15,62,10,5,148,70
30042,1,22,4,0,0,0,0,152,74
30043,1,22,4,14,90,1,10,152,74
30044,1,22,4,15,81,10,5,152,74
30045,1,23,4,5,57,16,1,152,74
30046,1,23,4,14,90,1,10,152,74
30047,1,23,4,15,81,10,5,152,74
30048,1,24,4,0,0,0,0,153,78
30049,1,24,4,3,75,16,1,153,78
30050,1,24,4,14,112,1,10,153,78
30051,1,10,4,3,32,16,1,135,165
30052,1,14,4,14,69,1,10,140,244
30053,1,14,4,15,62,10,5,140,244
30054,1,26,4,15,126,10,5,154,85
30055,1,26,4,14,138,1,10,154,85
30056,1,26,4,0,0,0,0,154,85
30057,1,27,4,14,138,1,10,153,81
30058,1,27,4,3,94,16,1,153,81
30059,1,27,4,0,0,0,0,153,81
30060,1,28,4,3,116,16,1,153,79
30061,1,28,4,0,0,0,0,153,79
30062,1,28,4,14,165,1,10,153,79
30063,1,29,4,5,116,16,1,153,79
30064,1,29,4,14,165,1,10,153,79
30065,1,29,4,15,153,10,5,153,79
30066,1,14,4,5,43,16,1,140,244
30067,1,14,4,0,0,0,0,140,244
30068,1,18,4,0,0,0,0,140,264
30069,1,18,4,14,69,1,10,140,264
30070,1,18,4,5,43,16,1,140,264
30071,1,18,4,15,62,10,5,140,264
30072,1,25,4,0,0,0,0,141,249
30073,1,25,4,15,62,10,5,141,249
30074,1,25,4,5,43,16,1,141,249
30075,1,25,4,14,69,1,10,141,249
30076,1,30,4,5,43,16,1,134,162
30077,1,30,4,14,69,1,10,134,162
