Index,0 [INT] [0x0],1 [UBYTE] [0x24],2 [UBYTE] [0x25],3 [INT] [0x4],4 [INT] [0x8],5 [INT] [0xC],6 [INT] [0x10],7 [INT] [0x14],8 [INT] [0x18],9 [INT] [0x1C],10 [INT] [0x20]
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,2,10,0,0,138,113,0,0,0,0,4
11,2,5,0,137,133,132,105,0,0,2,3
12,2,5,0,137,133,132,0,0,0,0,4
13,2,5,0,134,118,141,0,0,0,0,4
14,3,15,0,154,198,153,200,0,0,0,6
15,2,10,0,104,124,103,0,0,0,0,4
16,2,10,0,104,124,103,114,0,0,0,3
17,2,15,0,110,122,0,0,0,0,0,3
18,3,15,0,149,209,146,0,0,0,0,6
19,3,15,0,190,176,165,220,0,0,0,3
20,1,40,0,81,0,0,0,0,0,0,3
21,3,15,0,148,213,202,158,0,0,0,3
22,2,20,0,128,136,135,0,0,0,0,3
23,3,20,0,152,185,151,224,0,0,0,3
24,2,25,0,127,108,109,0,0,0,0,2
25,3,15,0,171,159,183,0,0,0,0,5
26,3,30,0,157,145,193,197,0,0,0,4
27,2,30,0,106,123,0,0,0,0,0,2
28,2,35,0,112,111,121,0,0,0,0,2
29,3,35,0,189,180,210,0,0,0,0,2
30,3,15,0,211,214,201,204,0,0,0,1
31,3,15,0,147,175,162,206,0,0,0,4
32,2,30,0,0,0,0,0,35,25,0,5
33,2,20,0,126,0,0,0,0,0,0,5
34,2,20,0,117,0,0,0,0,0,0,4
35,2,20,0,0,0,0,0,0,24,0,2
36,1,35,0,100,0,0,0,0,0,0,5
37,2,30,0,0,0,0,0,34,25,0,3
38,3,20,0,187,188,225,0,0,0,0,1
39,3,20,0,178,205,223,0,0,0,0,2
40,3,25,0,186,143,172,196,0,0,0,1
41,3,25,0,179,150,161,170,0,0,0,4
42,2,30,0,0,0,0,0,30,25,0,1
43,2,50,0,0,0,0,0,26,0,0,5
44,2,30,0,0,0,0,0,32,25,0,2
45,1,30,0,0,0,0,0,32,25,0,2
46,1,45,0,78,215,0,0,0,0,0,4
47,0,25,0,66,49,0,0,0,0,0,2
48,1,25,0,94,96,97,80,0,0,0,2
49,0,40,0,47,52,54,0,0,0,0,2
50,2,30,0,0,0,0,33,31,25,0,4
51,2,5,0,402,401,0,0,0,0,0,0
52,2,5,0,404,403,0,0,0,0,0,0
53,2,5,0,405,0,0,0,0,0,0,0
54,2,5,0,406,0,0,0,0,0,0,0
55,2,10,0,408,407,0,0,0,0,0,0
56,2,10,0,410,409,0,0,0,0,0,0
57,2,10,0,411,0,0,0,0,0,0,0
58,2,10,0,412,0,0,0,0,0,0,0
59,2,15,0,414,413,0,0,0,0,0,0
60,2,15,0,416,415,0,0,0,0,0,0
61,2,15,0,417,0,0,0,0,0,0,0
62,2,15,0,419,418,0,0,0,0,0,0
63,3,20,0,421,420,0,0,0,0,0,0
64,2,20,0,422,0,0,0,0,0,0,0
65,2,20,0,423,0,0,0,0,0,0,0
66,2,20,0,427,426,0,0,0,0,0,0
67,3,20,0,425,424,0,0,0,0,0,0
68,2,25,0,429,428,0,0,0,0,0,0
69,3,25,0,430,0,0,0,0,0,0,0
70,2,25,0,431,0,0,0,0,0,0,0
71,2,25,0,432,0,0,0,0,0,0,0
72,2,30,0,434,433,0,0,0,0,0,0
73,3,30,0,436,435,0,0,0,0,0,0
74,3,30,0,437,0,0,0,0,0,0,0
75,2,30,0,438,0,0,0,0,0,0,0
76,2,30,0,439,0,0,0,0,0,0,0
77,2,35,0,440,441,0,0,0,0,0,0
78,3,35,0,442,0,0,0,0,0,0,0
79,3,35,0,443,0,0,0,0,0,0,0
80,2,35,0,444,0,0,0,0,0,0,0
81,3,40,0,445,446,0,0,0,0,0,0
82,2,40,0,447,0,0,0,0,0,0,0
83,3,40,0,448,0,0,0,0,0,0,0
84,2,40,0,449,450,0,0,0,0,0,0
85,2,45,0,451,452,0,0,0,0,0,0
86,2,45,0,453,0,0,0,0,0,0,0
87,2,45,0,454,0,0,0,0,0,0,0
88,2,45,0,455,456,0,0,0,0,0,0
89,3,50,0,457,458,0,0,0,0,0,0
90,2,50,0,459,0,0,0,0,0,0,0
91,3,50,0,460,0,0,0,0,0,0,0
92,2,50,0,461,462,0,0,0,0,0,0
93,0,5,0,463,464,0,0,0,0,0,0
94,0,5,0,465,466,0,0,0,0,0,0
95,0,5,0,467,0,0,0,0,0,0,0
96,0,5,0,468,0,0,0,0,0,0,0
97,0,10,0,469,470,0,0,0,0,0,0
98,0,10,0,471,472,0,0,0,0,0,0
99,0,10,0,473,0,0,0,0,0,0,0
100,0,10,0,474,0,0,0,0,0,0,0
101,0,15,0,475,476,0,0,0,0,0,0
102,0,15,0,477,478,0,0,0,0,0,0
103,0,15,0,479,0,0,0,0,0,0,0
104,0,15,0,480,481,0,0,0,0,0,0
105,0,20,0,482,483,0,0,0,0,0,0
106,0,20,0,484,0,0,0,0,0,0,0
107,0,20,0,485,0,0,0,0,0,0,0
108,0,20,0,486,487,0,0,0,0,0,0
109,0,25,0,488,489,0,0,0,0,0,0
110,1,25,0,490,0,0,0,0,0,0,0
111,1,25,0,491,0,0,0,0,0,0,0
112,0,25,0,492,0,0,0,0,0,0,0
113,0,30,0,493,494,0,0,0,0,0,0
114,0,30,0,495,0,0,0,0,0,0,0
115,0,30,0,496,0,0,0,0,0,0,0
116,0,30,0,497,0,0,0,0,0,0,0
117,0,35,0,498,499,0,0,0,0,0,0
118,0,35,0,500,0,0,0,0,0,0,0
119,0,35,0,501,0,0,0,0,0,0,0
120,0,35,0,502,0,0,0,0,0,0,0
121,0,40,0,503,504,0,0,0,0,0,0
122,0,40,0,505,0,0,0,0,0,0,0
123,0,40,0,506,0,0,0,0,0,0,0
124,0,40,0,507,508,0,0,0,0,0,0
125,0,45,0,509,510,0,0,0,0,0,0
126,0,45,0,511,0,0,0,0,0,0,0
127,0,45,0,512,0,0,0,0,0,0,0
128,0,45,0,513,514,0,0,0,0,0,0
129,0,50,0,515,516,0,0,0,0,0,0
130,0,50,0,517,0,0,0,0,0,0,0
131,1,50,0,518,0,0,0,0,0,0,0
132,0,50,0,519,520,0,0,0,0,0,0
133,3,35,0,144,207,166,221,0,0,0,5
134,3,35,0,194,192,203,167,0,0,0,6
135,2,40,0,0,0,0,0,0,0,0,3
136,2,40,0,0,0,0,0,0,0,0,2
137,2,40,0,102,130,125,101,0,0,0,6
138,2,30,0,0,0,0,0,29,25,0,6
139,2,30,0,0,0,0,0,30,25,7,1
140,3,40,0,164,184,0,0,0,0,0,2
141,3,40,0,191,142,160,0,0,0,0,6
142,2,45,0,119,131,0,0,0,0,0,2
143,3,45,0,155,181,208,163,0,0,0,4
