Index,0 [UBYTE] [0xE],1 [UBYTE] [0xF],2 [UINT] [0x4],3 [USHORT] [0xC],4 [INT] [0x8],5 [STRING] [0x0]
2000,1,16,0,2000,12238,"矿物传承录·库尔札斯篇"
2001,1,16,0,2000,12238,"矿物传承录·库尔札斯篇"
2002,2,17,0,2000,12698,"草木传承录·库尔札斯篇"
2003,2,17,0,2000,12698,"草木传承录·库尔札斯篇"
2004,1,16,1,2000,12239,"矿物传承录·龙堡篇"
2005,1,16,1,2000,12239,"矿物传承录·龙堡篇"
2006,2,17,1,2000,12699,"草木传承录·龙堡篇"
2007,2,17,1,2000,12699,"草木传承录·龙堡篇"
2008,1,16,2,2000,12240,"矿物传承录·阿巴拉提亚篇"
2009,1,16,2,2000,12240,"矿物传承录·阿巴拉提亚篇"
2010,2,17,2,2000,12700,"草木传承录·阿巴拉提亚篇"
2011,2,17,2,2000,12700,"草木传承录·阿巴拉提亚篇"
2012,0,0,0,0,0,""
2013,0,0,0,0,0,""
2014,0,0,0,0,0,""
2015,0,0,0,0,0,""
2500,3,18,0,0,12701,"鱼类传承录·库尔札斯篇"
2501,3,18,1,0,12702,"鱼类传承录·龙堡篇"
2502,3,18,2,0,12703,"鱼类传承录·阿巴拉提亚篇"
2503,0,0,0,0,0,""
2504,0,0,0,0,0,""
2505,0,0,0,0,0,""
2506,0,0,0,0,0,""
2507,0,0,0,0,0,""
