Index,0 [UBYTE] [0x4],1 [UBYTE] [0x9],2 [UBYTE] [0x5],3 [UBYTE] [0xA],4 [UBYTE] [0x6],5 [UBYTE] [0xB],6 [UBYTE] [0x7],7 [UBYTE] [0xC],8 [UBYTE] [0x8],9 [UBYTE] [0xD],10 [STRING] [0x0]
0,0,0,0,0,0,0,0,0,0,0,""
1,0,0,0,0,0,0,0,0,0,0,""
2,0,0,0,0,0,0,0,0,0,0,""
3,0,0,0,0,0,0,0,0,0,0,""
4,0,0,0,0,0,0,0,0,0,0,""
5,0,0,0,0,0,0,0,0,0,0,""
6,0,0,0,0,0,0,0,0,0,0,""
7,0,0,0,0,0,0,0,0,0,0,""
8,0,0,0,0,0,0,0,0,0,0,""
9,0,0,0,0,0,0,0,0,0,0,""
10,0,0,0,0,0,0,0,0,0,0,""
11,0,0,0,0,0,0,0,0,0,0,""
12,0,0,0,0,0,0,0,0,0,0,""
13,0,0,0,0,0,0,0,0,0,0,""
14,0,0,0,0,0,0,0,0,0,0,""
15,0,0,0,0,0,0,0,0,0,0,""
16,0,0,0,0,0,0,0,0,0,0,""
17,0,0,0,0,0,0,0,0,0,0,""
18,0,0,0,0,0,0,0,0,0,0,""
19,0,0,0,0,0,0,0,0,0,0,""
20,0,0,0,0,0,0,0,0,0,0,""
21,0,0,0,0,0,0,0,0,0,0,""
22,0,0,0,0,0,0,0,0,0,0,""
23,0,0,0,0,0,0,0,0,0,0,""
24,0,0,0,0,0,0,0,0,0,0,""
