Index,0 [STRING] [0x0],1 [BYTE] [0x10],2 [STRING] [0x4],3 [BYTE] [0x11],4 [BYTE] [0x12],5 [BYTE] [0x13],6 [BYTE] [0x14],7 [BYTE] [0x15],8 [STRING] [0x8],9 [STRING] [0xC]
0,"",0,"",0,0,0,0,0,"",""
1,"二等牙兵",0,"",0,0,0,0,0,"",""
2,"一等牙兵",0,"",0,0,0,0,0,"",""
3,"上等牙兵",0,"",0,0,0,0,0,"",""
4,"牙兵长",0,"",0,0,0,0,0,"",""
5,"协牙士",0,"",0,0,0,0,0,"",""
6,"副牙士",0,"",0,0,0,0,0,"",""
7,"正牙士",0,"",0,0,0,0,0,"",""
8,"牙士长",0,"",0,0,0,0,0,"",""
9,"协牙尉",0,"",0,0,0,0,0,"",""
10,"副牙尉",0,"",0,0,0,0,0,"",""
11,"正牙尉",0,"",0,0,0,0,0,"",""
12,"协牙校",0,"",0,0,0,0,0,"",""
13,"副牙校",0,"",0,0,0,0,0,"",""
14,"正牙校",0,"",0,0,0,0,0,"",""
15,"从牙将",0,"",0,0,0,0,0,"",""
16,"协牙将",0,"",0,0,0,0,0,"",""
17,"副牙将",0,"",0,0,0,0,0,"",""
18,"正牙将",0,"",0,0,0,0,0,"",""
19,"牙蛇将军",0,"",0,0,0,0,0,"",""
