Index,0 [STRING] [0x0],1 [BYTE] [0x10],2 [STRING] [0x4],3 [BYTE] [0x11],4 [BYTE] [0x12],5 [BYTE] [0x13],6 [BYTE] [0x14],7 [BYTE] [0x15],8 [STRING] [0x8],9 [STRING] [0xC]
0,"",0,"",0,0,0,0,0,"",""
1,"二等漩兵",0,"",0,0,0,0,0,"",""
2,"一等漩兵",0,"",0,0,0,0,0,"",""
3,"上等漩兵",0,"",0,0,0,0,0,"",""
4,"漩兵长",0,"",0,0,0,0,0,"",""
5,"协漩士",0,"",0,0,0,0,0,"",""
6,"副漩士",0,"",0,0,0,0,0,"",""
7,"正漩士",0,"",0,0,0,0,0,"",""
8,"漩士长",0,"",0,0,0,0,0,"",""
9,"协漩尉",0,"",0,0,0,0,0,"",""
10,"副漩尉",0,"",0,0,0,0,0,"",""
11,"正漩尉",0,"",0,0,0,0,0,"",""
12,"协漩校",0,"",0,0,0,0,0,"",""
13,"副漩校",0,"",0,0,0,0,0,"",""
14,"正漩校",0,"",0,0,0,0,0,"",""
15,"从漩将",0,"",0,0,0,0,0,"",""
16,"协漩将",0,"",0,0,0,0,0,"",""
17,"副漩将",0,"",0,0,0,0,0,"",""
18,"正漩将",0,"",0,0,0,0,0,"",""
19,"漩涡提督",0,"",0,0,0,0,0,"",""
