Index,0 [INT] [0x4],1 [INT] [0x8],2 [UINT] [0x0],3 [UBYTE] [0xC]
0,0,0,0,0
1,786432,366608384,0,0
2,69468160,106102784,0,0
3,44564480,177995776,0,0
4,262144000,394526720,0,0
5,194641920,107872256,0,0
6,106168320,222363648,0,0
7,22609920,680656896,0,0
8,461373440,109314048,0,0
9,314572800,191168512,0,0
10,786432,366608384,0,0
11,69468160,106037248,0,0
12,44564480,177930240,0,0
13,262144000,394723328,0,0
14,194641920,107806720,0,0
15,106168320,222167040,0,0
16,22609920,680656896,0,0
17,461373440,109248512,0,0
18,314572800,191102976,0,0
19,786432,366608384,0,0
20,69468160,106168320,0,0
21,44564480,178061312,0,0
22,262144000,394919936,0,0
23,194641920,107937792,0,0
24,106168320,222560256,0,0
25,22609920,680656896,0,0
26,461373440,109379584,0,0
27,314572800,191234048,0,0
28,13107200,351076352,0,0
29,0,0,0,0
30,1310720,403111936,0,0
31,13107200,351076352,0,0
32,0,0,0,0
33,1310720,403111936,0,0
34,13107200,351076352,0,0
35,0,0,0,0
36,1310720,403111936,0,0
