Index,0 [INT] [0x0],1 [UBYTE] [0xC],2 [INT] [0x4],3 [UBYTE] [0xD],4 [INT] [0x8],5 [UBYTE] [0xE],6 [INT] [0x10],7 [UBYTE] [0x1C],8 [INT] [0x14],9 [UBYTE] [0x1D],10 [INT] [0x18],11 [UBYTE] [0x1E],12 [INT] [0x20],13 [UBYTE] [0x2C],14 [INT] [0x24],15 [UBYTE] [0x2D],16 [INT] [0x28],17 [UBYTE] [0x2E],18 [INT] [0x30],19 [UBYTE] [0x3C],20 [INT] [0x34],21 [UBYTE] [0x3D],22 [INT] [0x38],23 [UBYTE] [0x3E],24 [INT] [0x40],25 [UBYTE] [0x4C],26 [INT] [0x44],27 [UBYTE] [0x4D],28 [INT] [0x48],29 [UBYTE] [0x4E],30 [INT] [0x50],31 [UBYTE] [0x5C],32 [INT] [0x54],33 [UBYTE] [0x5D],34 [INT] [0x58],35 [UBYTE] [0x5E],36 [INT] [0x60],37 [UBYTE] [0x6C],38 [INT] [0x64],39 [UBYTE] [0x6D],40 [INT] [0x68],41 [UBYTE] [0x6E],42 [INT] [0x70],43 [UBYTE] [0x7C],44 [INT] [0x74],45 [UBYTE] [0x7D],46 [INT] [0x78],47 [UBYTE] [0x7E],48 [INT] [0x80],49 [UBYTE] [0x8C],50 [INT] [0x84],51 [UBYTE] [0x8D],52 [INT] [0x88],53 [UBYTE] [0x8E],54 [INT] [0x90],55 [UBYTE] [0x9C],56 [INT] [0x94],57 [UBYTE] [0x9D],58 [INT] [0x98],59 [UBYTE] [0x9E],60 [INT] [0xA0],61 [UBYTE] [0xAC],62 [INT] [0xA4],63 [UBYTE] [0xAD],64 [INT] [0xA8],65 [UBYTE] [0xAE]
0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,3742,1,0,1,0,1,4650,1,0,1,0,1,1958,1,0,1,0,1,2468,1,0,1,0,1,2631,1,0,1,0,1,1681,1,0,1,0,1,3307,1,0,1,0,1,2546,1,0,1,0,1,5106,10,0,1,0,1,5509,10,0,1,0,1,4925,3,0,1,0,1
2,1891,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3740,1,3516,1,0,1,0,1,0,1,0,1,3308,1,3515,1,0,1,1602,1,2355,1,0,1,0,1,0,1,0,1,5050,10,0,1,0,1,4869,3,0,1,0,1
3,1820,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3741,1,3959,1,3960,1,2056,1,0,1,0,1,2996,1,2997,1,3275,1,2380,1,1750,1,0,1,5488,10,0,1,0,1,5380,10,0,1,0,1,4926,3,0,1,0,1
4,3763,1,0,1,0,1,4716,1,0,1,0,1,0,1,0,1,0,1,2494,1,0,1,0,1,3530,1,2653,1,3761,1,0,1,0,1,0,1,2961,1,3276,1,3274,1,2430,1,2315,1,0,1,0,1,0,1,0,1,4828,10,0,1,0,1,4927,3,4928,3,0,1
5,2456,1,0,1,0,1,4696,1,4639,1,4660,1,2143,1,4564,3,0,1,2226,1,0,1,0,1,3310,1,4304,1,3762,1,2106,1,4091,1,4305,1,2959,1,2960,1,2652,1,2328,1,2341,1,2367,1,5432,10,0,1,0,1,5396,10,5516,10,0,1,4929,3,4930,3,0,1
6,1996,1,1821,1,0,1,4745,1,0,1,0,1,4565,3,0,1,0,1,3011,1,0,1,0,1,3531,1,3766,1,3534,1,4197,1,0,1,0,1,2999,1,3533,1,3001,1,2481,1,2507,1,0,1,5107,10,0,1,0,1,5351,10,5534,10,0,1,4931,3,0,1,0,1
7,1892,1,0,1,0,1,4658,1,0,1,0,1,0,1,0,1,0,1,3767,1,0,1,0,1,1682,1,4092,1,0,1,4421,1,4422,1,0,1,3532,1,3963,1,3010,1,1603,1,2392,1,1751,1,5133,10,0,1,0,1,4809,10,0,1,0,1,4932,3,0,1,0,1
8,1997,1,2572,1,0,1,4689,1,4657,1,0,1,1959,1,2144,1,0,1,2662,1,2656,1,0,1,3764,1,2654,1,3765,1,2443,1,4306,1,0,1,3314,1,3008,1,3313,1,2520,1,2417,1,0,1,5433,10,0,1,0,1,5383,10,0,1,0,1,4933,3,4875,3,4934,3
9,2228,1,0,1,0,1,4659,1,4673,1,0,1,0,1,0,1,0,1,2469,1,3540,1,0,1,3769,1,3768,1,3536,1,4307,1,2107,1,0,1,3317,1,3315,1,3014,1,1752,1,2329,1,0,1,5110,10,0,1,0,1,5402,10,4803,10,0,1,0,1,0,1,0,1
10,1604,1,1822,1,0,1,4726,1,4681,1,0,1,2145,1,0,1,0,1,2664,1,2230,1,0,1,3966,1,3016,1,3537,1,4093,1,1683,1,2057,1,2661,1,3316,1,3015,1,2482,1,2356,1,2342,1,5124,10,0,1,0,1,4831,10,0,1,0,1,4936,3,0,1,0,1
11,2406,1,0,1,0,1,4640,1,0,1,0,1,1960,1,0,1,0,1,2495,1,3972,1,0,1,3965,1,2660,1,3771,1,4198,1,0,1,0,1,2658,1,3539,1,3538,1,2368,1,2431,1,2418,1,5268,10,0,1,0,1,5051,10,4823,10,4824,10,0,1,0,1,0,1
12,2457,1,2573,1,0,1,4735,1,4736,1,0,1,4551,3,0,1,0,1,2673,1,3026,1,0,1,3770,1,3968,1,3017,1,2058,1,2445,1,0,1,2663,1,3018,1,3020,1,2508,1,2534,1,2547,1,5518,10,0,1,0,1,5539,10,5560,10,5342,10,0,1,0,1,0,1
13,1823,1,1998,1,0,1,4641,1,4682,1,0,1,2146,1,0,1,0,1,3775,1,0,1,0,1,2229,1,3967,1,3541,1,2108,1,0,1,0,1,2665,1,2666,1,3320,1,1684,1,1605,1,0,1,5228,10,0,1,0,1,5540,10,4778,10,4782,10,4939,3,0,1,0,1
14,3779,1,2675,1,0,1,4708,1,0,1,0,1,0,1,0,1,0,1,3544,1,0,1,0,1,3319,1,3772,1,3542,1,2668,1,2059,1,0,1,3022,1,3321,1,3969,1,1753,1,2419,1,0,1,5111,10,5269,10,0,1,4805,10,4783,10,4830,10,0,1,0,1,0,1
