Index,0 [UINT] [0x0],1 [UINT] [0x4],2 [UINT] [0x8],3 [UINT] [0xC],4 [UINT] [0x10]
0,0,0,0,0,0
1,420,420,12,8,8
2,688,688,23,16,16
3,1220,1220,35,23,23
4,1892,1892,46,31,31
5,2514,2514,58,39,39
6,3308,3308,69,46,46
7,3706,3706,81,54,54
8,3734,3734,92,62,62
9,4274,4274,104,69,69
10,5038,5038,115,77,77
11,5880,5880,127,85,85
12,6610,6610,138,92,92
13,7242,7242,150,100,100
14,7372,7372,161,108,108
15,8808,8808,173,115,115
16,9482,9482,184,123,123
17,10102,10102,196,131,131
18,10666,10666,207,138,138
19,11174,11174,219,146,146
20,12988,12988,230,154,154
21,13878,13878,242,161,161
22,14726,14726,253,169,169
23,15514,15514,265,177,177
24,16282,16282,276,184,184
25,18692,18692,288,192,192
26,20668,20668,299,200,200
27,22534,22534,311,207,207
28,24310,24310,322,215,215
29,26018,26018,334,223,223
30,28508,28508,345,230,230
31,29766,29766,357,238,238
32,31000,31000,368,246,246
33,32186,32186,380,253,253
34,33372,33372,391,261,261
35,37336,37336,403,269,269
36,38986,38986,414,276,276
37,40558,40558,426,284,284
38,42130,42130,437,292,292
39,43650,43650,449,299,299
40,48588,48588,460,307,307
41,49716,49716,472,315,315
42,50816,50816,483,322,322
43,51916,51916,495,330,330
44,52988,52988,506,338,338
45,57864,57864,518,345,345
46,60612,60612,529,353,353
47,63300,63300,541,361,361
48,65956,65956,552,368,368
49,68554,68554,564,376,376
50,0,0,575,384,384
51,0,0,587,0,0
52,0,0,598,0,0
53,0,0,610,0,0
54,0,0,621,0,0
55,0,0,633,0,0
56,0,0,644,0,0
57,0,0,656,0,0
58,0,0,667,0,0
59,0,0,679,0,0
60,0,0,690,0,0
61,0,0,702,0,0
62,0,0,713,0,0
63,0,0,725,0,0
64,0,0,736,0,0
65,0,0,748,0,0
66,0,0,759,0,0
67,0,0,771,0,0
68,0,0,782,0,0
69,0,0,794,0,0
70,0,0,805,0,0
71,0,0,817,0,0
72,0,0,828,0,0
73,0,0,840,0,0
74,0,0,851,0,0
75,0,0,863,0,0
76,0,0,874,0,0
77,0,0,886,0,0
78,0,0,897,0,0
79,0,0,909,0,0
80,0,0,920,0,0
81,0,0,932,0,0
82,0,0,943,0,0
83,0,0,955,0,0
84,0,0,966,0,0
85,0,0,978,0,0
86,0,0,989,0,0
87,0,0,1001,0,0
88,0,0,1012,0,0
89,0,0,1024,0,0
90,0,0,1035,0,0
91,0,0,1047,0,0
92,0,0,1058,0,0
93,0,0,1070,0,0
94,0,0,1081,0,0
95,0,0,1093,0,0
96,0,0,1104,0,0
97,0,0,1116,0,0
98,0,0,1127,0,0
99,0,0,1139,0,0
100,0,0,1150,0,0
101,0,0,1162,0,0
102,0,0,1173,0,0
103,0,0,1185,0,0
104,0,0,1196,0,0
105,0,0,1208,0,0
106,0,0,1219,0,0
107,0,0,1231,0,0
108,0,0,1242,0,0
109,0,0,1254,0,0
110,0,0,1265,0,0
111,0,0,1277,0,0
112,0,0,1288,0,0
113,0,0,1300,0,0
114,0,0,1311,0,0
115,0,0,1323,0,0
116,0,0,1334,0,0
117,0,0,1346,0,0
118,0,0,1357,0,0
119,0,0,1369,0,0
120,0,0,1380,0,0
121,0,0,1392,0,0
122,0,0,1403,0,0
123,0,0,1415,0,0
124,0,0,1426,0,0
125,0,0,1438,0,0
126,0,0,1449,0,0
127,0,0,1461,0,0
128,0,0,1472,0,0
129,0,0,1484,0,0
130,0,0,1495,0,0
131,0,0,1507,0,0
132,0,0,1518,0,0
133,0,0,1530,0,0
134,0,0,1541,0,0
135,0,0,1553,0,0
136,0,0,1564,0,0
137,0,0,1576,0,0
138,0,0,1587,0,0
139,0,0,1599,0,0
140,0,0,1610,0,0
141,0,0,1622,0,0
142,0,0,1633,0,0
143,0,0,1645,0,0
144,0,0,1656,0,0
145,0,0,1668,0,0
146,0,0,1679,0,0
147,0,0,1691,0,0
148,0,0,1702,0,0
149,0,0,1714,0,0
150,0,0,1725,0,0
