Index,0 [UBYTE] [0xCA],1 [UBYTE] [0xCB],2 [UINT] [0xC0],3 [USHORT] [0xC4],4 [USHORT] [0xC6],5 [USHORT] [0xC8],6 [UINT] [0x0],7 [UINT] [0xC],8 [UINT] [0x18],9 [UINT] [0x24],10 [UINT] [0x30],11 [UINT] [0x3C],12 [UINT] [0x48],13 [UINT] [0x54],14 [UINT] [0x60],15 [UINT] [0x6C],16 [UINT] [0x78],17 [UINT] [0x84],18 [UINT] [0x90],19 [UINT] [0x9C],20 [UINT] [0xA8],21 [UINT] [0xB4],22 [UINT] [0x4],23 [UINT] [0x10],24 [UINT] [0x1C],25 [UINT] [0x28],26 [UINT] [0x34],27 [UINT] [0x40],28 [UINT] [0x4C],29 [UINT] [0x58],30 [UINT] [0x64],31 [UINT] [0x70],32 [UINT] [0x7C],33 [UINT] [0x88],34 [UINT] [0x94],35 [UINT] [0xA0],36 [UINT] [0xAC],37 [UINT] [0xB8],38 [BBOOL] [0x8],39 [BBOOL] [0x14],40 [BBOOL] [0x20],41 [BBOOL] [0x2C],42 [BBOOL] [0x38],43 [BBOOL] [0x44],44 [BBOOL] [0x50],45 [BBOOL] [0x5C],46 [BBOOL] [0x68],47 [BBOOL] [0x74],48 [BBOOL] [0x80],49 [BBOOL] [0x8C],50 [BBOOL] [0x98],51 [BBOOL] [0xA4],52 [BBOOL] [0xB0],53 [BBOOL] [0xBC],54 [BBOOL] [0x8],55 [BBOOL] [0x14],56 [BBOOL] [0x20],57 [BBOOL] [0x2C],58 [BBOOL] [0x38],59 [BBOOL] [0x44],60 [BBOOL] [0x50],61 [BBOOL] [0x5C],62 [BBOOL] [0x68],63 [BBOOL] [0x74],64 [BBOOL] [0x80],65 [BBOOL] [0x8C],66 [BBOOL] [0x98],67 [BBOOL] [0xA4],68 [BBOOL] [0xB0],69 [BBOOL] [0xBC],70 [BBOOL] [0x8],71 [BBOOL] [0x14],72 [BBOOL] [0x20],73 [BBOOL] [0x2C],74 [BBOOL] [0x38],75 [BBOOL] [0x44],76 [BBOOL] [0x50],77 [BBOOL] [0x5C],78 [BBOOL] [0x68],79 [BBOOL] [0x74],80 [BBOOL] [0x80],81 [BBOOL] [0x8C],82 [BBOOL] [0x98],83 [BBOOL] [0xA4],84 [BBOOL] [0xB0],85 [BBOOL] [0xBC]
0,0,0,251,33,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1,1,3,251,279,280,281,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2,1,3,251,279,280,281,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
3,2,1,251,279,280,281,4982026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
4,3,1,251,279,280,281,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,0,0,0,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
5,5,2,251,279,280,281,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
6,4,2,251,279,280,281,5127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
7,1,3,251,279,280,281,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
8,1,3,251,279,280,281,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
9,1,3,251,279,280,281,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
