Index,0 [INT] [0x0],1 [BBOOL] [0x19],2 [INT] [0x4],3 [INT] [0x8],4 [INT] [0xC],5 [INT] [0x10],6 [UBYTE] [0x18],7 [USHORT] [0x14],8 [USHORT] [0x16]
262144,0,false,301072384,0,0,0,0,0,0
262145,0,false,298254336,0,0,0,0,0,0
262151,0,false,319029248,0,0,0,0,0,100
262152,0,false,195756032,0,0,0,0,0,100
262153,0,false,196018176,0,0,0,0,0,100
262154,0,false,195624960,0,0,0,0,0,100
262155,0,false,195493888,0,0,0,0,0,100
262156,0,false,195887104,0,0,0,0,0,100
262157,0,false,363069440,0,0,0,0,0,100
262158,0,false,319029248,0,0,0,0,0,100
262159,0,false,195756032,0,0,0,0,0,100
262160,0,false,196018176,0,0,0,0,0,100
262161,0,false,195624960,0,0,0,0,0,100
262162,0,false,195493888,0,0,0,0,0,100
262163,0,false,195887104,0,0,0,0,0,100
262164,0,false,319029248,0,0,0,0,0,100
262165,0,false,195756032,0,0,0,0,0,100
262166,0,false,196018176,0,0,0,0,0,100
262167,0,false,195624960,0,0,0,0,0,100
262168,0,false,195493888,0,0,0,0,0,100
262169,0,false,195887104,0,0,0,0,0,100
262170,0,false,351338496,0,0,0,0,0,100
262171,0,false,352583680,0,0,0,0,0,100
262172,0,false,351338496,0,0,0,0,0,100
262173,0,false,351338496,0,0,0,0,0,100
262174,0,false,360316928,0,0,0,0,0,100
262175,0,false,331743232,0,0,0,0,0,100
262176,0,false,334626816,0,0,0,0,0,100
262177,0,false,352583680,0,0,0,0,0,100
262178,0,false,275120128,0,0,0,0,0,100
262179,0,false,275513344,0,0,0,0,0,100
262180,0,false,298254336,0,0,0,0,0,100
262181,0,false,366608384,0,0,0,0,0,100
262182,0,false,352583680,0,0,0,0,0,100
262183,0,false,151650304,0,0,0,0,0,100
262184,0,false,119209984,0,0,0,0,0,100
262185,0,false,310968320,0,0,0,0,0,100
262186,0,false,173867008,2359296,0,0,0,0,100
262187,0,false,173801472,1900544,0,0,0,0,100
262188,0,false,275120128,0,0,0,0,0,100
262189,0,false,275513344,0,0,0,0,0,100
262190,0,false,298254336,0,0,0,0,0,100
262191,0,false,366608384,0,0,0,0,0,100
262192,0,false,352583680,0,0,0,0,0,100
262193,0,false,153354240,0,0,0,0,0,100
262194,0,false,114622464,0,0,0,0,0,100
262195,0,false,173867008,2359296,0,0,0,0,100
262196,0,false,173801472,1900544,0,0,0,0,100
262197,0,false,310968320,0,0,0,0,0,100
262198,0,false,275120128,0,0,0,0,0,100
262199,0,false,275513344,0,0,0,0,0,100
262200,0,false,298254336,0,0,0,0,0,100
262201,0,false,366608384,0,0,0,0,0,100
262202,0,false,352583680,0,0,0,0,0,100
262203,0,false,156696576,0,0,0,0,0,100
262204,0,false,104923136,0,0,0,0,0,100
262205,0,false,173867008,2359296,0,0,0,0,100
262206,0,false,173801472,1900544,0,0,0,0,100
262207,0,false,310968320,0,0,0,0,0,100
262208,0,false,316211200,0,0,0,0,0,100
262209,0,false,107282432,0,0,0,0,0,100
262210,0,false,319225856,0,0,0,0,0,100
262211,0,false,357498880,0,0,0,0,0,100
262212,0,false,276168704,0,0,0,0,0,100
262213,0,false,178847744,4849664,0,0,0,0,100
262214,0,false,179109888,3014656,0,0,0,0,100
262215,0,false,105054208,0,0,0,0,0,100
262216,0,false,151715840,0,0,0,0,0,100
262217,0,false,119275520,0,0,0,0,0,100
262218,0,false,173867008,2359296,0,0,0,0,100
262219,0,false,173801472,1900544,0,0,0,0,100
262221,0,false,151715840,0,0,0,0,0,100
262222,0,false,119275520,0,0,0,0,0,100
262223,0,false,173867008,2359296,0,0,0,0,100
262224,0,false,173801472,1900544,0,0,0,0,100
262225,0,false,151715840,0,0,0,0,0,100
262226,0,false,119275520,0,0,0,0,0,100
262227,0,false,173867008,2359296,0,0,0,0,100
262228,0,false,173801472,1900544,0,0,0,0,100
262229,0,false,151781376,0,0,0,0,0,100
262230,0,false,119406592,0,0,0,0,0,100
262231,0,false,174456832,5308416,0,0,0,0,100
262232,0,false,174325760,3014656,0,0,0,0,100
262233,0,false,151781376,0,0,0,0,0,100
262234,0,false,119406592,0,0,0,0,0,100
262235,0,false,174456832,5308416,0,0,0,0,100
262236,0,false,174325760,3014656,0,0,0,0,100
262237,0,false,151781376,0,0,0,0,0,100
262238,0,false,119406592,0,0,0,0,0,100
262239,0,false,174456832,5308416,0,0,0,0,100
262240,0,false,174325760,3014656,0,0,0,0,100
262241,0,false,151846912,0,0,0,0,0,100
262242,0,false,119406592,0,0,0,0,0,100
262243,0,false,174456832,5308416,0,0,0,0,100
262244,0,false,174325760,3014656,0,0,0,0,100
262245,0,false,151846912,0,0,0,0,0,100
262246,0,false,119603200,0,0,0,0,0,100
262247,0,false,175439872,4849664,0,0,0,0,100
262248,0,false,174981120,1900544,0,0,0,0,100
262249,0,false,151846912,0,0,0,0,0,100
262250,0,false,119603200,0,0,0,0,0,100
262251,0,false,175439872,4849664,0,0,0,0,100
262252,0,false,174981120,1900544,0,0,0,0,100
262253,0,false,151912448,0,0,0,0,0,100
262254,0,false,105578496,0,0,0,0,0,100
262255,0,false,177602560,2359296,0,0,0,0,100
262256,0,false,177864704,2359296,0,0,0,0,100
262257,0,false,311033856,0,0,0,0,0,100
262258,0,false,152043520,0,0,0,0,0,100
262259,0,false,106496000,0,0,0,0,0,100
262260,0,false,178847744,4849664,0,0,0,0,100
262261,0,false,178716672,3014656,0,0,0,0,100
262262,0,false,152043520,0,0,0,0,0,100
262263,0,false,106496000,0,0,0,0,0,100
262264,0,false,178847744,4849664,0,0,0,0,100
262265,0,false,178716672,3014656,0,0,0,0,100
262266,0,false,152109056,0,0,0,0,0,100
262267,0,false,107282432,0,0,0,0,0,100
262268,0,false,180420608,4849664,0,0,0,0,100
262269,0,false,180748288,4849664,0,0,0,0,100
262270,0,false,108724224,0,0,0,0,0,100
262271,0,false,152305664,0,0,0,0,0,100
262272,0,false,185139200,3014656,0,0,0,0,100
262273,0,false,185729024,3014656,0,0,0,0,100
262274,0,false,152305664,0,0,0,0,0,100
262275,0,false,108724224,0,0,0,0,0,100
262276,0,false,185139200,3014656,0,0,0,0,100
262277,0,false,185729024,3014656,0,0,0,0,100
262278,0,false,107282432,0,0,0,0,0,100
262279,0,false,152174592,0,0,0,0,0,100
262280,0,false,181927936,3014656,0,0,0,0,100
262281,0,false,181469184,917504,0,0,0,0,100
262282,0,false,152174592,0,0,0,0,0,100
262283,0,false,107282432,0,0,0,0,0,100
262284,0,false,181927936,3014656,0,0,0,0,100
262285,0,false,181469184,917504,0,0,0,0,100
262286,0,false,107675648,0,0,0,0,0,100
262287,0,false,152240128,0,0,0,0,0,100
262288,0,false,184156160,4849664,0,0,0,0,100
262289,0,false,184549376,4849664,0,0,0,0,100
262290,0,false,153419776,0,0,0,0,0,100
262291,0,false,114688000,0,0,0,0,0,100
262292,0,false,173867008,2359296,0,0,0,0,100
