Index,0 [UBYTE] [0x0],1 [UBYTE] [0x1],2 [UBYTE] [0x2]
65536,0,0,0
65537,1,9,5
65538,2,9,5
65539,3,9,5
65540,1,10,5
65541,2,10,5
65542,3,10,5
65543,1,11,0
65544,2,11,0
65545,3,11,0
65546,4,11,0
65547,5,11,0
65548,6,11,0
65549,7,11,0
65550,8,11,0
65551,9,11,0
65552,10,11,0
65553,11,11,0
65554,12,11,0
65555,13,11,0
65556,14,11,0
65557,4,9,4
65558,5,9,4
65559,6,9,5
65560,7,9,5
65561,8,9,4
65562,9,9,4
65563,10,9,6
65564,11,9,2
65565,12,9,10
65566,13,9,10
65567,4,10,4
65568,5,10,4
65569,6,10,5
65570,7,10,5
65571,8,10,4
65572,9,10,4
65573,10,10,6
65574,11,10,2
65575,12,10,10
65576,13,10,10
65577,15,11,0
65578,0,0,0
