Index,0 [INT] [0x0]
0,0
1010,303
1011,304
1012,301
1013,366
1014,305
1020,302
1021,302
1110,300
1111,300
1112,300
1113,300
1120,300
1121,300
1122,300
1123,300
2010,310
2011,310
2012,310
2110,310
2111,310
2112,310
2113,310
3010,326
3011,320
3012,327
3013,328
3014,321
3015,331
3016,366
3017,334
3020,315
3021,311
3022,313
3023,312
3024,314
3025,366
3026,316
3040,3027
3041,3028
3042,3029
3043,3030
3044,3031
3045,3032
3046,3033
3047,3034
3048,3026
3049,3037
3050,3038
3110,320
3111,320
3112,320
3113,320
3114,329
3115,320
3116,470
3117,336
3120,310
3121,310
3122,310
3123,310
3130,3026
3131,3026
3132,3026
3133,3026
3140,3026
3141,3026
3142,3026
3143,3026
3200,961
3201,962
3202,963
3203,964
3204,965
3205,966
3206,967
3207,968
3208,969
3209,970
3210,971
3211,972
3212,973
3213,974
3214,975
3215,976
3216,977
3217,978
3218,997
3219,956
3220,957
3221,958
3222,959
3223,998
3224,941
3225,942
3226,943
3227,944
3228,945
3229,946
3230,948
4010,320
4011,320
4012,320
4013,320
4014,320
4015,320
4016,335
4020,310
4021,366
4040,3035
4041,3036
4042,3035
4043,3194
4110,320
4111,320
4112,471
4120,310
4121,310
4130,3036
4131,3036
4140,3036
4141,3036
5010,324
5011,324
5012,0
5013,324
5014,324
5020,325
5021,325
5022,325
5023,325
5030,0
5031,0
5032,0
5033,322
5034,322
5035,322
5036,322
5037,322
5038,322
5040,0
5041,332
5042,323
5043,323
5044,323
5110,324
5111,472
5120,325
5121,473
5130,322
5131,322
5132,322
5133,322
5134,474
5140,323
5141,323
5142,323
5143,323
5144,475
5145,3792
5146,3793
5147,3795
6010,348
6011,346
6012,347
6020,349
6021,349
6022,350
6023,351
6024,349
6025,352
6026,363
6030,353
6031,353
6040,354
6041,355
6042,354
6043,354
6050,359
6051,359
6052,359
6060,360
6061,360
6062,360
6063,361
6064,360
6070,356
6071,356
6072,356
6073,356
6080,357
6081,358
6082,357
6083,357
6084,357
6090,346
6091,364
6092,364
6110,340
6111,340
6112,341
6113,342
6114,343
6115,344
6116,338
6117,345
6118,362
6120,349
6121,349
6122,349
6123,349
6124,349
6125,476
6130,353
6131,353
6132,477
6140,354
6141,354
6142,478
6150,359
6151,359
6152,479
6160,360
6161,360
6162,360
6163,360
6164,360
6170,356
6171,356
6172,356
6173,356
6174,356
6175,480
6180,357
6181,481
6182,357
6183,357
6184,357
6185,357
6186,358
6187,357
6188,357
6189,357
6190,357
6191,481
6192,357
6193,357
6194,357
6195,357
6196,357
6197,357
6198,357
6199,357
6200,357
6201,357
6300,364
6301,365
6302,341
6303,342
6304,344
6305,344
6306,343
6307,343
6308,345
6309,362
6320,357
6321,357
6322,357
7010,371
7011,371
7012,371
7013,371
7014,371
7020,376
7021,377
7022,378
7023,376
7030,370
7031,370
7032,370
7040,93
7110,371
7111,371
7112,371
7113,372
7114,373
7115,374
7116,677
7117,374
7118,375
7119,676
7120,376
7121,376
7122,376
7130,370
7131,370
7132,370
7133,379
7134,380
7135,370
7136,370
7137,370
7138,381
7139,482
7310,483
7311,484
7312,0
7313,671
7314,670
7330,678
7331,370
8110,330
8111,333
8112,333
8113,330
8114,330
8115,330
8116,679
9010,0
9011,462
9012,463
9013,464
9014,466
9015,465
9020,0
9021,385
9022,0
9030,387
9031,387
9032,386
9033,386
9040,0
9050,0
9060,0
9061,0
9062,0
9063,0
9064,0
9065,0
9066,0
9110,0
9111,0
9120,385
9121,385
9122,385
9140,390
9141,390
9142,387
9143,392
9144,390
9145,390
9146,0
9147,390
9148,392
9149,388
9150,389
9151,460
9152,461
9153,468
9160,462
9161,462
9162,462
9163,463
9164,462
9180,490
9181,490
9182,490
9183,492
9184,493
9185,494
9186,490
9190,495
9191,495
9192,495
9193,496
9194,495
9310,467
9311,467
9400,680
9401,681
9402,489
9403,682
9404,683
9405,684
10000,3021
10001,3051
10002,3021
10003,0
10010,3018
10011,3019
10012,3020
10020,3013
10021,3014
10022,3015
10023,3016
10024,3017
10030,3001
10031,3002
10032,3003
10033,3199
10040,3009
10041,3009
10042,3009
10043,3008
10050,3010
10051,3010
10052,3010
10053,3008
10060,3006
10061,3006
10062,3006
10063,3007
10070,3004
10071,3004
10072,3004
10073,3008
10080,3011
10081,3011
10082,3011
10083,3008
10090,3012
10091,3012
10092,3008
10093,3012
10110,3018
10111,3018
10120,3013
10121,3013
10122,3013
10123,3013
10124,3013
10130,3001
10131,3001
10140,3009
10141,3009
10142,3111
10143,3112
10144,3113
10145,3114
10146,3115
10147,3116
10148,3010
10150,3010
10151,3010
10152,3010
10153,3010
10160,3006
10161,3006
10162,3006
10163,0
10164,3006
10170,3004
10171,3004
10172,3005
10173,3117
10174,3118
