Index,0 [UINT] [0x0],1 [UINT] [0x4]
1900544,0,0
1900545,1,0
1900546,2,0
1900547,3,0
1900548,4,0
1900549,5,0
1900550,6,0
1900551,7,0
1900552,8,0
1900553,9,0
1900554,10,0
1900555,11,0
1900556,12,0
1900557,13,0
1900558,14,0
1900559,15,0
1900560,16,0
1900561,20001,0
1900562,20002,0
1900563,20003,0
1900564,20004,0
1900565,20005,0
1900566,20006,0
1900567,20007,0
1900568,40001,0
1900569,30001,0
1900570,20008,0
1900571,20009,0
1900572,20010,0
1900573,20011,0
1900574,17,0
1900575,18,0
1900576,19,0
1900577,22,0
1900578,21,0
1900579,20,0
1900580,20012,0
1900581,20017,0
1900582,20018,0
1900583,20021,0
1900584,20019,0
1900585,20020,0
1900586,30002,0
1900587,30003,0
1900588,30004,0
1900589,30005,0
1900590,30006,0
1900591,25,0
1900592,24,0
1900593,23,0
1900594,30011,0
1900595,50001,0
1900596,20022,0
1900597,20023,0
1900598,27,0
1900599,20024,0
1900600,20026,0
1900601,30007,0
1900602,30008,0
1900603,30009,0
1900604,30010,0
1900605,28,0
1900606,26,0
1900607,20025,0
