Index,0 [USHORT] [0x0],1 [USHORT] [0x2],2 [USHORT] [0x4],3 [USHORT] [0x6],4 [USHORT] [0x8],5 [USHORT] [0xA],6 [USHORT] [0xC],7 [USHORT] [0xE],8 [USHORT] [0x10],9 [USHORT] [0x12],10 [USHORT] [0x14],11 [USHORT] [0x16],12 [USHORT] [0x18],13 [USHORT] [0x1A],14 [USHORT] [0x1C],15 [USHORT] [0x1E],16 [USHORT] [0x20],17 [USHORT] [0x22],18 [USHORT] [0x24],19 [USHORT] [0x26],20 [USHORT] [0x28],21 [USHORT] [0x2A],22 [USHORT] [0x2C],23 [USHORT] [0x2E],24 [USHORT] [0x30],25 [USHORT] [0x32],26 [USHORT] [0x34],27 [USHORT] [0x36],28 [USHORT] [0x38],29 [USHORT] [0x3A],30 [USHORT] [0x3C],31 [USHORT] [0x3E],32 [USHORT] [0x40],33 [USHORT] [0x42],34 [USHORT] [0x44],35 [USHORT] [0x46],36 [USHORT] [0x48],37 [USHORT] [0x4A],38 [USHORT] [0x4C],39 [USHORT] [0x4E],40 [USHORT] [0x50],41 [USHORT] [0x52],42 [USHORT] [0x54],43 [USHORT] [0x56],44 [USHORT] [0x58],45 [USHORT] [0x5A],46 [USHORT] [0x5C],47 [USHORT] [0x5E],48 [USHORT] [0x60],49 [USHORT] [0x62],50 [USHORT] [0x64],51 [USHORT] [0x66],52 [USHORT] [0x68],53 [USHORT] [0x6A],54 [USHORT] [0x6C],55 [USHORT] [0x6E],56 [USHORT] [0x70],57 [USHORT] [0x72],58 [USHORT] [0x74],59 [USHORT] [0x76],60 [USHORT] [0x78],61 [USHORT] [0x7A],62 [USHORT] [0x7C],63 [USHORT] [0x7E],64 [USHORT] [0x80],65 [USHORT] [0x82],66 [USHORT] [0x84],67 [USHORT] [0x86],68 [USHORT] [0x88],69 [USHORT] [0x8A],70 [USHORT] [0x8C],71 [USHORT] [0x8E],72 [USHORT] [0x90],73 [USHORT] [0x92]
0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,53,80,6,9,0,0,0,15,15,0,0,112,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,80,80,85,85,0
2,0,0,0,0,0,0,0,0,0,56,80,6,10,0,0,0,16,16,0,0,115,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,85,85,90,90,0
3,0,0,0,0,0,0,0,0,0,59,80,6,10,0,0,0,16,16,0,0,120,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,90,90,95,95,0
4,0,0,0,0,0,0,0,0,0,62,80,7,11,0,0,0,17,17,0,0,124,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,95,95,100,100,0
5,10,10,0,10,10,0,0,0,0,65,80,7,12,0,0,0,17,17,0,0,130,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,100,100,105,105,0
6,10,10,0,10,10,0,0,0,0,68,80,7,12,0,0,0,18,18,0,0,136,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,104,104,110,110,0
7,11,11,0,11,11,0,0,0,0,71,80,8,13,0,0,0,18,18,0,0,141,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,109,109,115,115,0
8,12,12,0,12,12,0,0,0,0,74,80,8,14,0,0,0,19,19,0,0,146,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,114,114,120,120,0
9,13,13,0,13,13,0,0,0,0,77,82,9,15,0,0,0,19,19,0,0,151,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,119,119,125,125,0
10,14,14,10,14,14,9,0,0,0,80,83,9,16,0,0,0,20,20,14,0,156,14,0,156,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,124,124,130,130,0
11,15,15,11,15,15,9,0,0,0,83,85,10,17,0,0,0,22,22,15,0,163,15,0,163,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,15,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,128,128,135,135,0
12,16,16,12,16,16,10,0,0,0,86,86,10,18,0,0,0,24,24,17,0,170,17,0,170,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,17,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,133,133,140,140,0
13,17,17,13,17,17,10,0,0,0,89,88,11,20,0,0,0,26,26,19,0,178,19,0,178,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,19,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,138,138,145,145,0
14,19,19,14,19,19,11,0,0,0,92,89,11,21,0,0,0,28,28,20,0,186,20,0,186,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,20,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,143,143,150,150,0
15,20,20,16,20,20,11,0,0,0,95,91,12,22,0,0,0,30,30,22,0,192,22,0,192,0,0,22,0,5,5,5,0,0,0,0,0,14,14,14,14,14,14,0,13,22,22,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,148,148,155,155,0
16,21,21,18,21,21,12,0,0,0,98,92,12,23,0,0,0,32,32,23,0,200,23,0,200,0,0,23,0,5,5,5,0,0,0,0,0,14,14,14,14,14,14,0,14,23,23,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,152,152,160,160,0
17,23,23,20,23,23,13,0,0,0,101,94,13,24,0,0,0,34,34,25,0,208,25,0,208,0,0,25,0,5,5,5,0,0,0,0,0,14,14,14,14,14,14,0,15,25,25,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,157,157,165,165,0
18,24,24,22,24,24,13,0,0,0,104,95,13,26,0,0,0,36,36,27,0,217,27,0,217,0,0,27,0,5,5,5,0,0,0,0,0,15,15,15,15,15,15,0,16,27,27,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,162,162,170,170,0
19,25,25,24,25,25,14,0,0,0,107,96,14,27,0,0,0,38,38,29,0,225,29,0,225,0,0,29,0,5,5,5,0,0,0,0,0,15,15,15,15,15,15,0,17,29,29,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,167,167,175,175,0
20,27,27,27,27,27,15,0,0,0,110,98,14,28,0,0,0,40,40,30,0,233,30,0,233,0,0,30,0,5,5,5,0,0,0,0,0,16,16,16,16,16,16,0,18,30,30,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,172,172,180,180,0
21,29,29,29,29,29,16,0,0,0,113,99,15,29,0,0,0,42,42,32,0,243,32,0,243,0,0,32,0,5,5,5,0,0,0,0,0,17,17,17,17,17,17,0,19,32,32,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,176,176,185,185,0
22,31,31,31,31,31,18,0,0,0,116,101,15,30,0,0,0,43,43,35,0,253,35,0,253,0,0,35,0,5,5,5,0,0,0,0,0,17,17,17,17,17,17,0,21,35,35,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,181,181,190,190,0
23,32,32,33,32,32,19,0,0,0,119,102,16,30,0,0,0,45,45,38,0,265,38,0,265,0,0,38,0,5,5,5,0,0,0,0,0,18,18,18,18,18,18,0,23,38,38,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,186,186,195,195,0
24,34,34,35,34,34,20,0,0,0,122,104,16,31,0,0,0,46,46,40,0,277,40,0,277,0,0,40,0,5,5,5,0,0,0,0,0,18,18,18,18,18,18,0,25,40,40,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,191,191,200,200,0
25,36,36,37,36,36,22,0,0,0,125,105,17,32,0,0,0,48,48,43,0,289,43,0,289,0,0,43,0,5,5,5,0,0,0,0,0,19,19,19,19,19,19,0,27,43,43,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,196,196,205,205,0
26,38,38,39,38,38,24,0,0,0,128,107,17,33,0,0,0,50,50,46,0,301,46,0,301,0,0,46,0,5,5,5,0,0,0,0,0,20,20,20,20,20,20,0,29,46,46,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,200,200,210,210,0
27,40,40,41,40,40,25,0,0,0,131,108,18,34,0,0,0,51,51,49,0,311,49,0,311,0,0,49,0,5,5,5,0,0,0,0,0,20,20,20,20,20,20,0,31,49,49,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,205,205,215,215,0
28,41,41,43,41,41,27,0,0,0,134,110,18,34,0,0,0,53,53,53,0,323,53,0,323,0,0,53,0,5,5,5,0,0,0,0,0,21,21,21,21,21,21,0,33,53,53,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,210,210,220,220,0
29,43,43,45,43,43,29,0,0,0,137,111,19,35,0,0,0,54,54,57,0,335,57,0,335,0,0,57,0,5,5,5,0,0,0,0,0,22,22,22,22,22,22,0,35,57,57,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,215,215,225,225,0
