Index,0 [STRING] [0x0],1 [INT] [0x4],2 [UBYTE] [0x8],3 [UBYTE] [0x9]
0,"",0,0,0
1,"格斗武器",60101,1,1
2,"单手剑",60102,0,1
3,"大斧",60103,2,1
4,"弓",60105,4,1
5,"长枪",60104,3,1
6,"单手咒杖",60108,8,1
7,"双手咒杖",60108,9,1
8,"单手幻杖",60107,6,1
9,"双手幻杖",60107,7,1
10,"魔导书",60109,10,1
11,"盾",60110,0,3
12,"刻木工具（主工具）",60112,0,2
13,"刻木工具（副工具）",60112,1,2
14,"锻铁工具（主工具）",60113,2,2
15,"锻铁工具（副工具）",60113,3,2
16,"铸甲工具（主工具）",60114,4,2
17,"铸甲工具（副工具）",60114,5,2
18,"雕金工具（主工具）",60115,6,2
19,"雕金工具（副工具）",60115,7,2
20,"制革工具（主工具）",60116,8,2
21,"制革工具（副工具）",60116,9,2
22,"裁衣工具（主工具）",60117,10,2
23,"裁衣工具（副工具）",60117,11,2
24,"炼金工具（主工具）",60118,12,2
25,"炼金工具（副工具）",60118,13,2
26,"烹调工具（主工具）",60119,14,2
27,"烹调工具（副工具）",60119,15,2
28,"采矿工具（主工具）",60120,16,2
29,"采矿工具（副工具）",60120,17,2
30,"园艺工具（主工具）",60121,18,2
31,"园艺工具（副工具）",60121,19,2
32,"捕鱼用具（主工具）",60122,20,2
33,"钓饵",60123,26,7
34,"头部防具",60124,1,3
35,"身体防具",60126,2,3
36,"腿部防具",60128,5,3
37,"手部防具",60129,3,3
38,"脚部防具",60130,6,3
39,"腰部防具",60131,4,3
40,"项链",60132,0,4
41,"耳饰",60133,1,4
42,"手镯",60134,2,4
43,"戒指",60135,3,4
44,"药品",60136,0,5
45,"食材",60137,0,6
46,"食品",60146,1,5
47,"水产品",60138,1,6
48,"石材",60139,2,6
49,"金属",60140,3,6
50,"木材",60141,4,6
51,"布料",60142,5,6
52,"皮革",60143,6,6
53,"骨材",60144,7,6
54,"炼金原料",60145,8,6
55,"染料",60147,10,6
56,"部件",60148,9,6
57,"家具",60161,19,7
58,"魔晶石",60150,0,7
59,"水晶",60151,1,7
60,"触媒",60152,2,7
61,"杂货",60153,3,7
62,"灵魂水晶",60154,4,4
63,"其他",60156,5,7
64,"房产证书",60157,6,7
65,"房顶",60157,7,7
66,"外墙",60157,8,7
67,"窗户",60157,9,7
68,"房门",60157,10,7
69,"房顶装饰",60157,11,7
70,"外墙装饰",60157,12,7
71,"门牌",60157,13,7
72,"院墙",60157,14,7
73,"内墙",60158,15,7
74,"地板",60158,16,7
75,"屋顶照明",60158,17,7
76,"庭具",60165,18,7
77,"桌台",60159,20,7
78,"桌上",60160,21,7
79,"壁挂",60163,22,7
80,"地毯",60164,23,7
81,"宠物",60156,4,7
82,"栽培用品",60153,24,7
83,"半魔晶石",60150,25,7
84,"双剑",60106,5,1
85,"",0,0,0
86,"",0,0,0
87,"",0,0,0
88,"",0,0,0
89,"",0,0,0
90,"",0,0,0
91,"",0,0,0
92,"",0,0,0
93,"",0,0,0
94,"",0,0,0
95,"",0,0,0
96,"",0,0,0
97,"",0,0,0
98,"",0,0,0
99,"",0,0,0
100,"",0,0,0
