Index,0 [INT] [0x4],1 [UBYTE] [0x8],2 [STRING] [0x0]
0,0,0,""
1,61412,1,"重生之境"
2,61412,2,"第七星历"
3,61412,3,"苍穹之禁城"
4,61412,4,"龙诗战争终章"
5,61412,5,"龙诗战争尾声"
6,61412,6,"红莲之狂潮"
7,61412,7,"解放战争战后"
8,61411,8,"蛮神"
9,61411,9,"巴哈姆特"
10,61411,10,"水晶塔"
11,61411,11,"亚历山大"
12,61411,12,"上古众神"
13,61411,13,"玛哈之影"
14,61411,14,"欧米茄"
15,61411,15,"重返伊瓦利斯"
16,61411,16,"四圣兽奇谭"
17,61411,17,"剧情任务"
18,61411,17,"日常任务"
19,61411,18,"剧情任务"
20,61411,18,"日常任务"
21,61411,19,"剧情任务"
22,61411,19,"日常任务"
23,61411,20,"剧情任务"
24,61411,20,"日常任务"
25,61411,21,"剧情任务"
26,61411,21,"日常任务"
27,61411,22,"剧情任务"
28,61411,22,"日常任务"
29,61411,23,"剧情任务"
30,61411,23,"日常任务"
31,61411,24,"剧情任务"
32,61411,24,"日常任务"
33,61411,25,"剧情任务"
34,61411,25,"日常任务"
35,61411,26,"剧情任务"
36,61411,26,"日常任务"
37,61411,27,"非著名调查员"
38,61411,27,"非著名调查员外传：苍穹之章"
39,61411,27,"非著名调查员外传：幕间之章"
40,61411,27,"圣恩达利姆神学院记"
41,61411,27,"龙诗战争外传"
42,61411,27,"异国的诗人"
43,61411,27,"黄道武器"
44,61411,27,"元灵武器"
45,0,0,""
46,61411,27,"邮差莫古力"
47,61411,27,"蛮族盟友"
48,61411,27,"蛮族盟友：苍穹之章"
49,61411,27,"多玛冒险者团"
50,61411,27,"多玛飞地复兴记"
51,61411,28,"支线任务：拉诺西亚"
52,61411,29,"多玛飞地重建记"
53,61411,30,"支线任务：萨纳兰"
54,61411,31,"支线任务：库尔札斯"
55,61411,32,"支线任务：摩杜纳"
56,61411,33,"支线任务：伊修加德"
57,61411,34,"支线任务：阿巴拉提亚云海"
58,61411,35,"支线任务：龙堡参天高地"
59,61411,35,"支线任务：龙堡内陆低地"
60,61411,35,"支线任务：翻云雾海"
61,61411,35,"支线任务：田园郡"
62,61411,36,"支线任务：魔大陆"
63,61411,37,"支线任务：神拳痕"
64,61411,37,"支线任务：基拉巴尼亚边区"
65,61411,37,"支线任务：基拉巴尼亚山区"
66,61411,37,"支线任务：基拉巴尼亚湖区"
67,61411,39,"支线任务：黄金港"
68,61411,38,"支线任务：红玉海"
69,61411,38,"支线任务：延夏"
70,61411,38,"支线任务：太阳神草原"
71,62301,40,"剑术师任务"
72,62302,40,"格斗家任务"
73,62303,40,"斧术师任务"
74,62304,40,"枪术师任务"
75,62305,40,"弓箭手任务"
76,62309,40,"双剑师任务"
77,62306,41,"幻术师任务"
78,62307,41,"咒术师任务"
79,62308,41,"秘术师任务"
80,62310,42,"刻木匠任务"
81,62311,42,"锻铁匠任务"
82,62312,42,"铸甲匠任务"
83,62313,42,"雕金匠任务"
84,62314,42,"制革匠任务"
85,62315,42,"裁衣匠任务"
86,62316,42,"炼金术士任务"
87,62317,42,"烹调师任务"
88,62318,43,"采矿工任务"
89,62319,43,"园艺工任务"
90,62320,43,"捕鱼人任务"
91,62401,44,"骑士任务"
92,62402,44,"武僧任务"
93,62403,44,"战士任务"
94,62404,44,"龙骑士任务"
95,62405,44,"吟游诗人任务"
96,62410,44,"忍者任务"
97,62406,45,"白魔法师任务"
98,62407,45,"黑魔法师任务"
99,62408,45,"召唤师任务"
100,62409,45,"学者任务"
101,62412,44,"暗黑骑士任务"
102,62411,44,"机工士任务"
103,62413,45,"占星术士任务"
104,62414,44,"武士任务"
105,62415,45,"赤魔法师任务"
106,61401,46,"黑涡团任务"
107,61402,46,"双蛇党任务"
108,61403,46,"恒辉队任务"
109,61411,47,"季节活动"
110,61411,47,"降神节"
111,61411,47,"东节"
112,61411,47,"恋人节"
113,61411,47,"女儿节"
114,61411,47,"彩蛋狩猎"
115,61411,47,"金碟嘉年华"
116,61411,47,"红莲节"
117,61411,47,"新生庆典"
118,61411,47,"守护天节"
119,61411,47,"星芒节"
120,61411,47,"其他季节活动"
121,61411,48,"纪念任务"
122,62501,49,"佣兵理符任务"
123,62502,53,"刻木匠理符任务"
124,62503,54,"锻铁匠理符任务"
125,62504,55,"铸甲匠理符任务"
126,62505,56,"雕金匠理符任务"
127,62506,57,"制革匠理符任务"
128,62507,58,"裁衣匠理符任务"
129,62508,59,"炼金术士理符任务"
130,62509,60,"烹调师理符任务"
131,62510,50,"采矿工理符任务"
132,62511,51,"园艺工理符任务"
133,62512,52,"捕鱼人理符任务"
134,62501,49,"佣兵理符任务"
135,62502,53,"刻木匠理符任务"
136,62503,54,"锻铁匠理符任务"
137,62504,55,"铸甲匠理符任务"
138,62505,56,"雕金匠理符任务"
139,62506,57,"制革匠理符任务"
140,62507,58,"裁衣匠理符任务"
141,62508,59,"炼金术士理符任务"
142,62509,60,"烹调师理符任务"
143,62510,50,"采矿工理符任务"
144,62511,51,"园艺工理符任务"
145,62512,52,"捕鱼人理符任务"
146,0,0,""
147,0,0,""
148,0,0,""
149,62513,74,"黑涡团理符任务"
150,62514,74,"双蛇党理符任务"
151,62515,74,"恒辉队理符任务"
152,61801,75,"迷宫挑战"
153,61802,76,"大型任务"
154,61804,77,"讨伐歼灭战"
155,61803,75,"行会令"
156,0,78,"主线剧情任务：第六星历"
157,0,78,"支线任务：第六星历"
158,0,78,"职业任务：第六星历"
159,0,78,"特职任务：第六星历"
160,0,78,"军队任务：第六星历"
