Index,0 [INT] [0x0],1 [UBYTE] [0x20],2 [INT] [0x4],3 [UBYTE] [0x21],4 [INT] [0x8],5 [UBYTE] [0x22],6 [INT] [0xC],7 [UBYTE] [0x23],8 [INT] [0x10],9 [UBYTE] [0x24],10 [INT] [0x14],11 [UBYTE] [0x25],12 [INT] [0x18],13 [UBYTE] [0x26],14 [INT] [0x1C],15 [UBYTE] [0x27]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,90,3,10,0,0,0,0,0,0,0,0,0,0,0,0
3,2,90,3,10,0,0,0,0,0,0,0,0,0,0,0,0
4,4,90,6,10,0,0,0,0,0,0,0,0,0,0,0,0
5,5,90,6,10,0,0,0,0,0,0,0,0,0,0,0,0
6,7,90,9,10,0,0,0,0,0,0,0,0,0,0,0,0
7,8,90,9,10,0,0,0,0,0,0,0,0,0,0,0,0
8,10,90,12,10,0,0,0,0,0,0,0,0,0,0,0,0
9,11,90,12,10,0,0,0,0,0,0,0,0,0,0,0,0
10,13,90,15,10,0,0,0,0,0,0,0,0,0,0,0,0
11,14,90,15,10,0,0,0,0,0,0,0,0,0,0,0,0
12,16,90,18,10,0,0,0,0,0,0,0,0,0,0,0,0
13,17,90,18,10,0,0,0,0,0,0,0,0,0,0,0,0
14,19,70,21,20,371,10,0,0,0,0,0,0,0,0,0,0
15,20,70,21,20,371,10,0,0,0,0,0,0,0,0,0,0
16,22,80,24,20,0,0,0,0,0,0,0,0,0,0,0,0
17,23,80,24,20,0,0,0,0,0,0,0,0,0,0,0,0
18,25,80,27,20,0,0,0,0,0,0,0,0,0,0,0,0
19,26,80,27,20,0,0,0,0,0,0,0,0,0,0,0,0
20,28,40,30,20,386,40,0,0,0,0,0,0,0,0,0,0
21,29,40,30,20,386,40,0,0,0,0,0,0,0,0,0,0
22,31,90,33,10,0,0,0,0,0,0,0,0,0,0,0,0
