Index,0 [STRING] [0x0]
0,""
1,"tar_ring0af"
2,"tar_ring0af"
3,"tar_ring0af"
4,"tar_ring0af"
5,"crystal_behi_target_c0c"
6,"crystal_behi_target2_c0c"
7,"m0021trg_a0h"
8,"m0196trg_a0h"
9,"m0196trg_a1h"
10,"m0196trg_b1h"
11,"m0196trg_c1h"
12,"m0005sp_09o0t"
13,"m0005sp_11o0t"
14,"m0005sp_19o0t"
15,"m0196trg_a3c"
16,"d1014trg_a0h"
17,"m0027_atomicbomb_target_t0m"
18,"bahamut_wyvn_glider_target_01tm"
19,"tar_ring_off0f"
20,"bahamut_wyvn_glider_target_02tm"
21,"m0123_banrai1s"
22,"lockon3_t0h"
23,"lockon5_t0h"
24,"m0126trg_t0h"
25,"m0126trg_t1h"
26,"m0126trg_t2h"
27,"m0074trg_t0c"
28,"m0127grav_t0s"
29,""
30,""
