Index,0 [UINT] [0x0],1 [INT] [0x4]
1,60801,66001
2,208,208
3,202,202
4,207,207
5,216,216
6,209,209
7,212,212
8,206,206
9,214,214
10,204,204
11,215,215
12,205,205
13,210,210
14,213,213
15,201,201
16,203,203
17,217,217
18,211,211
19,3004,3004
20,3001,3001
21,3005,3005
22,3003,3003
23,3002,3002
24,308,308
25,309,309
26,302,302
27,310,310
28,301,301
29,303,303
30,312,312
31,311,311
32,313,313
33,306,306
34,315,315
35,304,304
36,3102,3102
37,3105,3105
38,316,316
39,307,307
40,317,317
41,3104,3104
42,3101,3101
43,305,305
44,314,314
45,3103,3103
46,410,410
47,402,402
48,407,407
49,406,406
50,401,401
51,403,403
52,404,404
53,411,411
54,405,405
55,409,409
56,415,415
57,412,412
58,413,413
59,408,408
60,416,416
61,417,417
62,414,414
63,3201,3201
64,3203,3203
65,3204,3204
66,3202,3202
67,3205,3205
68,510,510
69,507,507
70,501,501
71,512,512
72,513,513
73,505,505
74,511,511
75,515,515
76,504,504
77,502,502
78,514,514
79,516,516
80,509,509
81,517,517
82,506,506
83,3304,3304
84,508,508
85,3301,3301
86,3302,3302
87,3305,3305
88,503,503
89,3303,3303
90,608,608
91,609,609
92,602,602
93,613,613
94,614,614
95,606,606
96,611,611
97,616,616
98,610,610
99,612,612
100,604,604
101,617,617
102,601,601
103,603,603
104,619,619
105,618,618
106,607,607
107,3402,3402
108,3404,3404
109,3403,3403
110,3405,3405
111,3401,3401
112,703,703
113,705,705
114,701,701
115,713,713
116,710,710
117,708,708
118,711,711
119,716,716
120,717,717
121,704,704
122,714,714
123,706,706
124,712,712
125,715,715
126,707,707
127,702,702
128,709,709
129,3501,3501
130,3503,3503
131,3505,3505
132,3504,3504
133,3502,3502
134,804,804
135,801,801
136,816,816
137,807,807
138,810,810
139,815,815
140,805,805
141,812,812
142,802,802
143,808,808
144,811,811
145,813,813
146,803,803
147,806,806
148,814,814
149,809,809
150,817,817
151,3601,3601
152,3603,3603
153,3604,3604
154,3605,3605
155,3602,3602
156,901,901
157,903,903
158,916,916
159,918,918
160,910,910
161,914,914
162,905,905
163,913,913
164,917,917
165,908,908
166,911,911
167,904,904
168,907,907
169,912,912
170,902,902
171,909,909
172,906,906
173,915,915
174,3705,3705
175,3701,3701
176,3703,3703
177,3704,3704
178,3702,3702
179,3801,3801
180,3802,3802
181,3803,3803
182,3804,3804
183,3805,3805
184,2001,2001
185,2002,2002
186,2101,2101
187,2102,2102
188,2201,2201
189,2202,2202
190,2301,2301
191,2302,2302
192,2401,2401
193,2402,2402
194,2501,2501
195,2502,2502
196,2601,2601
197,2602,2602
198,2701,2701
199,2702,2702
200,2009,2009
201,2109,2109
202,2209,2209
203,2409,2409
204,2508,2508
205,2609,2609
206,2013,2013
207,2113,2113
208,2213,2213
209,2312,2312
210,2413,2413
211,2512,2512
212,2613,2613
213,2712,2712
214,1501,1501
215,1502,1502
216,1505,1505
217,1506,1506
218,1510,1510
219,1511,1511
220,1512,1512
221,1610,1610
222,1611,1611
223,1612,1612
224,1515,1515
225,1613,1613
226,1615,1615
227,1608,1608
228,1609,1609
229,1701,1701
230,1702,1702
231,1703,1703
232,1704,1704
233,113,113
234,114,114
235,26,26
236,6,6
237,20007,20007
238,20009,20009
239,20010,20010
240,20012,20012
241,20011,20011
242,20008,20008
243,60808,66162
244,60809,66163
245,60810,66164
246,60811,66165
247,60812,66166
248,60813,66167
249,60814,66168
250,60815,66169
251,66101,66101
252,66102,66102
253,66103,66103
254,66121,66121
255,66122,66122
256,66123,66123
257,66141,66141
258,66142,66142
259,66143,66143
260,66021,66021
261,66022,66022
262,66023,66023
263,66041,66041
264,66042,66042
265,66043,66043
266,66061,66061
267,66062,66062
268,66063,66063
269,66081,66081
270,66082,66082
271,66083,66083
272,66161,66161
273,66162,66162
274,66163,66163
275,66164,66164
276,66165,66165
277,66166,66166
278,66167,66167
279,66168,66168
280,66169,66169
281,66170,66170
282,66171,66171
283,66181,66181
284,66182,66182
285,66183,66183
286,66184,66184
287,66185,66185
288,66186,66186
289,66187,66187
290,66188,66188
291,66189,66189
292,66190,66190
293,66191,66191
294,66301,66301
295,66302,66302
296,66303,66303
297,66304,66304
298,66305,66305
299,66306,66306
300,66307,66307
301,66308,66308
302,66309,66309
303,66310,66310
304,66311,66311
305,66312,66312
306,66313,66313
307,66314,66314
308,66315,66315
309,66316,66316
310,66317,66317
311,66318,66318
312,66319,66319
313,66320,66320
314,66321,66321
315,66322,66322
316,66323,66323
317,66324,66324
318,66325,66325
319,66326,66326
320,0,0
