Index,0 [INT] [0x8],1 [UBYTE] [0xC],2 [UBYTE] [0xD],3 [BYTE] [0xE],4 [STRING] [0x0],5 [STRING] [0x4]
0,0,0,0,0,"",""
1,16,10,1,-2,"切换行动状态","在拔出武器与收回武器的状态间切换。"
2,1,12,1,0,"角色","查看角色的各项状态参数，也可以进行变更装备、分配点数、修改称号等操作。"
3,4,11,1,-1,"技能菜单","查看角色已经学会的各种技能，可以将当前职业的技能和其他职业的技能设置到热键上。"
4,5,21,2,0,"日志","查看当前已经接受和已经完成的任务及理符任务。"
5,47,23,2,2,"任务情报","查看理符受理限额的更新时间、副本迷宫的再次挑战时间等各种带有计时的情报。"
6,6,17,1,5,"成就","查看成就的完成状况、达成条件及达成报酬等情报。"
7,23,32,3,1,"采集笔记","查看采集作业所能够获得的道具，也可以查看目标道具可以在哪片地区采集到。"
8,21,30,3,-1,"讨伐笔记","查看战斗职业能够讨伐的怪物，讨伐目标的数量和生息地，以及成功讨伐后能够获得的经验奖励。"
9,22,31,3,0,"制作笔记","查看制作职业的各种配方，也可以直接开始制作作业。"
10,2,14,1,2,"物品","查看当前背包中的物品和水晶，也可以进行装备、使用、排列顺序等操作。"
11,3,20,2,-1,"任务道具","查看当前背包中的任务道具，在放弃任务时会丢弃相关的任务道具。"
12,17,53,5,0,"小队","查看小队中的队员，也可以进行更改排序、离开小队，解散小队等操作。"
13,18,59,5,6,"好友名单","查看自己的好友，也可以直接发送悄悄话及组队邀请。"
14,19,60,5,7,"黑名单","查看被列入黑名单的人，这些人的发言不会被看到，交易和组队等各种邀请也会被自动屏蔽。"
15,20,58,5,5,"玩家搜索","通过各种指定条件搜索其他玩家，也可以在这里修改自己的在线状态及编辑个人签名。"
16,7,40,4,0,"地图","查看自己和小队队员的位置，以及以太之光和商店的所在地、任务目的地等情报，地图可以进行缩放，也可以查看其他地区的地图。"
17,9,52,5,-1,"情感动作","查看玩家表达情感的各种动作，在与他人的交流中能够起到很大作用。"
18,10,50,5,-3,"目标标记","在目标的头顶设置图标记号。"
19,29,73,6,1,"系统设置","对声音、图像等系统项目进行调整。"
20,28,76,6,4,"键位设置","为各种快捷功能配置自己惯用的键位。"
21,30,75,6,3,"用户宏","通过各种文本指令组合创建用户宏命令能够令游戏更加便利，创建完成的宏命令也可以设置到热键栏上。"
22,31,74,6,2,"界面设置","修改游戏界面中各个窗口的布局，也可以随意改变窗口的大小。"
23,27,77,6,6,"返回标题画面","退出当前角色，回到游戏的标题画面。"
24,26,78,6,7,"退出游戏","退出并关闭游戏客户端。"
25,32,13,1,1,"兵装库","新获得的武器及装备会自动收纳到兵装库中，每个部位的装备都会单独收纳，更换装备也会更加自由。"
26,0,0,0,0,"",""
27,8,54,5,1,"部队","查看所属部队的各种情报，没有加入部队时无法使用。"
28,11,56,5,3,"通讯贝","查看所属的所有通讯贝的成员情报，也可以进行多个通讯贝之间的切换。"
29,24,33,3,2,"钓鱼笔记","查看捕鱼人的成果和各个地区的分数。"
30,33,71,6,-1,"新手指南","查看已经出现过的新手指南。"
31,25,24,2,-2,"推荐任务","查看周围地区适合当前情况接受的任务。"
32,13,70,6,-2,"服务台","游戏中的客服窗口，可以查看通知及报告问题。"
33,46,22,2,1,"任务搜索器","搜索特定副本迷宫和行会令等组队任务，搜索成功后会自动加入小队。在确认任务内容和参加条件之后会发送参加申请。"
34,48,72,6,0,"角色设置","对人物的移动和显示等各种项目进行调整。"
35,0,0,4,1,"传送","消耗相应的金币，瞬间移动到已经共鸣过的水晶之光所在地，可以带领小队队员一起移动。"
36,0,0,4,2,"返回","瞬间移动到设置为恢复点的水晶之光所在地，不需要任何消耗，不过使用一次之后需要等待15分钟才能使用下一次。"
37,0,0,6,5,"许可证","查看<<最终幻想14>>的许可证。"
38,0,0,0,0,"笔记","（ヘルプ無し）"
39,0,0,0,0,"社交","（ヘルプ無し）"
40,0,0,0,0,"系统","（ヘルプ無し）"
41,50,34,3,3,"鱼类图鉴","捕鱼人的图鉴，记载了钓鱼相关的各种详细内容。钓上新种类的鱼后会追加记入各种内容。"
42,49,15,1,3,"搭档","查看搭档的状态、召唤剩余时间和能够使用的技能，同时也能进行培养。"
43,0,0,0,0,"任务辅助","（ヘルプ無し）"
44,52,55,5,2,"房屋","打开房屋菜单。"
45,35,0,0,0,"显示设置","打开显示设置窗口，可以对当前的显示效果、屏幕模式、画面分辨率等功能进行设置。"
46,36,0,0,0,"声音设置","打开声音设置窗口，可以对音量和静音等功能进行设置。"
47,37,0,0,0,"图像设置","打开图像设置窗口，可以对画面品质的各种细节进行设置。"
48,38,0,0,0,"鼠标设置","打开鼠标设置窗口，可以对鼠标操作功能进行设置。"
49,39,0,0,0,"<if(PLYR: 76 ? 1 ) {控制器设置} else {手柄设置}>","<if(PLYR: 76 ? 1 ) {打开控制器设置窗口，可以对控制器的震动等功能进行设置。} else {打开手柄设置窗口，可以对手柄的震动等功能进行设置。}>"
50,51,0,0,0,"其他设置","打开其他设置窗口，可以对游戏截图的保存格式及语言等功能进行设置。"
51,41,0,0,0,"操作设置","打开操作设置窗口，可以对视角、目标等操作相关的功能进行设置。"
52,42,0,0,0,"界面设置","打开界面设置画面，可以对画面上的各种用户界面布局进行设置。"
53,43,0,0,0,"名牌设置","打开名牌设置窗口，可以对玩家头上的名牌进行设置。"
54,44,0,0,0,"热键栏设置","打开热键栏设置窗口，可以对热键栏进行设置。"
55,45,0,0,0,"消息窗口设置","打开消息窗口设置画面，可以对消息的字体大小及过滤屏蔽等功能进行设置。"
56,53,16,1,4,"对战资料","查看对战的战绩及学习对战专用技能。"
57,54,57,5,4,"队员招募","以指定目的和职能来招募共同战斗的队友。"
58,55,51,5,-2,"场景标记","在场地上设置小队可见的标记。"
59,56,61,5,8,"准备确认","确认小队或团队的队员是否准备就绪。"
60,57,35,3,4,"挑战笔记","查看各种挑战项目的情况，包括项目的进度以及相应的报酬。项目的完成情况会在（地球时间）每周二午夜0点重置。"
