Index,0 [UBYTE] [0x82],1 [UBYTE] [0x83],2 [USHORT] [0x20],3 [UINT] [0x0],4 [UBYTE] [0x84],5 [BOOL] [0x9C],6 [USHORT] [0x22],7 [USHORT] [0x32],8 [USHORT] [0x42],9 [USHORT] [0x52],10 [USHORT] [0x62],11 [UBYTE] [0x8C],12 [USHORT] [0x72],13 [UBYTE] [0x94],14 [UINT] [0x4],15 [UBYTE] [0x85],16 [BOOL] [0x9D],17 [USHORT] [0x24],18 [USHORT] [0x34],19 [USHORT] [0x44],20 [USHORT] [0x54],21 [USHORT] [0x64],22 [UBYTE] [0x8D],23 [USHORT] [0x74],24 [UBYTE] [0x95],25 [UINT] [0x8],26 [UBYTE] [0x86],27 [BOOL] [0x9E],28 [USHORT] [0x26],29 [USHORT] [0x36],30 [USHORT] [0x46],31 [USHORT] [0x56],32 [USHORT] [0x66],33 [UBYTE] [0x8E],34 [USHORT] [0x76],35 [UBYTE] [0x96],36 [UINT] [0xC],37 [UBYTE] [0x87],38 [BOOL] [0x9F],39 [USHORT] [0x28],40 [USHORT] [0x38],41 [USHORT] [0x48],42 [USHORT] [0x58],43 [USHORT] [0x68],44 [UBYTE] [0x8F],45 [USHORT] [0x78],46 [UBYTE] [0x97],47 [UINT] [0x10],48 [UBYTE] [0x88],49 [BOOL] [0xA0],50 [USHORT] [0x2A],51 [USHORT] [0x3A],52 [USHORT] [0x4A],53 [USHORT] [0x5A],54 [USHORT] [0x6A],55 [UBYTE] [0x90],56 [USHORT] [0x7A],57 [UBYTE] [0x98],58 [UINT] [0x14],59 [UBYTE] [0x89],60 [BOOL] [0xA1],61 [USHORT] [0x2C],62 [USHORT] [0x3C],63 [USHORT] [0x4C],64 [USHORT] [0x5C],65 [USHORT] [0x6C],66 [UBYTE] [0x91],67 [USHORT] [0x7C],68 [UBYTE] [0x99],69 [UINT] [0x18],70 [UBYTE] [0x8A],71 [BOOL] [0xA2],72 [USHORT] [0x2E],73 [USHORT] [0x3E],74 [USHORT] [0x4E],75 [USHORT] [0x5E],76 [USHORT] [0x6E],77 [UBYTE] [0x92],78 [USHORT] [0x7E],79 [UBYTE] [0x9A],80 [UINT] [0x1C],81 [UBYTE] [0x8B],82 [BOOL] [0xA3],83 [USHORT] [0x30],84 [USHORT] [0x40],85 [USHORT] [0x50],86 [USHORT] [0x60],87 [USHORT] [0x70],88 [UBYTE] [0x93],89 [USHORT] [0x80],90 [UBYTE] [0x9B]
0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
1,8,50,2,10604,1,false,230,180,130,50,0,1,51,0,10610,1,false,230,180,130,50,0,1,51,0,10634,1,false,230,180,130,50,0,1,51,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
2,8,52,2,10605,1,false,280,220,160,50,0,1,52,0,10611,1,false,280,220,160,50,0,1,52,0,11911,1,false,280,220,160,50,0,1,52,0,11927,1,false,340,270,190,50,0,1,53,0,11935,1,false,340,270,190,50,0,1,53,0,12014,1,false,340,270,190,50,0,1,53,0,12020,1,false,340,270,190,50,0,1,53,0,0,0,false,0,0,0,1000,0,0,0,0
3,8,54,2,10606,1,false,390,300,220,50,0,1,54,0,10612,1,false,390,300,220,50,0,1,54,0,10636,1,false,390,300,220,50,0,1,54,0,11912,1,false,430,340,240,50,0,1,55,0,12011,1,false,390,300,220,50,0,1,54,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
4,8,56,2,12581,1,false,440,340,250,40,3,1,56,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
5,8,56,2,10607,1,false,480,370,270,40,42,1,56,0,10613,1,false,480,370,270,40,49,1,56,0,10883,1,false,480,370,270,40,37,1,56,0,10925,1,false,480,370,270,40,38,1,56,0,11913,1,false,530,410,290,40,26,1,57,0,11928,1,false,480,370,270,40,26,1,56,0,11936,1,false,480,370,270,40,31,1,56,0,12021,1,false,530,410,290,40,14,1,57,0
6,8,58,2,10608,1,false,580,450,320,40,29,1,58,0,10614,1,false,580,450,320,40,48,1,58,0,10638,1,false,580,450,320,40,55,1,58,0,12015,1,false,580,450,320,40,21,1,58,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
7,8,59,2,11929,1,false,630,490,350,40,24,1,59,0,11937,1,false,630,490,350,40,34,1,59,0,12012,1,false,630,490,350,40,22,1,59,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
8,9,50,2,10586,1,false,230,180,130,50,0,1,51,0,10592,1,false,230,180,130,50,0,1,51,0,10598,1,false,230,180,130,50,0,1,51,0,10616,1,false,230,180,130,50,0,1,51,0,10622,1,false,230,180,130,50,0,1,51,0,10628,1,false,230,180,130,50,0,1,51,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
9,9,52,2,11871,1,false,280,220,160,50,0,1,52,0,11883,1,false,280,220,160,50,0,1,52,0,10587,1,false,340,270,190,50,0,1,53,0,10593,1,false,340,270,190,50,0,1,53,0,10623,1,false,340,270,190,50,0,1,53,0,10629,1,false,340,270,190,50,0,1,53,0,11923,1,false,340,270,190,50,0,1,53,0,11951,1,false,340,270,190,50,0,1,53,0
10,9,54,2,10600,1,false,390,300,220,50,0,1,54,0,10618,1,false,390,300,220,50,0,1,54,0,11872,1,false,430,340,240,50,0,1,55,0,11876,1,false,430,340,240,50,0,1,55,0,11880,1,false,430,340,240,50,0,1,55,0,11884,1,false,430,340,240,50,0,1,55,0,11888,1,false,430,340,240,50,0,1,55,0,11904,1,false,430,340,240,50,0,1,55,0
11,9,56,2,12524,1,false,440,340,250,40,5,1,56,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
12,9,56,2,11940,1,false,480,370,270,40,24,1,56,0,11944,1,false,480,370,270,40,22,1,56,0,11948,1,false,480,370,270,40,21,1,56,0,10589,1,false,530,410,290,40,50,1,57,0,10595,1,false,530,410,290,40,42,1,57,0,10625,1,false,530,410,290,40,51,1,57,0,10631,1,false,530,410,290,40,44,1,57,0,11909,1,false,530,410,290,40,24,1,57,0
13,9,58,2,10590,1,false,580,450,320,40,39,1,58,0,10596,1,false,580,450,320,40,38,1,58,0,10602,1,false,580,450,320,40,39,1,58,0,10620,1,false,580,450,320,40,51,1,58,0,10626,1,false,580,450,320,40,61,1,58,0,10632,1,false,580,450,320,40,48,1,58,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
14,9,59,2,11917,1,false,630,490,350,40,29,1,59,0,11921,1,false,630,490,350,40,24,1,59,0,11925,1,false,630,490,350,40,30,1,59,0,11933,1,false,630,490,350,40,33,1,59,0,11941,1,false,630,490,350,40,34,1,59,0,11945,1,false,630,490,350,40,25,1,59,0,11949,1,false,630,490,350,40,39,1,59,0,11953,1,false,630,490,350,40,20,1,59,0
15,10,50,2,10670,1,false,200,160,110,50,0,1,51,0,10733,1,false,200,160,110,50,0,1,51,0,10664,1,false,230,180,130,50,0,1,51,0,10677,1,false,230,180,130,50,0,1,51,0,10705,1,false,230,180,130,50,0,1,51,0,10719,1,false,230,180,130,50,0,1,51,0,10726,1,false,230,180,130,50,0,1,51,0,10747,1,false,230,180,130,50,0,1,51,0
16,10,52,2,11895,1,false,280,220,160,50,0,1,52,0,11899,1,false,280,220,160,50,0,1,52,0,10665,1,false,340,270,190,50,0,1,53,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
17,10,54,2,10693,1,false,340,270,190,50,0,1,53,0,10714,1,false,390,300,220,50,0,1,54,0,10840,1,false,390,300,220,50,0,1,54,0,11896,1,false,390,300,220,50,0,1,54,0,11900,1,false,390,300,220,50,0,1,54,0,10666,1,false,430,340,240,50,0,1,55,0,10707,1,false,430,340,240,50,0,1,55,0,10721,1,false,430,340,240,50,0,1,55,0
18,10,56,2,12524,1,false,440,340,250,40,5,1,56,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
19,10,56,2,10694,1,false,480,370,270,40,36,1,56,0,10729,1,false,480,370,270,40,46,1,56,0,10757,1,false,480,370,270,40,40,1,56,0,10855,1,false,480,370,270,40,46,1,56,0,10667,1,false,530,410,290,40,38,1,57,0,10764,1,false,530,410,290,40,65,1,57,0,11897,1,false,530,410,290,40,40,1,57,0,11901,1,false,530,410,290,40,38,1,57,0
20,10,58,2,10674,1,false,580,450,320,40,40,1,58,0,10688,1,false,580,450,320,40,49,1,58,0,10695,1,false,580,450,320,40,38,1,58,0,10709,1,false,580,450,320,40,49,1,58,0,10716,1,false,580,450,320,40,47,1,58,0,10730,1,false,580,450,320,40,51,1,58,0,10737,1,false,580,450,320,40,38,1,58,0,10751,1,false,580,450,320,40,51,1,58,0
21,10,59,2,10668,1,false,630,490,350,40,42,1,59,0,10681,1,false,630,490,350,40,66,1,59,0,10702,1,false,630,490,350,40,66,1,59,0,10723,1,false,630,490,350,40,69,1,59,0,10744,1,false,630,490,350,40,66,1,59,0,10675,1,false,630,490,350,40,41,1,59,0,10696,1,false,630,490,350,40,31,1,59,0,0,0,false,0,0,0,1000,0,0,0,0
22,11,50,2,10982,1,false,200,160,110,50,0,1,51,0,11030,1,false,200,160,110,50,0,1,51,0,11054,1,false,200,160,110,50,0,1,51,0,10640,1,false,230,180,130,50,0,1,51,0,10754,1,false,230,180,130,50,0,1,51,0,10994,1,false,230,180,130,50,0,1,51,0,11072,1,false,230,180,130,50,0,1,51,0,11983,1,false,230,180,130,50,0,1,51,0
23,11,52,2,10977,1,false,280,220,160,50,0,1,52,0,11043,1,false,280,220,160,50,0,1,52,0,11891,1,false,280,220,160,50,0,1,52,0,12017,1,false,280,220,160,50,0,1,52,0,10659,1,false,340,270,190,50,0,1,53,0,11007,1,false,340,270,190,50,0,1,53,0,11013,1,false,340,270,190,50,0,1,53,0,11079,1,false,340,270,190,50,0,1,53,0
24,11,54,2,10642,1,false,390,300,220,50,0,1,54,0,10882,1,false,390,300,220,50,0,1,54,0,11008,1,false,390,300,220,50,0,1,54,0,11892,1,false,390,300,220,50,0,1,54,0,10660,1,false,430,340,240,50,0,1,55,0,10978,1,false,430,340,240,50,0,1,55,0,11020,1,false,430,340,240,50,0,1,55,0,11050,1,false,430,340,240,50,0,1,55,0
25,11,56,2,12544,1,false,460,360,260,40,3,1,56,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
26,11,56,2,11009,1,false,480,370,270,40,27,1,56,0,11069,1,false,480,370,270,40,56,1,56,0,11893,1,false,480,370,270,40,19,1,56,0,12018,1,false,480,370,270,40,14,1,56,0,10643,1,false,530,410,290,40,40,1,57,0,10979,1,false,530,410,290,40,46,1,57,0,11027,1,false,530,410,290,40,46,1,57,0,12030,1,false,530,410,290,40,21,1,57,0
27,11,58,2,10974,1,false,580,450,320,40,30,1,58,0,10998,1,false,580,450,320,40,34,1,58,0,11004,1,false,580,450,320,40,47,1,58,0,11022,1,false,580,450,320,40,34,1,58,0,11052,1,false,580,450,320,40,47,1,58,0,11070,1,false,580,450,320,40,33,1,58,0,11076,1,false,580,450,320,40,47,1,58,0,12706,1,false,580,450,320,40,12,1,58,0
28,11,59,2,10644,1,false,630,490,350,40,28,1,59,0,10662,1,false,630,490,350,40,43,1,59,0,10986,1,false,630,490,350,40,17,1,59,0,11010,1,false,630,490,350,40,21,1,59,0,11058,1,false,630,490,350,40,21,1,59,0,10969,1,false,630,490,350,40,24,1,59,0,11017,1,false,630,490,350,40,27,1,59,0,11065,1,false,630,490,350,40,26,1,59,0
29,12,50,2,10775,1,false,200,160,110,50,0,1,51,0,10831,1,false,230,180,130,50,0,1,51,0,10894,1,false,200,160,110,50,0,1,51,0,10957,1,false,230,180,130,50,0,1,51,0,10698,1,false,230,180,130,50,0,1,51,0,10740,1,false,230,180,130,50,0,1,51,0,11965,1,false,230,180,130,50,0,1,51,0,11993,1,false,230,180,130,50,0,1,51,0
30,12,52,2,10685,1,false,280,220,160,50,0,1,52,0,10860,1,false,280,220,160,50,0,1,52,0,11978,1,false,280,220,160,50,0,1,52,0,11988,1,false,280,220,160,50,0,1,52,0,10713,1,false,340,270,190,50,0,1,53,0,10916,1,false,340,270,190,50,0,1,53,0,10923,1,false,340,270,190,50,0,1,53,0,12026,1,false,340,270,190,50,0,1,53,0
31,12,54,2,10770,1,false,390,300,220,50,0,1,54,0,10945,1,false,390,300,220,50,0,1,54,0,11989,1,false,390,300,220,50,0,1,54,0,12023,1,false,390,300,220,50,0,1,54,0,10700,1,false,430,340,240,50,0,1,55,0,10805,1,false,430,340,240,50,0,1,55,0,10917,1,false,430,340,240,50,0,1,55,0,11967,1,false,430,340,240,50,0,1,55,0
32,12,56,2,12564,1,false,440,340,250,40,4,1,56,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0,0,0,false,0,0,0,1000,0,0,0,0
33,12,56,2,10736,1,false,480,370,270,40,37,1,56,0,10813,1,false,480,370,270,40,45,1,56,0,10897,1,false,480,370,270,40,45,1,56,0,11980,1,false,480,370,270,40,36,1,56,0,10701,1,false,530,410,290,40,62,1,57,0,10869,1,false,530,410,290,40,64,1,57,0,10918,1,false,530,410,290,40,45,1,57,0,12033,1,false,530,410,290,40,15,1,57,0
34,12,58,2,10772,1,false,580,450,320,40,34,1,58,0,10821,1,false,580,450,320,40,28,1,58,0,10856,1,false,580,450,320,40,34,1,58,0,10926,1,false,580,450,320,40,27,1,58,0,10940,1,false,580,450,320,40,30,1,58,0,11971,1,false,580,450,320,40,22,1,58,0,12024,1,false,580,450,320,40,28,1,58,0,12027,1,false,580,450,320,40,33,1,58,0
35,12,59,2,10793,1,false,630,490,350,40,40,1,59,0,10919,1,false,630,490,350,40,34,1,59,0,10738,1,false,630,490,350,40,29,1,59,0,10815,1,false,630,490,350,40,32,1,59,0,10864,1,false,630,490,350,40,29,1,59,0,10941,1,false,630,490,350,40,36,1,59,0,11969,1,false,630,490,350,40,14,1,59,0,11997,1,false,630,490,350,40,19,1,59,0
36,13,50,2,10796,1,false,200,160,110,50,0,1,51,0,10852,1,false,200,160,110,50,0,1,51,0,10901,1,false,200,160,110,50,0,1,51,0,10922,1,false,200,160,110,50,0,1,51,0,10761,1,false,230,180,130,50,0,1,51,0,10908,1,false,230,180,130,50,0,1,51,0,10964,1,false,230,180,130,50,0,1,51,0,11012,1,false,230,180,130,50,0,1,51,0
37,13,52,2,10699,1,false,280,220,160,50,0,1,52,0,10741,1,false,280,220,160,50,0,1,52,0,10797,1,false,280,220,160,50,0,1,52,0,10951,1,false,280,220,160,50,0,1,52,0,10762,1,false,340,270,190,50,0,1,53,0,10846,1,false,340,270,190,50,0,1,53,0,11966,1,false,340,270,190,50,0,1,53,0,11984,1,false,340,270,190,50,0,1,53,0
38,13,54,2,10938,1,false,390,300,220,50,0,1,54,0,10990,1,false,390,300,220,50,0,1,54,0,11961,1,false,390,300,220,50,0,1,54,0,11979,1,false,390,300,220,50,0,1,54,0,10826,1,false,430,340,240,50,0,1,55,0,10889,1,false,430,340,240,50,0,1,55,0,10952,1,false,430,340,240,50,0,1,55,0,11957,1,false,430,340,240,50,0,1,55,0
