Index,0 [FLOAT] [0x0],1 [FLOAT] [0x4],2 [FLOAT] [0x8],3 [FLOAT] [0xC],4 [FLOAT] [0x10],5 [FLOAT] [0x14],6 [FLOAT] [0x18],7 [FLOAT] [0x1C]
0,40.0,20.0,10.0,5.0,45.0,24.0,14.0,8.0
1,36.0,18.0,9.0,5.0,41.0,22.0,13.0,8.0
2,30.0,15.0,8.0,4.0,35.0,19.0,11.0,7.0
3,24.0,12.0,6.0,3.0,29.0,16.0,10.0,6.0
4,12.0,6.0,3.0,2.0,17.0,10.0,7.0,5.0
5,12.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
